r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.95,     0.73,    -0.01,     0.30,   490.20,   235.38
-4.0,     2.19,     0.84,    -0.01,     0.31,   536.66,   257.72
-3.1,     2.48,     1.00,    -0.02,     0.31,   607.23,   285.12
-3.0,     2.51,     1.01,    -0.02,     0.31,   614.16,   287.67
-2.0,     2.92,     1.22,    -0.02,     0.31,   726.98,   321.42
-1.0,     3.31,     1.35,    -0.02,     0.31,   834.54,   341.33
 0.0,     3.44,     1.36,    -0.01,     0.31,   871.27,   341.83
 1.0,     3.24,     1.28,    -0.00,     0.31,   813.70,   330.91
 2.0,     2.83,     1.13,    -0.00,     0.31,   698.76,   306.09
 2.2,     2.77,     1.11,    -0.00,     0.31,   682.41,   301.56
 3.0,     2.43,     0.95,    -0.01,     0.31,   591.44,   275.02
 4.0,     2.11,     0.79,    -0.02,     0.30,   519.25,   247.52
 5.0,     1.87,     0.71,    -0.03,     0.29,   475.18,   223.04
 5.8,     1.72,     0.67,    -0.03,     0.28,   453.59,   207.61
 6.0,     1.69,     0.66,    -0.04,     0.28,   449.71,   204.71
 6.2,     1.67,     0.66,    -0.04,     0.28,   447.30,   202.78
 7.0,     1.55,     0.63,    -0.04,     0.28,   433.89,   191.69
 8.0,     1.43,     0.62,    -0.04,     0.28,   422.28,   179.07
 9.0,     1.31,     0.61,    -0.05,     0.28,   411.91,   164.29
10.0,     1.20,     0.60,    -0.06,     0.28,   402.88,   150.92
11.0,     1.09,     0.60,    -0.07,     0.28,   396.51,   141.68
11.8,     1.00,     0.58,    -0.08,     0.28,   392.12,   135.34
12.0,     0.98,     0.58,    -0.08,     0.28,   391.33,   134.17
13.0,     0.88,     0.55,    -0.08,     0.28,   385.57,   126.66
14.0,     0.78,     0.53,    -0.09,     0.28,   378.81,   119.69
15.0,     0.68,     0.50,    -0.09,     0.28,   372.22,   113.04
16.0,     0.60,     0.47,    -0.10,     0.28,   366.02,   105.62
17.0,     0.52,     0.44,    -0.10,     0.27,   358.89,    95.96
18.0,     0.46,     0.42,    -0.10,     0.27,   351.46,    85.18
19.0,     0.40,     0.39,    -0.10,     0.26,   345.06,    76.51
20.0,     0.36,     0.36,    -0.10,     0.25,   340.23,    70.22
