r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.77,     0.73,    -0.00,     0.29,   514.82,   270.88
-4.0,     2.03,     0.84,    -0.00,     0.30,   579.92,   300.83
-3.0,     2.43,     0.99,    -0.01,     0.30,   691.54,   326.74
-2.0,     2.94,     1.11,    -0.01,     0.30,   849.88,   330.31
-1.0,     3.37,     1.16,    -0.01,     0.29,   989.56,   309.98
-0.2,     3.49,     1.17,    -0.00,     0.29,  1024.62,   301.22
 0.0,     3.53,     1.17,    -0.00,     0.29,  1036.30,   298.24
 1.0,     3.34,     1.17,     0.01,     0.30,   977.24,   314.77
 2.0,     2.89,     1.11,     0.00,     0.30,   834.26,   330.28
 3.0,     2.38,     0.97,     0.00,     0.29,   676.70,   319.66
 4.0,     1.99,     0.82,     0.00,     0.29,   568.96,   294.32
 5.0,     1.73,     0.72,    -0.00,     0.28,   509.81,   270.98
 6.0,     1.54,     0.67,    -0.01,     0.28,   475.28,   248.07
 7.0,     1.38,     0.63,    -0.02,     0.27,   451.62,   224.62
 8.0,     1.24,     0.61,    -0.03,     0.27,   434.82,   203.80
 9.0,     1.11,     0.59,    -0.04,     0.27,   421.66,   185.13
10.0,     0.98,     0.57,    -0.06,     0.27,   410.58,   168.27
11.0,     0.87,     0.54,    -0.07,     0.27,   399.91,   152.35
12.0,     0.75,     0.51,    -0.08,     0.27,   389.46,   138.37
13.0,     0.64,     0.48,    -0.09,     0.27,   380.33,   128.02
14.0,     0.56,     0.45,    -0.10,     0.27,   371.91,   118.76
15.0,     0.48,     0.42,    -0.10,     0.27,   364.23,   110.18
16.0,     0.42,     0.40,    -0.11,     0.26,   357.56,   103.11
17.0,     0.36,     0.37,    -0.11,     0.25,   350.91,    96.14
18.0,     0.31,     0.35,    -0.11,     0.25,   344.18,    88.92
19.0,     0.27,     0.33,    -0.10,     0.24,   337.84,    81.50
20.0,     0.23,     0.31,    -0.10,     0.23,   332.42,    73.96
