r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.68,     0.71,     0.01,     0.28,   516.45,   284.45
-4.0,     1.93,     0.80,     0.00,     0.28,   578.15,   310.23
-3.0,     2.32,     0.94,     0.00,     0.28,   691.51,   328.87
-2.0,     2.86,     1.06,    -0.01,     0.28,   863.83,   323.40
-1.0,     3.32,     1.11,    -0.01,     0.28,  1012.16,   293.14
 0.0,     3.46,     1.11,    -0.01,     0.27,  1057.04,   277.12
 1.0,     3.26,     1.12,    -0.00,     0.27,   996.49,   298.87
 2.0,     2.80,     1.06,    -0.01,     0.28,   843.96,   324.18
 3.0,     2.27,     0.92,    -0.01,     0.28,   677.10,   323.83
 4.0,     1.90,     0.79,    -0.01,     0.28,   569.44,   304.82
 5.0,     1.66,     0.71,    -0.01,     0.28,   510.79,   280.21
 6.0,     1.48,     0.66,    -0.02,     0.28,   476.06,   253.93
 7.0,     1.33,     0.64,    -0.02,     0.27,   452.84,   229.89
 8.0,     1.19,     0.62,    -0.03,     0.27,   436.34,   207.84
 9.0,     1.05,     0.59,    -0.04,     0.27,   423.17,   187.42
10.0,     0.91,     0.57,    -0.06,     0.27,   410.87,   169.49
11.0,     0.79,     0.54,    -0.07,     0.27,   399.82,   155.05
12.0,     0.69,     0.51,    -0.08,     0.27,   390.92,   144.44
13.0,     0.60,     0.48,    -0.09,     0.27,   383.20,   135.76
14.0,     0.53,     0.44,    -0.09,     0.27,   376.67,   128.48
15.0,     0.46,     0.41,    -0.10,     0.27,   371.24,   122.37
16.0,     0.40,     0.39,    -0.10,     0.27,   364.78,   115.50
17.0,     0.35,     0.36,    -0.10,     0.26,   357.24,   106.64
18.0,     0.30,     0.34,    -0.10,     0.25,   349.42,    96.56
19.0,     0.25,     0.32,    -0.11,     0.24,   341.67,    87.12
20.0,     0.21,     0.29,    -0.11,     0.23,   333.97,    76.96
