r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 1.0,     0.20,    19.13,    19.32
 2.0,     0.20,    19.13,    19.33
 3.0,     0.20,    19.15,    19.35
 4.0,     0.18,    19.22,    19.40
 5.0,     0.18,    19.33,    19.50
 6.0,     0.17,    19.48,    19.65
 7.0,     0.16,    19.70,    19.86
 8.0,     0.15,    19.97,    20.12
 9.0,     0.15,    20.23,    20.38
10.0,     0.15,    20.59,    20.74
11.0,     0.15,    20.96,    21.11
12.0,     0.15,    21.41,    21.56
13.0,     0.16,    21.89,    22.05
14.0,     0.16,    22.34,    22.50
15.0,     0.17,    22.92,    23.09
16.0,     0.18,    23.46,    23.64
17.0,     0.20,    24.09,    24.29
18.0,     0.22,    24.69,    24.91
19.0,     0.24,    25.25,    25.49
20.0,     0.28,    25.98,    26.26
21.0,     0.32,    26.49,    26.81
22.0,     0.37,    27.22,    27.59
23.0,     0.43,    27.74,    28.17
24.0,     0.50,    28.23,    28.73
25.0,     0.61,    28.79,    29.40
26.0,     0.73,    29.28,    30.01
27.0,     0.88,    29.65,    30.53
28.0,     1.02,    29.82,    30.84
29.0,     1.19,    30.17,    31.36
30.0,     1.32,    30.16,    31.48
31.0,     1.44,    30.19,    31.63
32.0,     1.53,    30.02,    31.55
33.0,     1.64,    29.76,    31.40
34.0,     1.71,    29.48,    31.19
35.0,     1.82,    29.04,    30.86
36.0,     1.90,    28.59,    30.48
37.0,     2.01,    28.01,    30.02
38.0,     2.11,    27.35,    29.46
39.0,     2.23,    26.65,    28.88
40.0,     2.34,    25.86,    28.21
41.0,     2.48,    25.00,    27.48
42.0,     2.61,    24.05,    26.66
43.0,     2.76,    23.01,    25.77
44.0,     2.90,    21.94,    24.84
45.0,     3.05,    20.77,    23.82
46.0,     3.21,    19.43,    22.64
47.0,     3.34,    17.91,    21.25
48.0,     3.47,    16.15,    19.62
49.0,     3.57,    13.90,    17.48
50.0,     3.48,    14.14,    17.62
51.0,     0.00,     3.10,     3.10
52.0,     0.00,     3.97,     3.97
53.0,     0.00,     4.18,     4.18
54.0,     0.00,     3.94,     3.94
55.0,     0.00,     3.78,     3.78
56.0,     0.00,     3.53,     3.53
57.0,     0.00,     3.38,     3.38
58.0,     0.00,     3.12,     3.12
59.0,     0.00,     2.87,     2.87
60.0,     0.00,     2.73,     2.73
61.0,     0.00,     0.00,     0.00
62.0,     0.00,     2.56,     2.56
63.0,     0.00,     2.51,     2.51
64.0,     0.00,     2.42,     2.42
65.0,     0.00,     2.28,     2.28
66.0,     0.00,     2.25,     2.25
67.0,     0.00,     2.18,     2.18
68.0,     0.00,     2.09,     2.09
69.0,     0.00,     1.94,     1.94
70.0,     0.00,     1.99,     1.99
71.0,     0.00,     1.93,     1.93
72.0,     0.00,     1.87,     1.87
73.0,     0.00,     1.83,     1.83
74.0,     0.00,     1.70,     1.70
75.0,     0.00,     1.79,     1.79
76.0,     0.00,     1.67,     1.67
77.0,     0.00,     1.65,     1.65
78.0,     0.00,     1.53,     1.53
79.0,     0.00,     1.64,     1.64
80.0,     0.00,     1.53,     1.53
81.0,     0.00,     1.49,     1.49
82.0,     0.00,     1.40,     1.40
83.0,     0.00,     1.49,     1.49
84.0,     0.00,     1.47,     1.47
85.0,     0.00,     1.35,     1.35
86.0,     0.00,     1.29,     1.29
87.0,     0.00,     1.34,     1.34
88.0,     0.00,     1.35,     1.35
89.0,     0.00,     1.28,     1.28
90.0,     0.00,     1.15,     1.15
91.0,     0.00,     1.25,     1.25
92.0,     0.00,     1.23,     1.23
93.0,     0.00,     1.29,     1.29
94.0,     0.00,     1.09,     1.09
95.0,     0.00,     1.23,     1.23
96.0,     0.00,     1.12,     1.12
97.0,     0.00,     1.22,     1.22
98.0,     0.00,     1.02,     1.02
99.0,     0.00,     1.07,     1.07
100.0,     0.00,     1.18,     1.18
101.0,     0.00,     1.02,     1.02
102.0,     0.00,     0.96,     0.96
103.0,     0.00,     1.02,     1.02
104.0,     0.00,     1.17,     1.17
105.0,     0.00,     0.97,     0.97
106.0,     0.00,     0.90,     0.90
107.0,     0.00,     0.98,     0.98
108.0,     0.00,     1.00,     1.00
109.0,     0.00,     1.00,     1.00
110.0,     0.00,     0.83,     0.83
111.0,     0.00,     1.03,     1.03
112.0,     0.00,     0.96,     0.96
113.0,     0.00,     0.92,     0.92
114.0,     0.00,     0.79,     0.79
115.0,     0.00,     0.97,     0.97
116.0,     0.00,     0.86,     0.86
117.0,     0.00,     0.90,     0.90
118.0,     0.00,     0.75,     0.75
119.0,     0.00,     0.84,     0.84
120.0,     0.00,     0.92,     0.92
121.0,     0.00,     0.82,     0.82
122.0,     0.00,     0.71,     0.71
123.0,     0.00,     0.83,     0.83
124.0,     0.00,     0.79,     0.79
125.0,     0.00,     0.83,     0.83
126.0,     0.00,     0.69,     0.69
127.0,     0.00,     0.80,     0.80
128.0,     0.00,     0.77,     0.77
129.0,     0.00,     0.86,     0.86
130.0,     0.00,     0.64,     0.64
131.0,     0.00,     0.80,     0.80
132.0,     0.00,     0.78,     0.78
133.0,     0.00,     0.75,     0.75
134.0,     0.00,     0.61,     0.61
135.0,     0.00,     0.74,     0.74
136.0,     0.00,     0.76,     0.76
137.0,     0.00,     0.70,     0.70
138.0,     0.00,     0.57,     0.57
139.0,     0.00,     0.65,     0.65
140.0,     0.00,     0.78,     0.78
141.0,     0.00,     0.69,     0.69
142.0,     0.00,     0.54,     0.54
143.0,     0.00,     0.69,     0.69
144.0,     0.00,     0.67,     0.67
145.0,     0.00,     0.70,     0.70
146.0,     0.00,     0.54,     0.54
147.0,     0.00,     0.62,     0.62
148.0,     0.00,     0.66,     0.66
149.0,     0.00,     0.68,     0.68
