z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.01,     0.04,    -0.00,     0.06,   436.77,    66.52
 2.0,    -0.01,     0.07,    -0.00,     0.11,   595.51,    96.07
 3.0,    -0.02,     0.10,    -0.01,     0.16,   718.30,   104.34
 4.0,    -0.01,     0.13,    -0.01,     0.20,   786.67,   114.51
 5.0,     0.02,     0.15,    -0.01,     0.23,   834.34,   127.01
 6.0,     0.07,     0.16,    -0.01,     0.26,   872.92,   136.62
 7.0,     0.14,     0.17,    -0.01,     0.29,   906.42,   144.32
 8.0,     0.23,     0.18,    -0.02,     0.31,   936.38,   150.29
 9.0,     0.34,     0.20,    -0.02,     0.33,   963.05,   155.09
10.0,     0.45,     0.21,    -0.02,     0.35,   986.38,   158.81
11.0,     0.58,     0.23,    -0.02,     0.36,  1007.12,   161.46
12.0,     0.70,     0.25,    -0.01,     0.36,  1025.70,   163.65
13.0,     0.83,     0.27,    -0.01,     0.37,  1042.34,   165.31
14.0,     0.97,     0.30,    -0.01,     0.38,  1057.44,   166.43
15.0,     1.10,     0.32,    -0.01,     0.38,  1071.35,   167.18
16.0,     1.23,     0.35,    -0.01,     0.38,  1084.38,   167.62
17.0,     1.37,     0.37,    -0.01,     0.39,  1096.58,   167.75
18.0,     1.50,     0.40,    -0.01,     0.39,  1108.00,   167.62
19.0,     1.63,     0.43,    -0.00,     0.39,  1118.68,   167.42
20.0,     1.76,     0.45,    -0.00,     0.39,  1128.78,   167.24
21.0,     1.89,     0.48,    -0.00,     0.40,  1138.40,   167.07
22.0,     2.01,     0.50,    -0.00,     0.40,  1147.63,   166.95
23.0,     2.14,     0.52,     0.00,     0.40,  1156.51,   166.81
24.0,     2.25,     0.55,     0.00,     0.40,  1164.98,   166.66
25.0,     2.37,     0.57,     0.00,     0.40,  1173.10,   166.50
26.0,     2.49,     0.59,     0.00,     0.40,  1180.83,   166.32
27.0,     2.60,     0.61,     0.00,     0.40,  1188.16,   166.11
28.0,     2.71,     0.63,     0.00,     0.40,  1195.18,   165.98
29.0,     2.81,     0.65,     0.00,     0.40,  1201.97,   165.95
30.0,     2.92,     0.67,     0.00,     0.40,  1208.55,   166.00
31.0,     3.02,     0.69,     0.00,     0.40,  1214.96,   166.10
32.0,     3.12,     0.71,     0.00,     0.41,  1221.24,   166.21
