r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.09,     0.81,    -0.02,     0.42,   543.10,   257.64
-4.0,     2.35,     0.91,    -0.03,     0.42,   593.87,   287.48
-3.0,     2.63,     1.02,    -0.04,     0.43,   658.26,   316.84
-2.9,     2.65,     1.02,    -0.04,     0.43,   664.69,   319.19
-2.0,     2.89,     1.11,    -0.04,     0.45,   726.88,   341.08
-1.0,     3.09,     1.17,    -0.03,     0.45,   779.28,   355.09
-0.3,     3.13,     1.18,    -0.02,     0.45,   792.90,   358.78
 0.0,     3.15,     1.18,    -0.02,     0.45,   798.41,   360.26
 1.0,     3.07,     1.15,    -0.01,     0.45,   778.11,   357.85
 2.0,     2.88,     1.09,     0.00,     0.45,   726.61,   346.33
 3.0,     2.63,     1.02,     0.01,     0.44,   664.20,   329.11
 4.0,     2.37,     0.93,     0.01,     0.43,   608.03,   309.15
 5.0,     2.14,     0.85,     0.01,     0.41,   562.84,   286.38
 6.0,     1.93,     0.77,     0.00,     0.41,   527.02,   261.88
 7.0,     1.74,     0.71,    -0.01,     0.40,   498.36,   238.85
 8.0,     1.57,     0.68,    -0.02,     0.39,   474.57,   218.57
 9.0,     1.41,     0.65,    -0.03,     0.38,   453.94,   199.03
10.0,     1.26,     0.62,    -0.04,     0.37,   435.44,   181.11
11.0,     1.11,     0.60,    -0.05,     0.36,   419.33,   167.30
12.0,     0.98,     0.57,    -0.06,     0.35,   404.70,   154.00
13.0,     0.86,     0.54,    -0.07,     0.34,   390.24,   137.72
14.0,     0.75,     0.52,    -0.08,     0.33,   376.94,   122.06
15.0,     0.65,     0.49,    -0.09,     0.31,   365.46,   108.69
16.0,     0.56,     0.45,    -0.09,     0.30,   355.19,    95.09
17.0,     0.49,     0.42,    -0.10,     0.29,   346.60,    82.14
18.0,     0.43,     0.40,    -0.10,     0.28,   340.20,    72.47
19.0,     0.38,     0.38,    -0.10,     0.27,   335.09,    65.70
20.0,     0.33,     0.36,    -0.10,     0.26,   330.85,    59.52
