r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     2.75,     1.04,     0.02,     0.62,   543.18,   279.36
-18.0,     3.05,     1.11,     0.01,     0.63,   574.06,   296.53
-16.0,     3.37,     1.20,     0.01,     0.64,   612.39,   317.10
-14.0,     3.71,     1.31,     0.00,     0.66,   657.96,   340.03
-12.0,     4.07,     1.41,    -0.01,     0.68,   715.45,   362.11
-10.0,     4.46,     1.52,    -0.01,     0.69,   786.24,   380.43
-8.0,     4.89,     1.64,    -0.02,     0.69,   868.83,   394.86
-6.0,     5.32,     1.74,    -0.03,     0.70,   958.19,   401.35
-4.0,     5.68,     1.78,    -0.02,     0.70,  1034.51,   391.52
-2.0,     5.93,     1.78,    -0.02,     0.70,  1092.98,   374.07
 0.0,     6.03,     1.79,    -0.01,     0.69,  1116.62,   367.43
 2.0,     5.94,     1.78,     0.00,     0.69,  1097.49,   377.12
 4.0,     5.72,     1.76,     0.02,     0.69,  1046.56,   390.69
 6.0,     5.40,     1.72,     0.03,     0.68,   975.66,   398.24
 8.0,     4.99,     1.65,     0.04,     0.68,   893.37,   398.58
10.0,     4.55,     1.56,     0.04,     0.68,   810.69,   389.60
12.0,     4.13,     1.43,     0.02,     0.67,   733.18,   365.80
14.0,     3.73,     1.31,    -0.01,     0.67,   666.36,   335.97
16.0,     3.35,     1.20,    -0.03,     0.66,   614.12,   310.38
18.0,     3.02,     1.13,    -0.04,     0.65,   572.07,   291.07
20.0,     2.72,     1.07,    -0.06,     0.63,   537.75,   272.35
21.9,     2.47,     1.02,    -0.06,     0.61,   511.23,   254.51
22.0,     2.45,     1.01,    -0.06,     0.61,   509.99,   253.49
24.0,     2.21,     0.96,    -0.07,     0.59,   485.50,   233.27
26.0,     1.99,     0.91,    -0.08,     0.57,   462.33,   210.59
27.0,     1.88,     0.89,    -0.08,     0.56,   452.13,   200.50
28.0,     1.76,     0.86,    -0.08,     0.55,   440.86,   189.48
30.0,     1.55,     0.82,    -0.10,     0.53,   422.03,   172.58
32.0,     1.35,     0.78,    -0.11,     0.51,   405.99,   157.79
34.0,     1.17,     0.74,    -0.12,     0.49,   391.31,   143.83
36.0,     1.01,     0.71,    -0.13,     0.47,   379.98,   133.85
38.0,     0.88,     0.69,    -0.14,     0.45,   371.44,   128.22
38.2,     0.87,     0.69,    -0.14,     0.45,   370.86,   128.02
40.0,     0.75,     0.67,    -0.15,     0.43,   363.43,   123.05
42.0,     0.61,     0.62,    -0.16,     0.41,   353.55,   112.50
43.7,     0.51,     0.56,    -0.16,     0.39,   344.84,   102.61
44.0,     0.50,     0.55,    -0.16,     0.38,   343.28,   100.82
46.0,     0.40,     0.48,    -0.16,     0.37,   334.78,    92.08
48.0,     0.32,     0.42,    -0.16,     0.35,   327.78,    81.51
50.0,     0.25,     0.37,    -0.16,     0.33,   321.74,    66.04
52.0,     0.20,     0.32,    -0.17,     0.30,   316.94,    53.30
54.0,     0.16,     0.29,    -0.17,     0.27,   313.22,    44.58
56.0,     0.13,     0.25,    -0.17,     0.24,   310.60,    38.98
60.0,     0.07,     0.17,    -0.17,     0.19,   306.02,    26.53
