r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 1.0,     0.09,    20.89,    20.98
 2.0,     0.09,    20.93,    21.02
 3.0,     0.09,    20.99,    21.08
 4.0,     0.08,    21.11,    21.19
 5.0,     0.07,    21.26,    21.33
 6.0,     0.07,    21.45,    21.52
 7.0,     0.06,    21.72,    21.78
 8.0,     0.06,    22.03,    22.09
 9.0,     0.05,    22.36,    22.41
10.0,     0.05,    22.77,    22.83
11.0,     0.05,    23.18,    23.23
12.0,     0.06,    23.65,    23.71
13.0,     0.06,    24.15,    24.21
14.0,     0.07,    24.57,    24.63
15.0,     0.07,    25.11,    25.18
16.0,     0.08,    25.57,    25.66
17.0,     0.10,    26.10,    26.20
18.0,     0.12,    26.57,    26.69
19.0,     0.15,    26.98,    27.12
20.0,     0.19,    27.50,    27.69
21.0,     0.24,    27.80,    28.04
22.0,     0.30,    28.26,    28.57
23.0,     0.38,    28.52,    28.90
24.0,     0.46,    28.73,    29.19
25.0,     0.60,    28.97,    29.57
26.0,     0.75,    29.19,    29.94
27.0,     0.93,    29.32,    30.25
28.0,     1.10,    29.26,    30.36
29.0,     1.29,    29.40,    30.69
30.0,     1.43,    29.22,    30.65
31.0,     1.57,    29.13,    30.70
32.0,     1.67,    28.87,    30.54
33.0,     1.78,    28.56,    30.35
34.0,     1.86,    28.28,    30.14
35.0,     1.97,    27.84,    29.81
36.0,     2.04,    27.44,    29.48
37.0,     2.14,    26.93,    29.07
38.0,     2.24,    26.34,    28.58
39.0,     2.35,    25.74,    28.09
40.0,     2.45,    25.03,    27.47
41.0,     2.56,    24.26,    26.83
42.0,     2.68,    23.41,    26.09
43.0,     2.82,    22.48,    25.30
44.0,     2.94,    21.52,    24.46
45.0,     3.08,    20.47,    23.54
46.0,     3.21,    19.27,    22.48
47.0,     3.32,    17.91,    21.23
48.0,     3.42,    16.32,    19.74
49.0,     3.49,    14.27,    17.77
50.0,     3.40,    14.94,    18.34
51.0,     0.00,     3.42,     3.42
52.0,     0.00,     4.40,     4.40
53.0,     0.00,     4.80,     4.80
54.0,     0.00,     4.67,     4.67
55.0,     0.00,     4.50,     4.50
56.0,     0.00,     4.28,     4.28
57.0,     0.00,     4.13,     4.13
58.0,     0.00,     3.85,     3.85
59.0,     0.00,     3.57,     3.57
60.0,     0.00,     3.43,     3.43
62.0,     0.00,     3.22,     3.22
63.0,     0.00,     3.16,     3.16
64.0,     0.00,     3.04,     3.04
65.0,     0.00,     2.87,     2.87
66.0,     0.00,     2.82,     2.82
67.0,     0.00,     2.72,     2.72
68.0,     0.00,     2.59,     2.59
69.0,     0.00,     2.45,     2.45
70.0,     0.00,     2.49,     2.49
71.0,     0.00,     2.38,     2.38
72.0,     0.00,     2.29,     2.29
73.0,     0.00,     2.23,     2.23
74.0,     0.00,     2.12,     2.12
75.0,     0.00,     2.15,     2.15
76.0,     0.00,     2.00,     2.00
77.0,     0.00,     1.96,     1.96
78.0,     0.00,     1.87,     1.87
79.0,     0.00,     1.91,     1.91
80.0,     0.00,     1.79,     1.79
81.0,     0.00,     1.74,     1.74
82.0,     0.00,     1.66,     1.66
83.0,     0.00,     1.68,     1.68
84.0,     0.00,     1.64,     1.64
85.0,     0.00,     1.53,     1.53
86.0,     0.00,     1.50,     1.50
87.0,     0.00,     1.49,     1.49
88.0,     0.00,     1.45,     1.45
89.0,     0.00,     1.39,     1.39
90.0,     0.00,     1.32,     1.32
91.0,     0.00,     1.34,     1.34
92.0,     0.00,     1.29,     1.29
93.0,     0.00,     1.31,     1.31
94.0,     0.00,     1.19,     1.19
95.0,     0.00,     1.25,     1.25
96.0,     0.00,     1.15,     1.15
97.0,     0.00,     1.19,     1.19
98.0,     0.00,     1.07,     1.07
99.0,     0.00,     1.08,     1.08
100.0,     0.00,     1.12,     1.12
101.0,     0.00,     1.01,     1.01
102.0,     0.00,     0.97,     0.97
103.0,     0.00,     0.98,     0.98
104.0,     0.00,     1.06,     1.06
105.0,     0.00,     0.92,     0.92
106.0,     0.00,     0.89,     0.89
107.0,     0.00,     0.91,     0.91
108.0,     0.00,     0.90,     0.90
109.0,     0.00,     0.90,     0.90
110.0,     0.00,     0.79,     0.79
111.0,     0.00,     0.90,     0.90
112.0,     0.00,     0.84,     0.84
113.0,     0.00,     0.80,     0.80
114.0,     0.00,     0.74,     0.74
115.0,     0.00,     0.82,     0.82
116.0,     0.00,     0.75,     0.75
117.0,     0.00,     0.75,     0.75
118.0,     0.00,     0.68,     0.68
119.0,     0.00,     0.71,     0.71
120.0,     0.00,     0.75,     0.75
121.0,     0.00,     0.69,     0.69
122.0,     0.00,     0.63,     0.63
123.0,     0.00,     0.68,     0.68
124.0,     0.00,     0.65,     0.65
125.0,     0.00,     0.67,     0.67
126.0,     0.00,     0.59,     0.59
127.0,     0.00,     0.64,     0.64
128.0,     0.00,     0.62,     0.62
129.0,     0.00,     0.67,     0.67
130.0,     0.00,     0.54,     0.54
131.0,     0.00,     0.63,     0.63
132.0,     0.00,     0.61,     0.61
133.0,     0.00,     0.58,     0.58
134.0,     0.00,     0.51,     0.51
135.0,     0.00,     0.58,     0.58
136.0,     0.00,     0.58,     0.58
137.0,     0.00,     0.54,     0.54
138.0,     0.00,     0.48,     0.48
139.0,     0.00,     0.51,     0.51
140.0,     0.00,     0.58,     0.58
141.0,     0.00,     0.53,     0.53
142.0,     0.00,     0.44,     0.44
143.0,     0.00,     0.52,     0.52
144.0,     0.00,     0.51,     0.51
145.0,     0.00,     0.52,     0.52
146.0,     0.00,     0.43,     0.43
147.0,     0.00,     0.48,     0.48
148.0,     0.00,     0.49,     0.49
149.0,     0.00,     0.50,     0.50
150.0,     0.00,     0.41,     0.41
151.0,     0.00,     0.45,     0.45
152.0,     0.00,     0.51,     0.51
153.0,     0.00,     0.43,     0.43
154.0,     0.00,     0.40,     0.40
155.0,     0.00,     0.45,     0.45
