z, Q_rad
cm, kW/m2
 2.0,     0.50
 6.0,     0.45
10.0,     0.41
14.0,     0.37
18.0,     0.34
22.0,     0.32
26.0,     0.31
30.0,     0.30
34.0,     0.32
38.0,     0.37
42.0,     0.45
46.0,     0.56
50.0,     0.71
54.0,     0.89
58.0,     1.10
62.0,     1.32
66.0,     1.54
70.0,     1.74
74.0,     1.91
78.0,     2.05
82.0,     2.14
86.0,     2.19
90.0,     2.19
94.0,     2.15
98.0,     2.08
102.0,     1.98
106.0,     1.86
110.0,     1.73
114.0,     1.59
118.0,     1.46
122.0,     1.33
126.0,     1.20
130.0,     1.09
134.0,     0.99
138.0,     0.89
142.0,     0.81
146.0,     0.74
150.0,     0.68
154.0,     0.63
158.0,     0.59
162.0,     0.55
166.0,     0.52
170.0,     0.50
174.0,     0.48
178.0,     0.46
182.0,     0.45
186.0,     0.44
190.0,     0.43
194.0,     0.42
198.0,     0.41
