z, Q_rad
cm, kW/m2
 2.0,     0.44
 6.0,     0.42
10.0,     0.40
14.0,     0.38
18.0,     0.36
22.0,     0.34
26.0,     0.32
30.0,     0.30
34.0,     0.28
38.0,     0.27
42.0,     0.25
46.0,     0.24
50.0,     0.23
54.0,     0.23
58.0,     0.23
62.0,     0.25
66.0,     0.28
70.0,     0.33
74.0,     0.39
78.0,     0.47
82.0,     0.57
86.0,     0.69
90.0,     0.82
94.0,     0.97
98.0,     1.13
102.0,     1.30
106.0,     1.47
110.0,     1.63
114.0,     1.79
118.0,     1.93
122.0,     2.04
126.0,     2.13
130.0,     2.19
134.0,     2.22
138.0,     2.21
142.0,     2.18
146.0,     2.12
150.0,     2.04
154.0,     1.94
158.0,     1.82
162.0,     1.70
166.0,     1.58
170.0,     1.46
174.0,     1.34
178.0,     1.23
182.0,     1.13
186.0,     1.04
190.0,     0.96
194.0,     0.89
198.0,     0.83
