r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     0.41,    14.87,    15.27
 1.0,     0.33,    15.05,    15.38
 2.0,     0.36,    15.53,    15.90
 3.0,     0.38,    16.33,    16.71
 4.0,     0.48,    17.14,    17.62
 5.0,     0.61,    17.77,    18.39
 6.0,     0.79,    18.13,    18.91
 7.0,     1.10,    18.10,    19.20
 8.0,     1.56,    17.81,    19.38
 9.0,     2.05,    17.31,    19.36
10.0,     2.49,    16.56,    19.05
11.0,     2.83,    15.74,    18.57
12.0,     2.90,    14.73,    17.63
13.0,     2.68,    13.29,    15.96
14.0,     3.43,    11.18,    14.61
15.0,     2.85,     8.79,    11.64
16.0,     0.00,     1.76,     1.76
17.0,     0.00,     2.23,     2.23
18.0,     0.00,     2.32,     2.32
19.0,     0.00,     2.17,     2.17
20.0,     0.00,     2.00,     2.00
21.0,     0.00,     1.73,     1.73
22.0,     0.00,     1.58,     1.58
23.0,     0.00,     1.45,     1.45
24.0,     0.00,     1.35,     1.35
25.0,     0.00,     1.22,     1.22
26.0,     0.00,     1.13,     1.13
27.0,     0.00,     1.04,     1.04
28.0,     0.00,     0.95,     0.95
29.0,     0.00,     0.91,     0.91
30.0,     0.00,     0.83,     0.83
31.0,     0.00,     0.77,     0.77
32.0,     0.00,     0.75,     0.75
33.0,     0.00,     0.68,     0.68
34.0,     0.00,     0.64,     0.64
35.0,     0.00,     0.59,     0.59
36.0,     0.00,     0.58,     0.58
37.0,     0.00,     0.52,     0.52
38.0,     0.00,     0.51,     0.51
39.0,     0.00,     0.47,     0.47
40.0,     0.00,     0.46,     0.46
41.0,     0.00,     0.41,     0.41
42.0,     0.00,     0.42,     0.42
43.0,     0.00,     0.37,     0.37
44.0,     0.00,     0.37,     0.37
45.0,     0.00,     0.33,     0.33
46.0,     0.00,     0.35,     0.35
47.0,     0.00,     0.30,     0.30
48.0,     0.00,     0.32,     0.32
49.0,     0.00,     0.28,     0.28
50.0,     0.00,     0.29,     0.29
51.0,     0.00,     0.26,     0.26
52.0,     0.00,     0.27,     0.27
53.0,     0.00,     0.24,     0.24
54.0,     0.00,     0.24,     0.24
55.0,     0.00,     0.22,     0.22
56.0,     0.00,     0.23,     0.23
57.0,     0.00,     0.21,     0.21
58.0,     0.00,     0.22,     0.22
59.0,     0.00,     0.19,     0.19
60.0,     0.00,     0.20,     0.20
61.0,     0.00,     0.17,     0.17
62.0,     0.00,     0.19,     0.19
63.0,     0.00,     0.16,     0.16
64.0,     0.00,     0.18,     0.18
65.0,     0.00,     0.15,     0.15
66.0,     0.00,     0.17,     0.17
67.0,     0.00,     0.15,     0.15
68.0,     0.00,     0.16,     0.16
69.0,     0.00,     0.14,     0.14
70.0,     0.00,     0.15,     0.15
71.0,     0.00,     0.13,     0.13
72.0,     0.00,     0.14,     0.14
73.0,     0.00,     0.13,     0.13
74.0,     0.00,     0.14,     0.14
75.0,     0.00,     0.12,     0.12
76.0,     0.00,     0.13,     0.13
77.0,     0.00,     0.11,     0.11
78.0,     0.00,     0.13,     0.13
79.0,     0.00,     0.10,     0.10
80.0,     0.00,     0.12,     0.12
81.0,     0.00,     0.10,     0.10
82.0,     0.00,     0.11,     0.11
83.0,     0.00,     0.10,     0.10
84.0,     0.00,     0.11,     0.11
85.0,     0.00,     0.09,     0.09
86.0,     0.00,     0.10,     0.10
87.0,     0.00,     0.09,     0.09
88.0,     0.00,     0.10,     0.10
89.0,     0.00,     0.09,     0.09
90.0,     0.00,     0.10,     0.10
91.0,     0.00,     0.10,     0.10
92.0,     0.00,     0.08,     0.08
93.0,     0.00,     0.08,     0.08
94.0,     0.00,     0.08,     0.08
95.0,     0.00,     0.08,     0.08
96.0,     0.00,     0.07,     0.07
97.0,     0.00,     0.08,     0.08
98.0,     0.00,     0.08,     0.08
99.0,     0.00,     0.07,     0.07
