r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     3.34,     1.34,    -0.00,     0.76,   485.65,   175.22
-16.0,     3.89,     1.48,    -0.02,     0.79,   528.43,   198.63
-12.0,     4.46,     1.60,    -0.03,     0.81,   578.00,   219.10
-11.0,     4.60,     1.63,    -0.03,     0.82,   590.75,   224.12
-11.0,     4.60,     1.63,    -0.03,     0.82,   591.24,   224.31
-8.0,     5.01,     1.71,    -0.03,     0.84,   631.90,   239.84
-4.0,     5.46,     1.81,    -0.00,     0.86,   679.72,   261.77
 0.0,     5.66,     1.85,     0.01,     0.87,   702.33,   273.66
 4.0,     5.53,     1.86,     0.02,     0.87,   689.68,   274.55
 8.0,     5.12,     1.82,     0.03,     0.85,   649.44,   264.75
12.0,     4.55,     1.73,     0.02,     0.83,   596.00,   241.96
16.0,     3.95,     1.61,     0.01,     0.82,   544.34,   216.18
20.0,     3.40,     1.47,    -0.01,     0.80,   499.28,   191.34
22.5,     3.07,     1.38,    -0.03,     0.78,   474.66,   176.35
24.0,     2.87,     1.32,    -0.04,     0.77,   459.57,   166.29
27.0,     2.53,     1.24,    -0.06,     0.73,   435.30,   149.43
28.0,     2.42,     1.21,    -0.06,     0.72,   427.32,   143.41
32.0,     2.02,     1.11,    -0.06,     0.67,   401.07,   122.19
36.0,     1.65,     1.01,    -0.07,     0.61,   377.73,   100.33
38.5,     1.45,     0.95,    -0.08,     0.57,   365.94,    88.39
40.0,     1.32,     0.91,    -0.09,     0.55,   358.76,    80.20
43.0,     1.10,     0.83,    -0.10,     0.51,   348.07,    68.65
44.0,     1.03,     0.80,    -0.11,     0.50,   344.59,    64.35
48.0,     0.78,     0.69,    -0.13,     0.44,   333.78,    52.97
52.0,     0.55,     0.58,    -0.14,     0.39,   324.62,    43.40
56.0,     0.37,     0.46,    -0.15,     0.34,   316.48,    33.97
60.0,     0.24,     0.36,    -0.16,     0.30,   310.13,    24.86
