z, Q_rad
cm, kW/m2
 2.0,     0.46
 6.0,     0.45
10.0,     0.45
14.0,     0.44
18.0,     0.44
22.0,     0.44
26.0,     0.44
30.0,     0.46
34.0,     0.49
38.0,     0.55
42.0,     0.63
46.0,     0.76
50.0,     0.91
54.0,     1.10
58.0,     1.31
62.0,     1.54
66.0,     1.76
70.0,     1.95
74.0,     2.11
78.0,     2.22
82.0,     2.27
86.0,     2.26
90.0,     2.19
94.0,     2.07
98.0,     1.93
102.0,     1.76
106.0,     1.58
110.0,     1.41
114.0,     1.25
118.0,     1.10
122.0,     0.98
126.0,     0.88
130.0,     0.80
134.0,     0.73
138.0,     0.68
142.0,     0.65
146.0,     0.62
150.0,     0.60
154.0,     0.59
158.0,     0.58
162.0,     0.58
166.0,     0.58
170.0,     0.58
174.0,     0.58
178.0,     0.58
182.0,     0.58
186.0,     0.58
190.0,     0.58
194.0,     0.58
198.0,     0.57
