r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.44,     0.35,     0.38,     0.20,   970.40,   362.04
-4.5,     0.45,     0.35,     0.38,     0.19,  1011.11,   338.07
-4.0,     0.46,     0.33,     0.38,     0.17,  1046.35,   307.02
-3.5,     0.47,     0.30,     0.36,     0.16,  1071.01,   271.56
-3.0,     0.47,     0.27,     0.33,     0.14,  1077.34,   237.28
-2.5,     0.46,     0.23,     0.27,     0.13,  1061.60,   212.98
-2.0,     0.44,     0.19,     0.22,     0.13,  1031.34,   202.18
-2.0,     0.43,     0.19,     0.22,     0.13,  1029.63,   201.77
-1.5,     0.41,     0.17,     0.16,     0.12,   991.47,   196.93
-1.0,     0.38,     0.16,     0.11,     0.11,   956.37,   191.27
-0.5,     0.36,     0.16,     0.07,     0.10,   930.39,   182.25
 0.0,     0.35,     0.16,     0.02,     0.10,   915.85,   173.77
 0.5,     0.35,     0.15,    -0.03,     0.10,   917.13,   171.59
 1.0,     0.37,     0.15,    -0.09,     0.11,   939.56,   177.11
 1.5,     0.41,     0.15,    -0.14,     0.12,   981.32,   186.38
 2.0,     0.45,     0.17,    -0.20,     0.13,  1030.75,   193.62
 2.1,     0.45,     0.17,    -0.21,     0.13,  1034.99,   194.26
 2.5,     0.47,     0.20,    -0.27,     0.14,  1071.62,   202.02
 3.0,     0.48,     0.24,    -0.32,     0.14,  1091.19,   221.94
 3.5,     0.48,     0.28,    -0.35,     0.16,  1086.46,   253.27
 4.0,     0.48,     0.31,    -0.37,     0.17,  1062.38,   288.02
 4.2,     0.47,     0.32,    -0.38,     0.18,  1051.11,   300.38
 4.5,     0.46,     0.33,    -0.38,     0.19,  1025.38,   321.46
 5.0,     0.45,     0.35,    -0.38,     0.20,   980.86,   349.42
 5.5,     0.44,     0.35,    -0.37,     0.20,   932.79,   368.72
 6.0,     0.43,     0.35,    -0.36,     0.20,   884.05,   379.88
 6.5,     0.42,     0.35,    -0.35,     0.20,   838.15,   385.23
 7.0,     0.41,     0.34,    -0.35,     0.19,   798.35,   386.93
 7.5,     0.41,     0.33,    -0.34,     0.19,   764.32,   386.96
 8.0,     0.40,     0.32,    -0.34,     0.18,   734.59,   387.24
 8.5,     0.39,     0.32,    -0.33,     0.17,   708.24,   388.45
 9.0,     0.38,     0.31,    -0.32,     0.17,   683.90,   390.67
 9.5,     0.37,     0.30,    -0.32,     0.16,   659.48,   392.80
10.0,     0.34,     0.30,    -0.31,     0.16,   632.99,   393.46
10.5,     0.31,     0.29,    -0.30,     0.16,   603.65,   390.63
11.0,     0.28,     0.28,    -0.29,     0.15,   569.70,   381.02
11.5,     0.23,     0.26,    -0.28,     0.15,   529.88,   362.22
12.0,     0.19,     0.25,    -0.27,     0.15,   485.77,   333.07
12.0,     0.19,     0.24,    -0.27,     0.15,   480.88,   329.12
12.5,     0.15,     0.22,    -0.25,     0.15,   439.62,   292.60
13.0,     0.10,     0.19,    -0.24,     0.14,   394.66,   240.71
13.5,     0.07,     0.15,    -0.23,     0.13,   355.59,   181.06
14.0,     0.04,     0.11,    -0.22,     0.13,   327.33,   121.46
14.5,     0.03,     0.08,    -0.21,     0.11,   311.21,    69.55
15.0,     0.03,     0.06,    -0.20,     0.10,   303.88,    30.62
15.5,     0.03,     0.06,    -0.19,     0.09,   301.37,     9.91
16.0,     0.03,     0.05,    -0.18,     0.09,   300.79,     3.06
16.0,     0.03,     0.05,    -0.18,     0.09,   300.75,     2.25
16.5,     0.03,     0.04,    -0.17,     0.08,   300.62,     0.35
17.0,     0.03,     0.04,    -0.16,     0.07,   300.59,     0.07
18.0,     0.02,     0.03,    -0.15,     0.07,   300.56,     0.04
19.0,     0.02,     0.03,    -0.14,     0.06,   300.53,     0.03
20.0,     0.02,     0.02,    -0.13,     0.06,   300.50,     0.03
