r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     0.00,     0.00,     0.00
 1.0,     2.14,    14.75,    16.89
 2.0,     2.24,    15.38,    17.62
 3.0,     2.24,    16.02,    18.27
 4.0,     2.35,    16.46,    18.81
 5.0,     2.63,    16.71,    19.34
 6.0,     3.00,    16.64,    19.65
 7.0,     3.29,    16.51,    19.80
 8.0,     3.46,    16.18,    19.64
 9.0,     3.58,    15.53,    19.10
10.0,     3.69,    14.92,    18.62
11.0,     3.86,    14.16,    18.02
12.0,     4.00,    13.43,    17.44
13.0,     4.14,    12.68,    16.83
14.0,     4.24,    11.58,    15.82
15.0,     4.07,     9.58,    13.66
16.0,     0.00,     2.17,     2.17
17.0,     0.00,     2.54,     2.54
18.0,     0.00,     2.54,     2.54
19.0,     0.00,     2.42,     2.42
20.0,     0.00,     2.27,     2.27
21.0,     0.00,     2.00,     2.00
22.0,     0.00,     1.83,     1.83
23.0,     0.00,     1.70,     1.70
24.0,     0.00,     1.57,     1.57
25.0,     0.00,     1.43,     1.43
26.0,     0.00,     1.32,     1.32
27.0,     0.00,     1.23,     1.23
28.0,     0.00,     1.13,     1.13
29.0,     0.00,     1.08,     1.08
30.0,     0.00,     0.99,     0.99
31.0,     0.00,     0.93,     0.93
32.0,     0.00,     0.89,     0.89
33.0,     0.00,     0.83,     0.83
34.0,     0.00,     0.77,     0.77
35.0,     0.00,     0.72,     0.72
36.0,     0.00,     0.69,     0.69
37.0,     0.00,     0.64,     0.64
38.0,     0.00,     0.61,     0.61
39.0,     0.00,     0.57,     0.57
40.0,     0.00,     0.55,     0.55
41.0,     0.00,     0.51,     0.51
42.0,     0.00,     0.50,     0.50
43.0,     0.00,     0.45,     0.45
44.0,     0.00,     0.44,     0.44
45.0,     0.00,     0.40,     0.40
46.0,     0.00,     0.41,     0.41
47.0,     0.00,     0.36,     0.36
48.0,     0.00,     0.37,     0.37
49.0,     0.00,     0.34,     0.34
50.0,     0.00,     0.33,     0.33
51.0,     0.00,     0.30,     0.30
52.0,     0.00,     0.30,     0.30
53.0,     0.00,     0.28,     0.28
54.0,     0.00,     0.28,     0.28
55.0,     0.00,     0.26,     0.26
56.0,     0.00,     0.26,     0.26
57.0,     0.00,     0.24,     0.24
58.0,     0.00,     0.24,     0.24
59.0,     0.00,     0.21,     0.21
60.0,     0.00,     0.22,     0.22
61.0,     0.00,     0.20,     0.20
62.0,     0.00,     0.21,     0.21
63.0,     0.00,     0.18,     0.18
64.0,     0.00,     0.19,     0.19
65.0,     0.00,     0.17,     0.17
66.0,     0.00,     0.18,     0.18
67.0,     0.00,     0.16,     0.16
68.0,     0.00,     0.17,     0.17
69.0,     0.00,     0.15,     0.15
70.0,     0.00,     0.16,     0.16
71.0,     0.00,     0.14,     0.14
72.0,     0.00,     0.15,     0.15
73.0,     0.00,     0.13,     0.13
74.0,     0.00,     0.14,     0.14
75.0,     0.00,     0.12,     0.12
76.0,     0.00,     0.13,     0.13
77.0,     0.00,     0.11,     0.11
78.0,     0.00,     0.13,     0.13
79.0,     0.00,     0.11,     0.11
80.0,     0.00,     0.12,     0.12
81.0,     0.00,     0.10,     0.10
82.0,     0.00,     0.11,     0.11
83.0,     0.00,     0.10,     0.10
84.0,     0.00,     0.11,     0.11
85.0,     0.00,     0.09,     0.09
86.0,     0.00,     0.10,     0.10
87.0,     0.00,     0.09,     0.09
88.0,     0.00,     0.10,     0.10
89.0,     0.00,     0.09,     0.09
90.0,     0.00,     0.10,     0.10
91.0,     0.00,     0.09,     0.09
92.0,     0.00,     0.08,     0.08
93.0,     0.00,     0.08,     0.08
94.0,     0.00,     0.07,     0.07
95.0,     0.00,     0.07,     0.07
96.0,     0.00,     0.07,     0.07
97.0,     0.00,     0.08,     0.08
98.0,     0.00,     0.07,     0.07
99.0,     0.00,     0.06,     0.06
