Time,HRR,MLR
s,kW,kg/s
1.0000,4.6131,0.000219
2.0000,0.0000,0.000000
3.0000,30.1789,0.001430
4.0000,34.5897,0.001639
5.0000,38.1020,0.001806
6.0000,40.5441,0.001922
7.0000,43.3215,0.002053
8.0000,46.4687,0.002202
9.0000,50.9414,0.002414
10.0000,54.3209,0.002574
11.0000,57.9579,0.002747
12.0000,60.8499,0.002884
13.0000,64.8537,0.003074
14.0000,71.7269,0.003399
15.0000,80.5646,0.003818
16.0000,87.7958,0.004161
17.0000,98.3794,0.004663
18.0000,109.7999,0.005204
19.0000,119.4306,0.005660
20.0000,124.6710,0.005909
21.0000,137.7677,0.006529
22.0000,148.1323,0.007020
23.0000,156.0724,0.007397
24.0000,163.6994,0.007758
25.0000,185.2449,0.008779
26.0000,191.6055,0.009081
27.0000,198.5035,0.009408
28.0000,202.1365,0.009580
29.0000,211.1948,0.010009
30.0000,213.6453,0.010125
31.0000,231.8375,0.010988
32.0000,232.4237,0.011015
33.0000,229.9005,0.010896
34.0000,242.3063,0.011484
35.0000,240.9134,0.011418
36.0000,246.5407,0.011684
37.0000,261.1876,0.012379
38.0000,245.5346,0.011637
39.0000,261.8780,0.012411
40.0000,264.5093,0.012536
41.0000,253.3555,0.012007
42.0000,258.6622,0.012259
43.0000,266.0026,0.012607
44.0000,261.7301,0.012404
45.0000,271.7793,0.012881
46.0000,262.9477,0.012462
47.0000,274.0071,0.012986
48.0000,281.7749,0.013354
49.0000,276.0232,0.013082
50.0000,280.4888,0.013293
51.0000,274.7443,0.013021
52.0000,266.9244,0.012650
53.0000,283.1471,0.013419
54.0000,277.7492,0.013163
55.0000,274.8645,0.013027
56.0000,278.2636,0.013188
57.0000,281.1794,0.013326
58.0000,279.1461,0.013230
59.0000,291.6730,0.013823
60.0000,285.5544,0.013533
61.0000,283.6155,0.013441
62.0000,284.2597,0.013472
63.0000,283.7534,0.013448
64.0000,310.4908,0.014715
65.0000,277.1945,0.013137
66.0000,288.6720,0.013681
67.0000,305.5042,0.014479
68.0000,290.6903,0.013777
