r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     2.21,     0.87,     0.15,     0.51,   578.91,   318.73
-19.0,     2.33,     0.89,     0.14,     0.51,   593.41,   326.59
-18.0,     2.46,     0.92,     0.14,     0.51,   611.00,   337.87
-17.0,     2.59,     0.95,     0.13,     0.51,   631.03,   349.92
-16.0,     2.73,     0.99,     0.12,     0.51,   653.78,   362.64
-15.0,     2.87,     1.04,     0.12,     0.51,   679.38,   375.98
-14.0,     3.02,     1.09,     0.11,     0.51,   708.21,   388.93
-13.0,     3.17,     1.14,     0.10,     0.51,   742.37,   400.79
-12.0,     3.34,     1.19,     0.09,     0.51,   783.25,   410.12
-11.0,     3.53,     1.25,     0.08,     0.52,   830.13,   415.62
-10.0,     3.73,     1.30,     0.07,     0.52,   882.67,   416.70
-9.0,     3.94,     1.36,     0.07,     0.52,   940.86,   413.24
-8.0,     4.14,     1.40,     0.07,     0.52,  1000.43,   405.88
-7.0,     4.34,     1.43,     0.06,     0.52,  1059.39,   394.56
-6.0,     4.53,     1.44,     0.05,     0.52,  1116.83,   376.82
-5.0,     4.71,     1.43,     0.04,     0.51,  1171.44,   352.44
-4.0,     4.88,     1.42,     0.03,     0.50,  1223.46,   323.66
-3.0,     5.03,     1.39,     0.02,     0.50,  1267.53,   291.81
-2.0,     5.14,     1.37,     0.01,     0.49,  1298.26,   264.13
-1.0,     5.20,     1.35,     0.00,     0.49,  1316.13,   248.07
 0.0,     5.22,     1.33,    -0.01,     0.49,  1322.64,   241.98
 1.0,     5.20,     1.33,    -0.02,     0.49,  1317.10,   249.74
 2.0,     5.15,     1.35,    -0.03,     0.50,  1301.76,   270.36
 3.0,     5.07,     1.37,    -0.03,     0.50,  1279.16,   295.66
 4.0,     4.97,     1.38,    -0.04,     0.51,  1247.78,   322.40
 4.1,     4.95,     1.38,    -0.04,     0.51,  1242.69,   325.56
 5.0,     4.83,     1.38,    -0.05,     0.51,  1205.91,   347.57
 6.0,     4.67,     1.36,    -0.06,     0.51,  1154.48,   371.35
 7.0,     4.48,     1.34,    -0.07,     0.51,  1096.55,   392.54
 8.0,     4.26,     1.33,    -0.07,     0.51,  1033.19,   408.32
 9.0,     4.02,     1.29,    -0.07,     0.51,   965.46,   417.66
10.0,     3.78,     1.23,    -0.08,     0.51,   898.62,   418.93
11.0,     3.55,     1.17,    -0.08,     0.51,   836.55,   411.65
11.1,     3.54,     1.17,    -0.08,     0.51,   833.40,   410.92
12.0,     3.35,     1.12,    -0.08,     0.51,   783.12,   399.20
13.0,     3.18,     1.09,    -0.09,     0.51,   741.21,   386.96
14.0,     3.01,     1.06,    -0.10,     0.50,   705.56,   375.29
15.0,     2.85,     1.01,    -0.11,     0.50,   672.76,   362.49
16.0,     2.69,     0.96,    -0.12,     0.50,   645.00,   349.93
