r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     3.55,     1.55,    -0.03,     0.84,   529.79,   228.90
-16.0,     4.14,     1.72,    -0.05,     0.88,   583.82,   258.85
-12.0,     4.76,     1.85,    -0.06,     0.91,   644.60,   282.73
-11.0,     4.89,     1.87,    -0.06,     0.91,   658.55,   286.68
-11.0,     4.90,     1.87,    -0.06,     0.91,   659.09,   286.84
-8.0,     5.32,     1.93,    -0.05,     0.94,   704.42,   299.32
-4.0,     5.71,     1.98,    -0.04,     0.95,   748.71,   308.13
 0.0,     5.84,     1.98,    -0.01,     0.95,   765.05,   309.03
 4.0,     5.72,     1.93,     0.03,     0.94,   747.98,   304.16
 8.0,     5.35,     1.85,     0.04,     0.93,   703.81,   294.98
12.0,     4.82,     1.78,     0.05,     0.91,   646.27,   279.57
16.0,     4.21,     1.66,     0.03,     0.87,   586.85,   256.75
20.0,     3.61,     1.52,     0.01,     0.83,   532.24,   227.70
22.5,     3.25,     1.44,    -0.00,     0.80,   502.40,   207.32
24.0,     3.03,     1.39,    -0.01,     0.78,   484.08,   193.66
27.0,     2.65,     1.29,    -0.03,     0.75,   454.21,   169.51
28.0,     2.53,     1.26,    -0.04,     0.74,   444.39,   160.76
32.0,     2.10,     1.13,    -0.05,     0.70,   414.24,   135.92
36.0,     1.73,     1.06,    -0.07,     0.65,   390.59,   116.02
38.5,     1.52,     1.01,    -0.08,     0.62,   378.16,   104.64
40.0,     1.40,     0.98,    -0.08,     0.61,   370.64,    97.02
43.0,     1.17,     0.91,    -0.10,     0.57,   358.28,    85.33
44.0,     1.09,     0.88,    -0.11,     0.55,   354.24,    81.13
48.0,     0.81,     0.78,    -0.13,     0.50,   340.83,    69.04
52.0,     0.58,     0.67,    -0.14,     0.46,   329.63,    59.05
56.0,     0.40,     0.57,    -0.15,     0.41,   320.78,    50.62
60.0,     0.27,     0.45,    -0.16,     0.36,   314.15,    43.07
