r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     3.57,     1.55,    -0.03,     0.85,   531.29,   228.20
-16.0,     4.15,     1.72,    -0.05,     0.89,   583.76,   258.41
-12.0,     4.74,     1.87,    -0.06,     0.92,   642.26,   285.36
-11.0,     4.87,     1.90,    -0.06,     0.93,   655.97,   289.83
-11.0,     4.87,     1.90,    -0.06,     0.93,   656.50,   290.00
-8.0,     5.27,     1.98,    -0.05,     0.95,   700.78,   304.26
-4.0,     5.67,     2.04,    -0.02,     0.97,   745.52,   313.21
 0.0,     5.82,     2.04,     0.01,     0.97,   761.03,   312.84
 4.0,     5.69,     2.01,     0.03,     0.96,   743.63,   308.92
 8.0,     5.30,     1.94,     0.05,     0.93,   698.81,   299.21
12.0,     4.74,     1.81,     0.06,     0.90,   639.60,   279.14
16.0,     4.15,     1.67,     0.05,     0.87,   581.27,   254.13
20.0,     3.57,     1.53,     0.03,     0.84,   530.36,   229.01
22.5,     3.23,     1.45,     0.02,     0.81,   503.46,   214.43
24.0,     3.03,     1.39,     0.01,     0.79,   487.05,   204.97
27.0,     2.65,     1.30,    -0.00,     0.76,   459.86,   187.72
28.0,     2.53,     1.27,    -0.01,     0.75,   450.96,   181.68
32.0,     2.09,     1.15,    -0.03,     0.71,   420.40,   157.11
36.0,     1.72,     1.06,    -0.06,     0.66,   393.19,   131.14
38.5,     1.51,     1.00,    -0.07,     0.62,   378.92,   116.19
40.0,     1.38,     0.96,    -0.08,     0.60,   370.16,   105.87
43.0,     1.15,     0.88,    -0.10,     0.56,   356.07,    88.38
44.0,     1.07,     0.85,    -0.11,     0.54,   351.48,    81.83
48.0,     0.79,     0.74,    -0.13,     0.49,   336.43,    61.92
52.0,     0.56,     0.64,    -0.15,     0.43,   325.12,    48.03
56.0,     0.38,     0.53,    -0.16,     0.38,   317.02,    38.19
60.0,     0.25,     0.42,    -0.17,     0.34,   311.15,    29.39
