r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.23,     1.03,    -0.01,     0.36,   541.49,   212.86
-3.0,     2.75,     1.19,    -0.01,     0.37,   640.07,   245.53
-1.0,     3.16,     1.27,    -0.00,     0.38,   725.97,   261.63
 1.0,     3.14,     1.26,     0.01,     0.38,   721.00,   259.82
 3.0,     2.72,     1.17,     0.02,     0.37,   633.82,   244.39
 5.0,     2.23,     1.02,     0.01,     0.36,   540.45,   214.48
 7.0,     1.80,     0.88,    -0.00,     0.35,   472.87,   177.71
 9.0,     1.41,     0.78,    -0.02,     0.33,   426.34,   143.48
11.0,     1.05,     0.70,    -0.04,     0.31,   390.23,   113.64
13.0,     0.74,     0.60,    -0.06,     0.28,   361.44,    89.18
15.0,     0.50,     0.50,    -0.07,     0.25,   339.91,    68.75
17.0,     0.32,     0.40,    -0.08,     0.22,   324.75,    51.10
19.0,     0.20,     0.30,    -0.09,     0.19,   314.66,    37.56
21.0,     0.12,     0.22,    -0.09,     0.16,   308.35,    27.24
