r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-18.0,     2.58,     1.42,     0.05,     0.57,   515.41,   273.69
-14.0,     3.08,     1.63,     0.03,     0.57,   592.54,   302.93
-10.0,     3.79,     1.89,     0.01,     0.56,   717.83,   327.83
-6.0,     4.56,     2.07,     0.00,     0.55,   864.99,   331.58
-2.0,     5.07,     2.10,     0.01,     0.53,   965.05,   313.22
 2.0,     5.09,     2.08,     0.02,     0.53,   967.77,   307.60
 6.0,     4.61,     2.01,     0.03,     0.54,   869.66,   326.27
10.0,     3.86,     1.83,     0.01,     0.55,   724.40,   330.83
14.0,     3.15,     1.60,    -0.01,     0.57,   599.70,   307.65
18.0,     2.64,     1.42,    -0.04,     0.57,   520.91,   277.48
22.0,     2.28,     1.30,    -0.07,     0.57,   479.64,   251.42
26.0,     1.98,     1.20,    -0.09,     0.56,   456.92,   226.72
30.0,     1.71,     1.10,    -0.12,     0.57,   441.64,   203.18
34.0,     1.46,     1.01,    -0.14,     0.57,   429.86,   183.76
38.0,     1.26,     0.93,    -0.15,     0.58,   419.08,   168.22
42.0,     1.07,     0.86,    -0.16,     0.57,   407.40,   154.50
46.0,     0.88,     0.78,    -0.17,     0.55,   393.02,   139.89
50.0,     0.69,     0.71,    -0.18,     0.52,   376.10,   123.82
54.0,     0.51,     0.62,    -0.19,     0.49,   356.68,   104.86
58.0,     0.35,     0.52,    -0.20,     0.44,   337.57,    83.74
62.0,     0.21,     0.40,    -0.21,     0.38,   322.19,    62.15
