Time,HRR,MLR
s,kW,kg/s
1.0000,1.8456,0.000087
2.0000,2.8105,0.000133
3.0000,3.1701,0.000150
4.0000,3.5392,0.000168
5.0000,3.8560,0.000183
6.0000,4.1786,0.000198
7.0000,4.5492,0.000216
8.0000,4.8510,0.000230
9.0000,5.1126,0.000242
10.0000,5.3153,0.000252
11.0000,5.5098,0.000261
12.0000,5.5642,0.000264
13.0000,5.7510,0.000273
14.0000,6.9136,0.000328
15.0000,7.7586,0.000368
16.0000,8.6480,0.000410
17.0000,9.3978,0.000445
18.0000,10.0605,0.000477
19.0000,10.3873,0.000492
20.0000,10.0460,0.000476
21.0000,11.4165,0.000541
22.0000,11.5832,0.000549
23.0000,12.0000,0.000569
24.0000,12.5669,0.000596
25.0000,13.1088,0.000621
26.0000,12.5757,0.000596
27.0000,13.9601,0.000662
28.0000,12.9893,0.000616
29.0000,14.2168,0.000674
30.0000,13.2948,0.000630
31.0000,14.2922,0.000677
32.0000,13.5468,0.000642
33.0000,14.2214,0.000674
34.0000,14.3165,0.000679
35.0000,14.5117,0.000688
36.0000,14.8520,0.000704
37.0000,15.7140,0.000745
38.0000,15.7027,0.000744
39.0000,14.4341,0.000684
40.0000,14.1451,0.000670
41.0000,16.6945,0.000791
42.0000,15.2577,0.000723
43.0000,15.4092,0.000730
44.0000,16.4406,0.000779
45.0000,15.4418,0.000732
46.0000,16.7051,0.000792
47.0000,15.3962,0.000730
48.0000,15.0960,0.000715
49.0000,16.2299,0.000769
50.0000,15.9471,0.000756
51.0000,15.6804,0.000743
52.0000,16.4324,0.000779
53.0000,17.0650,0.000809
54.0000,15.4022,0.000730
55.0000,16.5903,0.000786
56.0000,16.7453,0.000794
57.0000,16.7792,0.000795
58.0000,16.3986,0.000777
59.0000,16.7792,0.000795
60.0000,16.4758,0.000781
61.0000,17.0568,0.000808
62.0000,17.1518,0.000813
63.0000,16.9836,0.000805
64.0000,16.6319,0.000788
65.0000,16.6912,0.000791
66.0000,17.5395,0.000831
67.0000,16.7919,0.000796
68.0000,17.5270,0.000831
69.0000,16.3560,0.000775
70.0000,18.2579,0.000865
71.0000,17.6293,0.000836
72.0000,18.4671,0.000875
73.0000,17.6580,0.000837
74.0000,17.5271,0.000831
75.0000,17.0359,0.000807
76.0000,17.8329,0.000845
77.0000,16.5571,0.000785
78.0000,17.7295,0.000840
79.0000,17.4639,0.000828
80.0000,18.3895,0.000872
81.0000,17.7665,0.000842
82.0000,18.3721,0.000871
83.0000,17.9535,0.000851
84.0000,19.0271,0.000902
85.0000,17.9590,0.000851
86.0000,15.6098,0.000740
87.0000,17.6112,0.000835
88.0000,18.9969,0.000900
89.0000,17.7096,0.000839
90.0000,18.9150,0.000896
91.0000,17.2604,0.000818
92.0000,17.8819,0.000847
93.0000,18.6519,0.000884
94.0000,17.1255,0.000812
95.0000,18.5519,0.000879
96.0000,19.0824,0.000904
97.0000,18.3477,0.000870
98.0000,17.2690,0.000818
99.0000,18.3588,0.000870
100.0000,17.7449,0.000841
101.0000,17.5155,0.000830
102.0000,17.4620,0.000828
103.0000,17.9900,0.000853
104.0000,17.9896,0.000853
105.0000,17.6798,0.000838
106.0000,18.3236,0.000868
107.0000,16.9370,0.000803
108.0000,19.0507,0.000903
109.0000,17.7236,0.000840
110.0000,17.5541,0.000832
111.0000,18.3177,0.000868
112.0000,17.7940,0.000843
113.0000,18.2035,0.000863
114.0000,17.7043,0.000839
115.0000,18.1136,0.000858
116.0000,18.5877,0.000881
117.0000,18.4180,0.000873
118.0000,19.3265,0.000916
119.0000,18.3095,0.000868
120.0000,18.8201,0.000892
121.0000,17.3601,0.000823
122.0000,19.8894,0.000943
123.0000,18.4443,0.000874
124.0000,17.8840,0.000848
125.0000,18.8150,0.000892
126.0000,17.1167,0.000811
127.0000,18.4797,0.000876
128.0000,17.6426,0.000836
129.0000,18.9782,0.000899
130.0000,18.0747,0.000857
131.0000,18.2896,0.000867
132.0000,18.6672,0.000885
133.0000,18.1703,0.000861
134.0000,18.3572,0.000870
135.0000,17.1320,0.000812
136.0000,17.7826,0.000843
137.0000,18.3452,0.000869
138.0000,17.8802,0.000847
139.0000,18.2326,0.000864
140.0000,18.7052,0.000887
141.0000,18.2048,0.000863
142.0000,17.7222,0.000840
143.0000,18.0924,0.000857
144.0000,18.8969,0.000896
145.0000,19.0494,0.000903
146.0000,20.1771,0.000956
147.0000,18.3334,0.000869
148.0000,19.3942,0.000919
149.0000,17.5896,0.000834
150.0000,17.8622,0.000847
151.0000,19.0937,0.000905
152.0000,17.1118,0.000811
153.0000,18.9038,0.000896
154.0000,16.9261,0.000802
155.0000,17.9669,0.000852
156.0000,18.9182,0.000897
157.0000,18.0673,0.000856
158.0000,18.8170,0.000892
159.0000,18.0572,0.000856
160.0000,18.2030,0.000863
161.0000,16.6801,0.000791
162.0000,18.7385,0.000888
163.0000,18.5464,0.000879
164.0000,18.9425,0.000898
165.0000,18.7138,0.000887
166.0000,17.6336,0.000836
167.0000,18.6740,0.000885
168.0000,17.5283,0.000831
169.0000,18.1071,0.000858
170.0000,18.9230,0.000897
171.0000,18.3723,0.000871
172.0000,18.3565,0.000870
173.0000,17.7035,0.000839
174.0000,18.8003,0.000891
175.0000,18.7612,0.000889
176.0000,18.2787,0.000866
177.0000,19.3645,0.000918
178.0000,17.9690,0.000852
179.0000,19.6748,0.000932
180.0000,17.9993,0.000853
181.0000,18.6086,0.000882
182.0000,18.9447,0.000898
183.0000,17.8267,0.000845
184.0000,19.6663,0.000932
185.0000,18.4230,0.000873
186.0000,19.4596,0.000922
187.0000,20.5312,0.000973
188.0000,19.2476,0.000912
189.0000,20.9124,0.000991
190.0000,19.4686,0.000923
191.0000,19.4481,0.000922
192.0000,18.2841,0.000867
193.0000,18.9416,0.000898
194.0000,19.6391,0.000931
195.0000,20.3958,0.000967
196.0000,18.3485,0.000870
197.0000,18.4497,0.000874
198.0000,17.4815,0.000829
199.0000,18.7970,0.000891
200.0000,18.3679,0.000871
201.0000,17.3767,0.000824
202.0000,19.3099,0.000915
203.0000,18.1169,0.000859
204.0000,18.7378,0.000888
205.0000,17.5186,0.000830
206.0000,21.3843,0.001013
207.0000,18.5114,0.000877
208.0000,17.8214,0.000845
209.0000,18.6046,0.000882
210.0000,18.2082,0.000863
211.0000,19.7966,0.000938
212.0000,18.3497,0.000870
213.0000,18.9168,0.000897
214.0000,18.8768,0.000895
215.0000,19.3188,0.000916
216.0000,18.5399,0.000879
217.0000,20.3684,0.000965
218.0000,19.6525,0.000931
219.0000,20.7178,0.000982
220.0000,17.8905,0.000848
