r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     2.24,     0.90,     0.14,     0.53,   594.44,   333.73
-19.0,     2.37,     0.92,     0.13,     0.54,   609.57,   341.36
-18.0,     2.50,     0.94,     0.13,     0.54,   626.93,   350.23
-17.0,     2.64,     0.98,     0.12,     0.54,   648.33,   361.12
-16.0,     2.79,     1.02,     0.11,     0.53,   674.26,   372.93
-15.0,     2.94,     1.06,     0.10,     0.53,   704.63,   385.06
-14.0,     3.10,     1.11,     0.09,     0.53,   740.06,   397.57
-13.0,     3.28,     1.16,     0.09,     0.53,   780.30,   408.18
-12.0,     3.46,     1.21,     0.08,     0.52,   825.50,   415.41
-11.0,     3.66,     1.25,     0.07,     0.52,   876.04,   419.46
-10.0,     3.86,     1.29,     0.07,     0.51,   931.41,   418.27
-9.0,     4.06,     1.33,     0.07,     0.51,   991.27,   410.68
-8.0,     4.27,     1.35,     0.07,     0.51,  1052.16,   396.32
-7.0,     4.46,     1.37,     0.07,     0.50,  1109.07,   374.38
-6.0,     4.63,     1.36,     0.06,     0.50,  1161.76,   346.10
-5.0,     4.79,     1.33,     0.06,     0.50,  1209.22,   312.58
-4.0,     4.92,     1.30,     0.05,     0.50,  1247.83,   277.55
-3.0,     5.02,     1.26,     0.03,     0.50,  1274.29,   248.93
-2.0,     5.09,     1.23,     0.02,     0.50,  1289.50,   228.80
-1.0,     5.12,     1.20,     0.00,     0.50,  1297.22,   217.27
 0.0,     5.13,     1.19,    -0.01,     0.50,  1299.15,   215.10
 1.0,     5.12,     1.20,    -0.02,     0.49,  1296.65,   220.63
 2.0,     5.10,     1.22,    -0.03,     0.50,  1290.27,   232.14
 3.0,     5.05,     1.25,    -0.04,     0.50,  1279.02,   249.53
 4.0,     4.97,     1.30,    -0.05,     0.50,  1259.06,   274.22
 4.1,     4.95,     1.30,    -0.05,     0.50,  1255.08,   278.14
 5.0,     4.85,     1.33,    -0.06,     0.50,  1226.26,   305.04
 6.0,     4.69,     1.36,    -0.07,     0.50,  1179.56,   338.34
 7.0,     4.50,     1.37,    -0.07,     0.51,  1122.19,   368.83
 8.0,     4.29,     1.36,    -0.07,     0.51,  1059.70,   392.16
 9.0,     4.07,     1.34,    -0.08,     0.51,   995.76,   407.08
10.0,     3.85,     1.31,    -0.08,     0.51,   931.35,   414.46
11.0,     3.62,     1.26,    -0.09,     0.51,   869.29,   415.77
11.1,     3.61,     1.26,    -0.09,     0.51,   866.04,   415.59
12.0,     3.41,     1.21,    -0.10,     0.52,   814.32,   412.70
13.0,     3.22,     1.16,    -0.10,     0.52,   767.76,   406.37
14.0,     3.04,     1.11,    -0.11,     0.53,   727.13,   396.63
15.0,     2.87,     1.06,    -0.11,     0.53,   691.69,   383.89
16.0,     2.72,     1.02,    -0.12,     0.53,   663.05,   370.99
16.6,     2.63,     1.00,    -0.12,     0.53,   648.64,   363.76
17.0,     2.58,     0.99,    -0.13,     0.53,   639.79,   359.25
18.0,     2.45,     0.97,    -0.14,     0.53,   619.24,   347.86
19.0,     2.33,     0.94,    -0.14,     0.53,   601.57,   337.42
20.0,     2.21,     0.92,    -0.15,     0.52,   586.38,   327.84
21.0,     2.09,     0.91,    -0.16,     0.52,   571.82,   318.75
21.1,     2.07,     0.90,    -0.16,     0.52,   570.28,   317.88
22.0,     1.97,     0.89,    -0.16,     0.51,   558.02,   310.84
23.0,     1.86,     0.87,    -0.17,     0.50,   544.88,   304.10
24.0,     1.74,     0.85,    -0.17,     0.50,   531.00,   296.70
25.0,     1.63,     0.82,    -0.17,     0.49,   516.99,   287.90
26.0,     1.53,     0.80,    -0.18,     0.49,   504.17,   278.73
27.0,     1.43,     0.78,    -0.18,     0.48,   492.10,   269.46
28.0,     1.33,     0.76,    -0.19,     0.48,   480.75,   260.19
29.0,     1.24,     0.74,    -0.19,     0.47,   469.50,   249.45
30.0,     1.15,     0.71,    -0.19,     0.46,   458.46,   237.74
31.0,     1.08,     0.69,    -0.19,     0.46,   448.63,   227.09
32.0,     1.00,     0.67,    -0.19,     0.45,   439.22,   216.14
32.4,     0.98,     0.66,    -0.19,     0.45,   435.68,   211.85
33.0,     0.93,     0.64,    -0.19,     0.44,   429.80,   204.53
34.0,     0.85,     0.62,    -0.19,     0.43,   420.22,   193.24
35.0,     0.78,     0.60,    -0.18,     0.43,   410.44,   182.10
36.0,     0.71,     0.57,    -0.18,     0.42,   401.47,   171.51
37.0,     0.65,     0.54,    -0.18,     0.41,   393.83,   162.28
37.6,     0.61,     0.53,    -0.18,     0.40,   389.48,   157.18
38.0,     0.59,     0.51,    -0.18,     0.40,   386.43,   153.52
39.0,     0.53,     0.49,    -0.18,     0.39,   378.47,   144.32
40.0,     0.48,     0.46,    -0.18,     0.38,   370.64,   135.81
41.0,     0.43,     0.45,    -0.18,     0.37,   363.54,   128.24
42.0,     0.38,     0.43,    -0.18,     0.36,   356.75,   120.01
43.0,     0.33,     0.41,    -0.18,     0.34,   350.06,   110.08
44.0,     0.29,     0.39,    -0.18,     0.33,   343.44,    99.16
45.0,     0.25,     0.36,    -0.18,     0.32,   337.29,    89.69
45.9,     0.21,     0.34,    -0.18,     0.31,   332.15,    82.36
46.0,     0.21,     0.34,    -0.18,     0.30,   331.83,    81.88
47.0,     0.17,     0.32,    -0.18,     0.29,   327.04,    75.21
48.0,     0.15,     0.29,    -0.18,     0.28,   323.05,    70.00
49.0,     0.12,     0.27,    -0.18,     0.27,   319.57,    65.11
50.0,     0.10,     0.25,    -0.18,     0.26,   316.30,    59.61
51.0,     0.08,     0.23,    -0.18,     0.24,   313.50,    54.37
52.0,     0.07,     0.22,    -0.18,     0.23,   311.63,    50.52
54.0,     0.05,     0.20,    -0.18,     0.21,   308.13,    43.04
54.9,     0.04,     0.19,    -0.18,     0.20,   307.05,    39.90
56.0,     0.03,     0.17,    -0.18,     0.19,   305.92,    37.13
59.2,     0.02,     0.14,    -0.17,     0.16,   303.34,    24.32
60.0,     0.01,     0.13,    -0.17,     0.14,   302.61,    19.41
