r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 1.0,     2.72,    15.91,    18.63
 2.0,     3.22,    16.65,    19.87
 3.0,     3.53,    17.26,    20.79
 4.0,     4.05,    17.64,    21.69
 5.0,     4.71,    17.71,    22.42
 6.0,     4.92,    17.38,    22.30
 7.0,     5.10,    16.98,    22.08
 8.0,     5.17,    16.53,    21.70
 9.0,     5.08,    15.81,    20.90
10.0,     5.12,    15.21,    20.33
11.0,     5.17,    14.52,    19.68
12.0,     5.34,    13.84,    19.18
13.0,     5.44,    13.10,    18.54
14.0,     5.40,    11.96,    17.36
15.0,     3.50,     7.88,    11.38
16.0,     0.00,     2.37,     2.38
17.0,     0.00,     2.75,     2.76
18.0,     0.00,     2.74,     2.75
19.0,     0.00,     2.60,     2.61
20.0,     0.00,     2.44,     2.44
21.0,     0.00,     2.15,     2.15
22.0,     0.00,     1.97,     1.97
23.0,     0.00,     1.83,     1.83
24.0,     0.00,     1.68,     1.68
25.0,     0.00,     1.54,     1.54
26.0,     0.00,     1.41,     1.41
27.0,     0.00,     1.33,     1.33
28.0,     0.00,     1.21,     1.21
29.0,     0.00,     1.17,     1.17
30.0,     0.00,     1.06,     1.06
31.0,     0.00,     1.00,     1.00
32.0,     0.00,     0.96,     0.96
33.0,     0.00,     0.89,     0.89
34.0,     0.00,     0.82,     0.83
35.0,     0.00,     0.78,     0.78
36.0,     0.00,     0.74,     0.74
37.0,     0.00,     0.69,     0.69
38.0,     0.00,     0.66,     0.66
39.0,     0.00,     0.63,     0.63
40.0,     0.00,     0.59,     0.59
41.0,     0.00,     0.56,     0.56
42.0,     0.00,     0.54,     0.54
43.0,     0.00,     0.49,     0.49
44.0,     0.00,     0.48,     0.48
45.0,     0.00,     0.44,     0.44
46.0,     0.00,     0.44,     0.44
47.0,     0.00,     0.40,     0.40
48.0,     0.00,     0.40,     0.40
49.0,     0.00,     0.37,     0.37
50.0,     0.00,     0.36,     0.36
51.0,     0.00,     0.33,     0.33
52.0,     0.00,     0.33,     0.33
53.0,     0.00,     0.31,     0.31
54.0,     0.00,     0.30,     0.30
55.0,     0.00,     0.28,     0.28
56.0,     0.00,     0.28,     0.28
57.0,     0.00,     0.26,     0.26
58.0,     0.00,     0.26,     0.26
59.0,     0.00,     0.23,     0.23
60.0,     0.00,     0.24,     0.24
61.0,     0.00,     0.21,     0.21
62.0,     0.00,     0.22,     0.22
63.0,     0.00,     0.20,     0.20
64.0,     0.00,     0.20,     0.20
65.0,     0.00,     0.18,     0.18
66.0,     0.00,     0.19,     0.19
67.0,     0.00,     0.17,     0.17
68.0,     0.00,     0.17,     0.17
69.0,     0.00,     0.15,     0.15
70.0,     0.00,     0.17,     0.17
71.0,     0.00,     0.15,     0.15
72.0,     0.00,     0.15,     0.15
73.0,     0.00,     0.14,     0.14
74.0,     0.00,     0.14,     0.14
75.0,     0.00,     0.13,     0.13
76.0,     0.00,     0.14,     0.14
77.0,     0.00,     0.12,     0.12
78.0,     0.00,     0.13,     0.13
79.0,     0.00,     0.11,     0.11
80.0,     0.00,     0.12,     0.12
81.0,     0.00,     0.11,     0.11
82.0,     0.00,     0.11,     0.11
83.0,     0.00,     0.10,     0.10
84.0,     0.00,     0.11,     0.11
85.0,     0.00,     0.10,     0.10
86.0,     0.00,     0.10,     0.10
87.0,     0.00,     0.09,     0.09
88.0,     0.00,     0.10,     0.10
89.0,     0.00,     0.09,     0.09
90.0,     0.00,     0.10,     0.10
91.0,     0.00,     0.09,     0.09
92.0,     0.00,     0.08,     0.08
93.0,     0.00,     0.08,     0.08
94.0,     0.00,     0.07,     0.07
95.0,     0.00,     0.07,     0.07
96.0,     0.00,     0.07,     0.07
97.0,     0.00,     0.08,     0.08
98.0,     0.00,     0.07,     0.07
99.0,     0.00,     0.06,     0.06
