r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     3.61,     1.38,     0.00,     0.71,   507.97,   199.12
-16.0,     4.17,     1.53,    -0.01,     0.76,   564.60,   229.15
-12.0,     4.79,     1.69,    -0.03,     0.81,   631.23,   254.59
-11.0,     4.94,     1.73,    -0.03,     0.82,   647.97,   259.57
-11.0,     4.94,     1.73,    -0.03,     0.82,   648.61,   259.76
-8.0,     5.40,     1.84,    -0.03,     0.85,   702.42,   275.31
-4.0,     5.88,     1.94,    -0.02,     0.88,   760.19,   289.82
 0.0,     6.04,     1.97,    -0.00,     0.88,   780.02,   294.87
 4.0,     5.86,     1.96,     0.02,     0.86,   755.21,   291.84
 8.0,     5.42,     1.88,     0.04,     0.84,   697.29,   279.14
12.0,     4.85,     1.74,     0.04,     0.80,   626.84,   257.13
16.0,     4.25,     1.57,     0.03,     0.76,   562.62,   230.70
20.0,     3.70,     1.42,     0.01,     0.73,   511.96,   205.56
22.5,     3.40,     1.34,    -0.00,     0.71,   488.22,   192.39
24.0,     3.22,     1.29,    -0.01,     0.70,   473.75,   183.85
27.0,     2.90,     1.21,    -0.02,     0.68,   451.78,   169.78
28.0,     2.79,     1.18,    -0.02,     0.68,   444.60,   164.91
32.0,     2.41,     1.11,    -0.04,     0.65,   421.30,   147.54
36.0,     2.06,     1.05,    -0.06,     0.63,   400.75,   128.56
38.5,     1.86,     1.01,    -0.07,     0.61,   389.36,   116.92
40.0,     1.74,     0.99,    -0.07,     0.60,   382.42,   108.99
43.0,     1.51,     0.94,    -0.08,     0.58,   370.31,    96.35
44.0,     1.43,     0.92,    -0.09,     0.58,   366.35,    91.73
48.0,     1.14,     0.84,    -0.11,     0.54,   352.62,    77.05
52.0,     0.88,     0.73,    -0.13,     0.49,   341.20,    64.14
56.0,     0.66,     0.63,    -0.16,     0.44,   331.10,    52.25
60.0,     0.48,     0.55,    -0.17,     0.40,   322.78,    42.95
