r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.82,     0.76,    -0.01,     0.36,   558.77,   309.99
-4.5,     1.95,     0.82,    -0.02,     0.37,   589.65,   327.30
-4.0,     2.11,     0.88,    -0.02,     0.37,   629.82,   345.43
-3.5,     2.29,     0.95,    -0.03,     0.38,   681.20,   363.77
-3.0,     2.49,     1.03,    -0.04,     0.38,   744.00,   380.66
-2.5,     2.70,     1.10,    -0.04,     0.39,   815.24,   394.17
-2.0,     2.91,     1.16,    -0.04,     0.39,   887.26,   401.49
-1.5,     3.09,     1.20,    -0.03,     0.39,   949.16,   401.07
-1.0,     3.22,     1.21,    -0.02,     0.39,   992.68,   395.58
-0.5,     3.28,     1.22,    -0.02,     0.39,  1015.83,   389.59
 0.0,     3.29,     1.21,    -0.01,     0.39,  1019.74,   386.11
 0.5,     3.25,     1.19,    -0.00,     0.40,  1005.95,   387.21
 1.0,     3.16,     1.17,     0.01,     0.40,   976.11,   392.15
 1.5,     3.03,     1.15,     0.02,     0.41,   930.83,   396.38
 2.0,     2.86,     1.11,     0.02,     0.41,   872.39,   397.44
 2.5,     2.67,     1.06,     0.03,     0.41,   808.60,   395.59
 3.0,     2.49,     1.01,     0.03,     0.41,   749.69,   390.56
 3.5,     2.32,     0.96,     0.03,     0.41,   699.13,   381.34
 4.0,     2.16,     0.90,     0.02,     0.41,   655.60,   368.95
 4.5,     2.01,     0.85,     0.01,     0.40,   619.19,   355.40
 5.0,     1.88,     0.79,     0.01,     0.39,   589.18,   339.91
 5.5,     1.78,     0.74,    -0.00,     0.38,   565.47,   324.36
 6.0,     1.68,     0.70,    -0.01,     0.38,   548.18,   311.65
 6.5,     1.60,     0.67,    -0.02,     0.37,   535.15,   301.08
 7.0,     1.51,     0.65,    -0.02,     0.37,   523.83,   290.81
 7.5,     1.43,     0.63,    -0.03,     0.37,   513.28,   279.96
 8.0,     1.36,     0.62,    -0.04,     0.36,   503.78,   269.39
 8.5,     1.28,     0.60,    -0.05,     0.36,   494.88,   258.86
 9.0,     1.21,     0.59,    -0.05,     0.36,   486.13,   248.46
 9.5,     1.14,     0.58,    -0.06,     0.36,   478.11,   240.11
10.0,     1.07,     0.58,    -0.06,     0.36,   470.24,   233.34
10.5,     1.01,     0.57,    -0.06,     0.36,   461.32,   225.81
11.0,     0.95,     0.56,    -0.07,     0.35,   451.75,   217.33
11.5,     0.89,     0.54,    -0.07,     0.35,   442.33,   208.29
12.0,     0.83,     0.53,    -0.07,     0.35,   433.32,   198.92
12.5,     0.78,     0.52,    -0.08,     0.34,   424.59,   189.21
13.0,     0.73,     0.50,    -0.08,     0.34,   415.90,   179.21
13.5,     0.67,     0.49,    -0.08,     0.33,   407.33,   169.62
13.9,     0.63,     0.47,    -0.09,     0.32,   400.06,   162.11
14.0,     0.63,     0.47,    -0.09,     0.32,   399.15,   161.15
14.5,     0.58,     0.46,    -0.09,     0.31,   391.64,   153.55
15.0,     0.54,     0.45,    -0.10,     0.30,   384.76,   146.02
15.5,     0.50,     0.44,    -0.10,     0.30,   378.26,   138.47
16.0,     0.47,     0.43,    -0.10,     0.29,   371.68,   130.91
16.5,     0.43,     0.41,    -0.10,     0.28,   365.41,   123.75
17.0,     0.40,     0.40,    -0.10,     0.28,   360.41,   117.18
18.0,     0.35,     0.38,    -0.11,     0.26,   352.77,   106.55
19.0,     0.30,     0.36,    -0.11,     0.24,   345.17,    96.43
20.0,     0.25,     0.33,    -0.11,     0.23,   336.93,    83.14
