r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     2.86,     1.12,     0.05,     0.66,   571.28,   301.96
-18.0,     3.16,     1.19,     0.03,     0.67,   605.48,   322.40
-16.0,     3.49,     1.27,     0.01,     0.67,   647.75,   343.06
-14.0,     3.84,     1.36,    -0.01,     0.68,   700.08,   364.05
-12.0,     4.23,     1.47,    -0.02,     0.69,   766.91,   386.15
-10.0,     4.65,     1.59,    -0.03,     0.70,   848.48,   402.91
-8.0,     5.10,     1.69,    -0.03,     0.72,   939.89,   406.38
-6.0,     5.50,     1.75,    -0.03,     0.73,  1026.37,   395.97
-4.0,     5.83,     1.77,    -0.02,     0.73,  1099.80,   378.40
-2.0,     6.03,     1.78,    -0.01,     0.73,  1144.81,   363.69
 0.0,     6.12,     1.79,     0.00,     0.73,  1163.60,   355.26
 2.0,     6.07,     1.79,     0.01,     0.73,  1151.12,   358.85
 4.0,     5.86,     1.78,     0.02,     0.73,  1105.81,   374.65
 6.0,     5.52,     1.75,     0.03,     0.72,  1032.49,   394.91
 8.0,     5.10,     1.66,     0.04,     0.72,   940.25,   405.07
10.0,     4.66,     1.56,     0.04,     0.71,   847.88,   401.38
12.0,     4.23,     1.46,     0.03,     0.71,   767.36,   386.71
14.0,     3.83,     1.35,     0.01,     0.70,   701.06,   364.91
16.0,     3.47,     1.25,    -0.01,     0.70,   648.03,   342.46
18.0,     3.14,     1.18,    -0.02,     0.69,   605.81,   320.70
20.0,     2.85,     1.12,    -0.04,     0.67,   570.99,   300.45
21.9,     2.57,     1.06,    -0.05,     0.64,   541.32,   280.69
22.0,     2.56,     1.06,    -0.05,     0.64,   539.88,   279.54
24.0,     2.27,     1.01,    -0.07,     0.61,   511.17,   259.82
26.0,     2.01,     0.97,    -0.09,     0.58,   485.67,   242.27
27.0,     1.90,     0.95,    -0.09,     0.57,   474.42,   234.31
28.0,     1.78,     0.93,    -0.10,     0.55,   462.46,   224.30
30.0,     1.57,     0.88,    -0.10,     0.53,   440.76,   204.22
32.0,     1.38,     0.83,    -0.10,     0.52,   421.12,   187.22
34.0,     1.20,     0.78,    -0.11,     0.50,   402.09,   168.78
36.0,     1.03,     0.74,    -0.12,     0.48,   385.88,   150.82
38.0,     0.87,     0.68,    -0.12,     0.46,   372.28,   134.21
38.2,     0.86,     0.67,    -0.12,     0.45,   371.31,   133.21
40.0,     0.72,     0.62,    -0.13,     0.43,   360.19,   120.24
42.0,     0.58,     0.56,    -0.14,     0.41,   349.04,   106.73
43.7,     0.48,     0.50,    -0.15,     0.39,   340.85,    96.04
44.0,     0.46,     0.49,    -0.15,     0.38,   339.42,    93.82
46.0,     0.36,     0.43,    -0.16,     0.36,   331.86,    84.07
48.0,     0.28,     0.38,    -0.17,     0.33,   325.81,    76.70
50.0,     0.22,     0.33,    -0.17,     0.31,   320.80,    69.32
52.0,     0.17,     0.28,    -0.17,     0.28,   315.91,    59.30
54.0,     0.13,     0.24,    -0.17,     0.25,   311.39,    49.59
56.0,     0.10,     0.21,    -0.17,     0.23,   308.27,    44.26
60.0,     0.06,     0.16,    -0.17,     0.18,   304.51,    37.14
