r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.34,     0.32,     0.30,     0.18,   769.18,   274.83
-4.0,     0.37,     0.31,     0.30,     0.16,   837.25,   256.14
-3.0,     0.42,     0.27,     0.26,     0.14,   917.97,   216.86
-2.0,     0.48,     0.20,     0.18,     0.12,   990.01,   157.32
-1.0,     0.51,     0.13,     0.09,     0.11,  1019.78,   109.49
 0.0,     0.52,     0.12,    -0.00,     0.11,  1023.07,    97.84
 1.0,     0.51,     0.13,    -0.09,     0.11,  1023.94,   109.79
 2.0,     0.48,     0.20,    -0.18,     0.12,   990.15,   160.23
 3.0,     0.41,     0.28,    -0.26,     0.14,   913.59,   222.05
 4.0,     0.36,     0.32,    -0.29,     0.16,   832.15,   261.05
 4.3,     0.35,     0.32,    -0.30,     0.17,   815.90,   266.45
 5.0,     0.33,     0.32,    -0.30,     0.18,   765.21,   279.25
 6.0,     0.32,     0.31,    -0.30,     0.19,   710.32,   289.08
 7.0,     0.31,     0.29,    -0.29,     0.20,   668.23,   294.26
 7.8,     0.31,     0.28,    -0.29,     0.19,   644.28,   295.38
 8.0,     0.31,     0.27,    -0.28,     0.19,   638.94,   296.07
 9.0,     0.31,     0.27,    -0.28,     0.19,   609.54,   297.80
10.0,     0.29,     0.27,    -0.28,     0.19,   570.97,   298.23
11.0,     0.26,     0.26,    -0.28,     0.19,   530.75,   290.86
12.0,     0.23,     0.24,    -0.27,     0.18,   487.10,   265.07
13.0,     0.16,     0.19,    -0.26,     0.18,   424.44,   205.38
14.0,     0.08,     0.13,    -0.24,     0.17,   355.45,   119.26
15.0,     0.04,     0.09,    -0.21,     0.15,   313.62,    44.45
16.0,     0.02,     0.07,    -0.19,     0.12,   301.95,     8.35
16.2,     0.02,     0.07,    -0.19,     0.12,   301.83,     8.13
17.0,     0.02,     0.06,    -0.18,     0.10,   300.62,     0.77
18.0,     0.01,     0.05,    -0.17,     0.09,   300.51,     0.05
19.0,     0.02,     0.04,    -0.15,     0.08,   300.50,     0.01
19.8,     0.02,     0.04,    -0.15,     0.08,   300.49,     0.01
20.0,     0.02,     0.04,    -0.14,     0.08,   300.48,     0.01
