z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 2.0,     0.02,     0.12,    -0.00,     0.20,   722.52,   119.30
 4.0,     0.14,     0.17,    -0.01,     0.28,   940.15,   130.57
 6.0,     0.33,     0.19,    -0.01,     0.30,  1031.66,   131.44
 8.0,     0.55,     0.20,    -0.01,     0.30,  1084.84,   129.45
10.0,     0.80,     0.21,    -0.02,     0.31,  1121.19,   126.97
12.0,     1.04,     0.23,    -0.02,     0.31,  1149.24,   124.08
14.0,     1.28,     0.27,    -0.02,     0.32,  1172.21,   121.31
16.0,     1.53,     0.31,    -0.02,     0.32,  1191.52,   118.94
18.0,     1.77,     0.37,    -0.02,     0.33,  1207.99,   117.32
20.0,     2.00,     0.43,    -0.02,     0.33,  1222.26,   116.45
22.0,     2.23,     0.49,    -0.01,     0.33,  1234.70,   116.31
24.0,     2.44,     0.55,    -0.01,     0.34,  1245.61,   116.94
26.0,     2.65,     0.61,    -0.01,     0.34,  1255.30,   118.14
28.0,     2.85,     0.66,    -0.01,     0.35,  1263.87,   119.82
30.0,     3.04,     0.72,    -0.01,     0.35,  1271.50,   122.04
32.0,     3.22,     0.78,    -0.01,     0.36,  1278.34,   124.68
34.0,     3.39,     0.83,    -0.01,     0.36,  1284.52,   127.70
36.0,     3.56,     0.88,    -0.01,     0.36,  1290.11,   131.11
38.0,     3.71,     0.93,    -0.01,     0.37,  1295.15,   134.84
40.0,     3.86,     0.97,    -0.00,     0.37,  1299.64,   138.98
42.0,     4.00,     1.02,    -0.00,     0.38,  1303.69,   143.42
44.0,     4.14,     1.06,    -0.00,     0.38,  1307.26,   148.09
46.0,     4.26,     1.10,    -0.00,     0.39,  1310.31,   153.06
48.0,     4.39,     1.14,    -0.00,     0.40,  1312.86,   158.21
50.0,     4.50,     1.17,    -0.00,     0.40,  1314.80,   163.57
52.0,     4.62,     1.21,    -0.00,     0.41,  1316.11,   169.28
54.0,     4.72,     1.24,    -0.00,     0.42,  1316.76,   175.37
56.0,     4.82,     1.27,    -0.00,     0.43,  1316.81,   181.78
58.0,     4.92,     1.30,     0.00,     0.44,  1316.20,   188.53
60.0,     5.01,     1.34,     0.00,     0.45,  1315.01,   195.58
62.0,     5.10,     1.37,     0.00,     0.46,  1313.26,   202.73
64.0,     5.18,     1.40,     0.00,     0.46,  1310.96,   209.91
