r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.15,     0.84,    -0.03,     0.35,   501.79,   214.76
-4.0,     2.42,     0.96,    -0.03,     0.35,   554.51,   247.58
-3.0,     2.76,     1.13,    -0.04,     0.36,   627.99,   285.49
-2.9,     2.81,     1.15,    -0.04,     0.36,   638.37,   289.78
-2.0,     3.13,     1.27,    -0.04,     0.36,   715.89,   320.01
-1.0,     3.42,     1.36,    -0.03,     0.37,   788.21,   340.15
-0.3,     3.47,     1.38,    -0.02,     0.37,   802.76,   343.34
 0.0,     3.50,     1.39,    -0.02,     0.37,   809.00,   344.70
 1.0,     3.34,     1.35,     0.00,     0.37,   769.01,   336.69
 2.0,     3.03,     1.26,     0.01,     0.36,   691.05,   314.17
 3.0,     2.67,     1.10,     0.02,     0.36,   607.92,   279.38
 4.0,     2.36,     0.95,     0.02,     0.35,   541.03,   243.64
 5.0,     2.11,     0.84,     0.01,     0.34,   493.79,   214.82
 6.0,     1.89,     0.76,    -0.00,     0.33,   460.41,   192.94
 7.0,     1.71,     0.71,    -0.01,     0.33,   436.63,   175.04
 8.0,     1.56,     0.68,    -0.02,     0.32,   419.10,   159.66
 9.0,     1.41,     0.65,    -0.03,     0.32,   404.67,   145.60
10.0,     1.27,     0.62,    -0.04,     0.31,   391.03,   130.53
11.0,     1.14,     0.59,    -0.05,     0.31,   378.83,   115.94
12.0,     1.03,     0.56,    -0.05,     0.30,   369.48,   104.40
13.0,     0.93,     0.54,    -0.06,     0.30,   362.33,    94.85
14.0,     0.83,     0.52,    -0.06,     0.29,   356.16,    86.03
14.3,     0.80,     0.51,    -0.06,     0.29,   354.45,    83.66
15.0,     0.74,     0.50,    -0.07,     0.29,   350.45,    77.87
16.0,     0.65,     0.47,    -0.07,     0.28,   345.00,    69.94
17.0,     0.56,     0.44,    -0.08,     0.28,   340.05,    62.78
17.7,     0.51,     0.42,    -0.08,     0.27,   337.07,    59.50
18.0,     0.49,     0.41,    -0.08,     0.27,   335.79,    58.03
19.0,     0.41,     0.38,    -0.09,     0.26,   331.62,    54.04
20.0,     0.36,     0.35,    -0.09,     0.25,   328.06,    50.04
