z, Q_rad
cm, kW/m2
 1.0,     0.31
 3.0,     0.28
 5.0,     0.25
 7.0,     0.23
 9.0,     0.21
11.0,     0.20
13.0,     0.20
15.0,     0.21
17.0,     0.24
19.0,     0.28
21.0,     0.36
23.0,     0.45
25.0,     0.57
27.0,     0.71
29.0,     0.86
31.0,     1.00
33.0,     1.14
35.0,     1.27
37.0,     1.36
39.0,     1.43
41.0,     1.47
43.0,     1.47
45.0,     1.44
47.0,     1.39
49.0,     1.31
51.0,     1.23
53.0,     1.13
55.0,     1.03
57.0,     0.93
59.0,     0.83
61.0,     0.74
63.0,     0.66
65.0,     0.58
67.0,     0.52
69.0,     0.46
71.0,     0.41
73.0,     0.37
75.0,     0.33
77.0,     0.30
79.0,     0.27
81.0,     0.24
83.0,     0.22
85.0,     0.20
87.0,     0.18
89.0,     0.16
91.0,     0.15
93.0,     0.13
95.0,     0.12
97.0,     0.11
99.0,     0.09
101.0,     0.08
103.0,     0.07
105.0,     0.07
107.0,     0.06
109.0,     0.05
111.0,     0.04
113.0,     0.04
115.0,     0.03
117.0,     0.03
119.0,     0.02
121.0,     0.02
123.0,     0.02
125.0,     0.01
127.0,     0.01
129.0,     0.01
