r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     0.00,     0.00,     0.00
 1.0,     1.93,    14.25,    16.18
 2.0,     2.14,    15.00,    17.15
 3.0,     2.21,    15.76,    17.96
 4.0,     2.36,    16.25,    18.62
 5.0,     2.65,    16.45,    19.10
 6.0,     3.01,    16.24,    19.25
 7.0,     3.32,    15.99,    19.31
 8.0,     3.48,    15.67,    19.16
 9.0,     3.60,    15.09,    18.69
10.0,     3.71,    14.62,    18.33
11.0,     3.88,    13.98,    17.85
12.0,     4.02,    13.32,    17.33
13.0,     4.15,    12.58,    16.73
14.0,     4.26,    11.51,    15.77
15.0,     4.09,     9.52,    13.61
16.0,     0.00,     2.17,     2.17
17.0,     0.00,     2.54,     2.54
18.0,     0.00,     2.54,     2.54
19.0,     0.00,     2.42,     2.42
20.0,     0.00,     2.27,     2.27
21.0,     0.00,     2.00,     2.00
22.0,     0.00,     1.83,     1.83
23.0,     0.00,     1.71,     1.71
24.0,     0.00,     1.56,     1.56
25.0,     0.00,     1.44,     1.44
26.0,     0.00,     1.30,     1.30
27.0,     0.00,     1.24,     1.24
28.0,     0.00,     1.12,     1.12
29.0,     0.00,     1.09,     1.09
30.0,     0.00,     0.98,     0.98
31.0,     0.00,     0.94,     0.94
32.0,     0.00,     0.88,     0.88
33.0,     0.00,     0.83,     0.83
34.0,     0.00,     0.76,     0.76
35.0,     0.00,     0.72,     0.72
36.0,     0.00,     0.67,     0.67
37.0,     0.00,     0.64,     0.64
38.0,     0.00,     0.60,     0.60
39.0,     0.00,     0.58,     0.58
40.0,     0.00,     0.53,     0.53
41.0,     0.00,     0.52,     0.52
42.0,     0.00,     0.48,     0.48
43.0,     0.00,     0.47,     0.47
44.0,     0.00,     0.43,     0.43
45.0,     0.00,     0.41,     0.41
46.0,     0.00,     0.39,     0.39
47.0,     0.00,     0.38,     0.38
48.0,     0.00,     0.35,     0.35
49.0,     0.00,     0.35,     0.35
50.0,     0.00,     0.32,     0.32
51.0,     0.00,     0.31,     0.31
52.0,     0.00,     0.29,     0.29
53.0,     0.00,     0.29,     0.29
54.0,     0.00,     0.27,     0.27
55.0,     0.00,     0.26,     0.26
56.0,     0.00,     0.25,     0.25
57.0,     0.00,     0.24,     0.24
58.0,     0.00,     0.23,     0.23
59.0,     0.00,     0.22,     0.22
60.0,     0.00,     0.21,     0.21
61.0,     0.00,     0.20,     0.20
62.0,     0.00,     0.19,     0.19
63.0,     0.00,     0.19,     0.19
64.0,     0.00,     0.18,     0.18
65.0,     0.00,     0.18,     0.18
66.0,     0.00,     0.17,     0.17
67.0,     0.00,     0.17,     0.17
68.0,     0.00,     0.16,     0.16
69.0,     0.00,     0.15,     0.15
70.0,     0.00,     0.15,     0.15
71.0,     0.00,     0.14,     0.14
72.0,     0.00,     0.14,     0.14
73.0,     0.00,     0.14,     0.14
74.0,     0.00,     0.13,     0.13
75.0,     0.00,     0.13,     0.13
76.0,     0.00,     0.12,     0.12
77.0,     0.00,     0.12,     0.12
78.0,     0.00,     0.12,     0.12
79.0,     0.00,     0.11,     0.11
80.0,     0.00,     0.11,     0.11
81.0,     0.00,     0.11,     0.11
82.0,     0.00,     0.10,     0.10
83.0,     0.00,     0.10,     0.10
84.0,     0.00,     0.10,     0.10
85.0,     0.00,     0.10,     0.10
86.0,     0.00,     0.10,     0.10
87.0,     0.00,     0.09,     0.09
88.0,     0.00,     0.09,     0.09
89.0,     0.00,     0.09,     0.09
90.0,     0.00,     0.09,     0.09
91.0,     0.00,     0.08,     0.08
92.0,     0.00,     0.08,     0.08
93.0,     0.00,     0.08,     0.08
94.0,     0.00,     0.08,     0.08
95.0,     0.00,     0.08,     0.08
96.0,     0.00,     0.08,     0.08
97.0,     0.00,     0.07,     0.07
98.0,     0.00,     0.07,     0.07
99.0,     0.00,     0.06,     0.06
