r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     0.00,     0.00,     0.00
 1.0,     2.29,    14.29,    16.58
 2.0,     2.37,    14.84,    17.21
 3.0,     2.39,    15.43,    17.82
 4.0,     2.50,    15.76,    18.26
 5.0,     2.78,    15.97,    18.76
 6.0,     3.12,    15.89,    19.00
 7.0,     3.39,    15.83,    19.21
 8.0,     3.52,    15.67,    19.18
 9.0,     3.61,    15.23,    18.84
10.0,     3.71,    14.85,    18.56
11.0,     3.83,    14.34,    18.17
12.0,     3.94,    13.86,    17.80
13.0,     4.05,    13.24,    17.29
14.0,     4.14,    12.25,    16.39
15.0,     3.98,    10.22,    14.19
16.0,     0.00,     2.28,     2.28
17.0,     0.00,     2.87,     2.87
18.0,     0.00,     2.97,     2.97
19.0,     0.00,     2.86,     2.86
20.0,     0.00,     2.68,     2.68
21.0,     0.00,     2.31,     2.31
22.0,     0.00,     2.11,     2.11
23.0,     0.00,     1.95,     1.95
24.0,     0.00,     1.78,     1.78
25.0,     0.00,     1.62,     1.62
26.0,     0.00,     1.47,     1.47
27.0,     0.00,     1.37,     1.37
28.0,     0.00,     1.25,     1.25
29.0,     0.00,     1.18,     1.18
30.0,     0.00,     1.07,     1.07
31.0,     0.00,     1.00,     1.00
32.0,     0.00,     0.96,     0.96
33.0,     0.00,     0.87,     0.87
34.0,     0.00,     0.81,     0.81
35.0,     0.00,     0.74,     0.74
36.0,     0.00,     0.72,     0.72
37.0,     0.00,     0.65,     0.65
38.0,     0.00,     0.63,     0.63
39.0,     0.00,     0.58,     0.58
40.0,     0.00,     0.56,     0.56
41.0,     0.00,     0.50,     0.50
42.0,     0.00,     0.51,     0.51
43.0,     0.00,     0.43,     0.43
44.0,     0.00,     0.44,     0.44
45.0,     0.00,     0.38,     0.38
46.0,     0.00,     0.41,     0.41
47.0,     0.00,     0.34,     0.34
48.0,     0.00,     0.36,     0.36
49.0,     0.00,     0.31,     0.31
50.0,     0.00,     0.32,     0.32
51.0,     0.00,     0.28,     0.28
52.0,     0.00,     0.29,     0.29
53.0,     0.00,     0.25,     0.25
54.0,     0.00,     0.26,     0.26
55.0,     0.00,     0.23,     0.23
56.0,     0.00,     0.24,     0.24
57.0,     0.00,     0.21,     0.21
58.0,     0.00,     0.22,     0.22
59.0,     0.00,     0.18,     0.18
60.0,     0.00,     0.20,     0.20
61.0,     0.00,     0.16,     0.16
62.0,     0.00,     0.18,     0.18
63.0,     0.00,     0.15,     0.15
64.0,     0.00,     0.17,     0.17
65.0,     0.00,     0.13,     0.13
66.0,     0.00,     0.16,     0.16
67.0,     0.00,     0.12,     0.12
68.0,     0.00,     0.14,     0.14
69.0,     0.00,     0.11,     0.11
70.0,     0.00,     0.13,     0.13
71.0,     0.00,     0.11,     0.11
72.0,     0.00,     0.12,     0.12
73.0,     0.00,     0.10,     0.10
74.0,     0.00,     0.11,     0.11
75.0,     0.00,     0.09,     0.09
76.0,     0.00,     0.10,     0.10
77.0,     0.00,     0.08,     0.08
78.0,     0.00,     0.10,     0.10
79.0,     0.00,     0.07,     0.07
80.0,     0.00,     0.09,     0.09
81.0,     0.00,     0.07,     0.07
82.0,     0.00,     0.08,     0.08
83.0,     0.00,     0.06,     0.06
84.0,     0.00,     0.08,     0.08
85.0,     0.00,     0.06,     0.06
86.0,     0.00,     0.07,     0.07
87.0,     0.00,     0.05,     0.05
88.0,     0.00,     0.06,     0.06
89.0,     0.00,     0.05,     0.05
90.0,     0.00,     0.06,     0.06
91.0,     0.00,     0.05,     0.05
92.0,     0.00,     0.04,     0.04
93.0,     0.00,     0.04,     0.04
94.0,     0.00,     0.04,     0.04
95.0,     0.00,     0.04,     0.04
96.0,     0.00,     0.04,     0.04
97.0,     0.00,     0.04,     0.04
98.0,     0.00,     0.04,     0.04
99.0,     0.00,     0.02,     0.02
