r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     2.10,    28.99,    31.08
 4.0,     2.10,    29.60,    31.70
 8.0,     2.09,    30.26,    32.35
12.0,     2.14,    30.63,    32.77
16.0,     2.27,    30.16,    32.43
20.0,     2.36,    29.60,    31.96
24.0,     2.50,    28.41,    30.90
28.0,     2.64,    27.14,    29.78
32.0,     2.81,    25.74,    28.55
36.0,     3.04,    23.86,    26.90
40.0,     3.27,    21.50,    24.78
44.0,     3.49,    18.87,    22.36
48.0,     4.01,    14.51,    18.51
52.0,     0.00,     2.91,     2.91
56.0,     0.00,     3.50,     3.50
60.0,     0.00,     3.50,     3.50
64.0,     0.00,     3.29,     3.29
68.0,     0.00,     3.01,     3.01
72.0,     0.00,     2.75,     2.75
76.0,     0.00,     2.51,     2.51
80.0,     0.00,     2.31,     2.31
84.0,     0.00,     2.08,     2.08
88.0,     0.00,     1.90,     1.90
92.0,     0.00,     1.73,     1.73
96.0,     0.00,     1.59,     1.59
100.0,     0.00,     1.46,     1.46
104.0,     0.00,     1.33,     1.33
108.0,     0.00,     1.23,     1.23
112.0,     0.00,     1.13,     1.13
116.0,     0.00,     1.05,     1.05
120.0,     0.00,     0.97,     0.97
124.0,     0.00,     0.90,     0.90
128.0,     0.00,     0.84,     0.84
132.0,     0.00,     0.79,     0.79
136.0,     0.00,     0.73,     0.73
140.0,     0.00,     0.68,     0.68
144.0,     0.00,     0.65,     0.65
148.0,     0.00,     0.60,     0.60
152.0,     0.00,     0.56,     0.56
156.0,     0.00,     0.54,     0.54
160.0,     0.00,     0.50,     0.50
164.0,     0.00,     0.48,     0.48
168.0,     0.00,     0.45,     0.45
172.0,     0.00,     0.43,     0.43
176.0,     0.00,     0.41,     0.41
180.0,     0.00,     0.39,     0.39
184.0,     0.00,     0.37,     0.37
188.0,     0.00,     0.35,     0.35
192.0,     0.00,     0.34,     0.34
196.0,     0.00,     0.33,     0.33
200.0,     0.00,     0.31,     0.31
204.0,     0.00,     0.29,     0.29
208.0,     0.00,     0.28,     0.28
212.0,     0.00,     0.27,     0.27
216.0,     0.00,     0.21,     0.21
