z, Q_rad
cm, kW/m2
 2.0,     0.55
 6.0,     0.54
10.0,     0.53
14.0,     0.52
18.0,     0.52
22.0,     0.51
26.0,     0.52
30.0,     0.53
34.0,     0.56
38.0,     0.62
42.0,     0.70
46.0,     0.82
50.0,     0.98
54.0,     1.17
58.0,     1.39
62.0,     1.62
66.0,     1.85
70.0,     2.06
74.0,     2.24
78.0,     2.37
82.0,     2.44
86.0,     2.45
90.0,     2.40
94.0,     2.30
98.0,     2.16
102.0,     2.00
106.0,     1.82
110.0,     1.64
114.0,     1.47
118.0,     1.31
122.0,     1.17
126.0,     1.06
130.0,     0.96
134.0,     0.88
138.0,     0.82
142.0,     0.78
146.0,     0.74
150.0,     0.72
154.0,     0.70
158.0,     0.69
162.0,     0.68
166.0,     0.68
170.0,     0.67
174.0,     0.67
178.0,     0.67
182.0,     0.67
186.0,     0.67
190.0,     0.66
194.0,     0.65
198.0,     0.64
