r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.21,     0.88,    -0.02,     0.44,   519.65,   217.94
-4.0,     2.43,     0.95,    -0.03,     0.45,   555.84,   240.18
-3.0,     2.65,     1.02,    -0.03,     0.46,   597.24,   263.19
-2.9,     2.67,     1.03,    -0.03,     0.46,   602.07,   265.79
-2.0,     2.85,     1.10,    -0.03,     0.47,   638.09,   284.49
-1.0,     3.00,     1.15,    -0.02,     0.48,   669.04,   298.83
-0.3,     3.04,     1.15,    -0.02,     0.48,   678.49,   302.71
 0.0,     3.06,     1.15,    -0.01,     0.48,   682.54,   304.36
 1.0,     3.00,     1.13,    -0.01,     0.47,   673.27,   302.37
 2.0,     2.85,     1.09,     0.00,     0.46,   644.08,   293.49
 3.0,     2.66,     1.04,     0.01,     0.45,   605.72,   278.73
 4.0,     2.45,     0.97,     0.01,     0.44,   567.24,   260.07
 5.0,     2.25,     0.89,     0.01,     0.43,   532.66,   240.46
 6.0,     2.05,     0.82,     0.00,     0.42,   503.52,   222.03
 7.0,     1.86,     0.77,    -0.00,     0.42,   479.48,   204.97
 8.0,     1.68,     0.73,    -0.01,     0.41,   458.16,   187.40
 9.0,     1.52,     0.69,    -0.02,     0.40,   438.89,   169.56
10.0,     1.37,     0.66,    -0.03,     0.39,   421.81,   153.52
11.0,     1.23,     0.63,    -0.04,     0.38,   406.95,   139.84
12.0,     1.10,     0.60,    -0.05,     0.37,   393.88,   127.62
13.0,     0.98,     0.57,    -0.06,     0.36,   381.69,   116.08
14.0,     0.86,     0.54,    -0.07,     0.35,   370.38,   105.35
14.3,     0.83,     0.54,    -0.07,     0.34,   367.38,   102.15
15.0,     0.76,     0.51,    -0.07,     0.33,   360.37,    94.26
16.0,     0.66,     0.48,    -0.08,     0.32,   351.30,    82.10
17.0,     0.57,     0.44,    -0.09,     0.31,   343.41,    71.03
17.7,     0.52,     0.42,    -0.09,     0.30,   338.97,    65.47
18.0,     0.49,     0.41,    -0.09,     0.30,   337.07,    62.93
19.0,     0.43,     0.39,    -0.09,     0.28,   331.94,    56.62
20.0,     0.38,     0.37,    -0.10,     0.27,   328.22,    51.09
