r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.12,     0.79,    -0.01,     0.32,   482.85,   207.32
-4.0,     2.36,     0.91,    -0.02,     0.33,   526.09,   231.41
-3.0,     2.66,     1.06,    -0.03,     0.33,   588.53,   262.58
-2.9,     2.70,     1.09,    -0.03,     0.33,   598.05,   267.20
-2.0,     3.01,     1.24,    -0.03,     0.34,   669.19,   299.49
-1.0,     3.31,     1.35,    -0.03,     0.34,   740.54,   326.85
-0.3,     3.35,     1.37,    -0.02,     0.34,   753.42,   330.50
 0.0,     3.37,     1.38,    -0.02,     0.34,   758.94,   332.06
 1.0,     3.19,     1.32,    -0.01,     0.34,   714.59,   317.46
 2.0,     2.88,     1.18,    -0.00,     0.34,   638.25,   289.33
 3.0,     2.54,     1.01,    -0.00,     0.33,   564.02,   256.15
 4.0,     2.26,     0.86,    -0.01,     0.33,   508.22,   227.15
 5.0,     2.02,     0.76,    -0.02,     0.33,   470.44,   203.28
 6.0,     1.83,     0.69,    -0.03,     0.32,   444.35,   185.55
 7.0,     1.66,     0.66,    -0.04,     0.31,   426.15,   171.70
 8.0,     1.53,     0.64,    -0.05,     0.30,   412.36,   155.70
 9.0,     1.42,     0.63,    -0.05,     0.30,   400.30,   138.87
10.0,     1.31,     0.62,    -0.06,     0.30,   390.70,   125.83
11.0,     1.20,     0.62,    -0.06,     0.30,   383.74,   116.29
12.0,     1.09,     0.61,    -0.07,     0.30,   377.26,   107.36
13.0,     0.98,     0.59,    -0.07,     0.29,   370.33,    97.10
14.0,     0.89,     0.56,    -0.08,     0.29,   364.19,    88.66
14.3,     0.86,     0.55,    -0.08,     0.29,   362.67,    87.13
15.0,     0.80,     0.53,    -0.08,     0.29,   359.13,    83.45
16.0,     0.71,     0.51,    -0.09,     0.29,   353.82,    78.58
17.0,     0.63,     0.48,    -0.09,     0.28,   348.11,    72.95
17.7,     0.58,     0.46,    -0.09,     0.28,   344.18,    68.67
18.0,     0.55,     0.45,    -0.09,     0.28,   342.50,    66.75
19.0,     0.48,     0.43,    -0.10,     0.27,   337.18,    59.63
20.0,     0.43,     0.40,    -0.10,     0.26,   332.75,    52.81
