r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.73,     0.71,     0.01,     0.29,   501.65,   272.44
-4.0,     1.95,     0.80,     0.01,     0.29,   546.69,   287.83
-3.0,     2.27,     0.96,    -0.00,     0.29,   634.03,   306.14
-2.0,     2.76,     1.15,    -0.01,     0.28,   783.62,   324.19
-1.0,     3.21,     1.26,    -0.01,     0.28,   928.72,   323.84
-0.2,     3.33,     1.26,    -0.01,     0.27,   965.58,   316.82
 0.0,     3.37,     1.27,    -0.01,     0.27,   977.86,   314.45
 1.0,     3.16,     1.21,    -0.00,     0.27,   910.40,   315.99
 2.0,     2.71,     1.09,    -0.01,     0.28,   764.57,   316.01
 3.0,     2.25,     0.92,    -0.02,     0.28,   625.74,   300.47
 4.0,     1.91,     0.76,    -0.03,     0.28,   537.30,   275.36
 5.0,     1.68,     0.69,    -0.04,     0.28,   487.77,   252.19
 6.0,     1.51,     0.65,    -0.04,     0.28,   461.28,   234.50
 7.0,     1.38,     0.63,    -0.05,     0.28,   445.92,   220.30
 8.0,     1.27,     0.62,    -0.05,     0.28,   435.98,   208.58
 9.0,     1.16,     0.61,    -0.06,     0.28,   428.19,   196.78
10.0,     1.06,     0.60,    -0.07,     0.29,   421.32,   184.40
11.0,     0.95,     0.58,    -0.08,     0.30,   415.88,   173.77
12.0,     0.85,     0.55,    -0.08,     0.30,   409.69,   163.32
13.0,     0.75,     0.52,    -0.09,     0.30,   402.04,   152.64
14.0,     0.67,     0.49,    -0.09,     0.30,   395.28,   145.11
15.0,     0.59,     0.47,    -0.10,     0.30,   389.58,   139.82
16.0,     0.52,     0.44,    -0.10,     0.29,   382.93,   132.66
17.0,     0.46,     0.42,    -0.10,     0.29,   374.71,   122.82
18.0,     0.39,     0.39,    -0.10,     0.29,   365.76,   113.01
19.0,     0.34,     0.37,    -0.10,     0.28,   356.80,   103.16
20.0,     0.29,     0.35,    -0.10,     0.27,   349.01,    93.25
