r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.97,     0.77,    -0.00,     0.31,   506.56,   246.16
-4.0,     2.24,     0.89,    -0.01,     0.32,   562.85,   272.71
-3.1,     2.57,     1.04,    -0.02,     0.33,   644.85,   301.04
-3.0,     2.61,     1.05,    -0.02,     0.33,   652.90,   303.68
-2.0,     3.07,     1.20,    -0.02,     0.33,   775.86,   329.67
-1.0,     3.46,     1.28,    -0.02,     0.34,   886.90,   339.30
 0.0,     3.60,     1.30,    -0.01,     0.33,   928.34,   341.16
 1.0,     3.43,     1.29,     0.00,     0.33,   879.90,   340.89
 2.0,     3.02,     1.18,     0.00,     0.32,   762.56,   326.45
 2.2,     2.95,     1.16,     0.00,     0.32,   743.43,   322.14
 3.0,     2.55,     1.01,     0.00,     0.32,   636.97,   297.05
 4.0,     2.19,     0.85,    -0.00,     0.31,   549.05,   265.05
 5.0,     1.93,     0.75,    -0.01,     0.31,   496.42,   238.17
 5.8,     1.76,     0.69,    -0.01,     0.31,   468.70,   218.76
 6.0,     1.73,     0.68,    -0.01,     0.30,   463.72,   215.08
 6.2,     1.70,     0.67,    -0.02,     0.30,   460.26,   211.89
 7.0,     1.56,     0.64,    -0.02,     0.30,   441.00,   193.20
 8.0,     1.42,     0.61,    -0.03,     0.30,   423.60,   172.70
 9.0,     1.28,     0.59,    -0.04,     0.29,   409.78,   155.52
10.0,     1.14,     0.58,    -0.05,     0.29,   398.01,   140.84
11.0,     1.01,     0.56,    -0.06,     0.28,   386.91,   127.30
11.8,     0.90,     0.55,    -0.06,     0.28,   378.62,   117.10
12.0,     0.89,     0.54,    -0.06,     0.28,   377.13,   115.17
13.0,     0.78,     0.52,    -0.07,     0.28,   369.07,   104.29
14.0,     0.69,     0.49,    -0.08,     0.27,   362.56,    95.21
15.0,     0.61,     0.47,    -0.08,     0.27,   356.98,    88.48
16.0,     0.53,     0.44,    -0.09,     0.27,   351.73,    83.17
17.0,     0.45,     0.42,    -0.10,     0.26,   346.68,    78.64
18.0,     0.39,     0.38,    -0.10,     0.25,   341.66,    74.26
19.0,     0.33,     0.35,    -0.10,     0.24,   336.66,    69.70
20.0,     0.29,     0.33,    -0.10,     0.23,   332.16,    64.84
