r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 0.0,     4.28,    13.09,    17.37
 2.0,     4.43,    13.80,    18.23
 4.0,     4.53,    14.62,    19.16
 6.0,     4.54,    15.12,    19.65
 8.0,     4.57,    14.93,    19.51
10.0,     4.58,    14.14,    18.72
12.0,     4.57,    12.67,    17.25
14.0,     4.67,     9.95,    14.63
16.0,     0.00,     1.47,     1.47
18.0,     0.00,     1.68,     1.68
20.0,     0.00,     1.57,     1.57
22.0,     0.00,     1.40,     1.40
24.0,     0.00,     1.26,     1.26
26.0,     0.00,     1.10,     1.10
28.0,     0.00,     0.97,     0.97
30.0,     0.00,     0.88,     0.88
32.0,     0.00,     0.78,     0.78
34.0,     0.00,     0.69,     0.69
36.0,     0.00,     0.61,     0.61
38.0,     0.00,     0.56,     0.56
40.0,     0.00,     0.51,     0.51
42.0,     0.00,     0.46,     0.46
44.0,     0.00,     0.42,     0.42
46.0,     0.00,     0.38,     0.38
48.0,     0.00,     0.35,     0.35
50.0,     0.00,     0.33,     0.33
52.0,     0.00,     0.30,     0.30
54.0,     0.00,     0.28,     0.28
56.0,     0.00,     0.26,     0.26
58.0,     0.00,     0.24,     0.24
60.0,     0.00,     0.22,     0.22
62.0,     0.00,     0.21,     0.21
64.0,     0.00,     0.20,     0.20
66.0,     0.00,     0.18,     0.18
68.0,     0.00,     0.17,     0.17
70.0,     0.00,     0.16,     0.16
72.0,     0.00,     0.16,     0.16
74.0,     0.00,     0.15,     0.15
76.0,     0.00,     0.14,     0.14
78.0,     0.00,     0.14,     0.14
80.0,     0.00,     0.13,     0.13
82.0,     0.00,     0.12,     0.12
84.0,     0.00,     0.12,     0.12
86.0,     0.00,     0.11,     0.11
88.0,     0.00,     0.11,     0.11
90.0,     0.00,     0.10,     0.10
92.0,     0.00,     0.10,     0.10
94.0,     0.00,     0.09,     0.09
96.0,     0.00,     0.09,     0.09
98.0,     0.00,     0.07,     0.07
