r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.94,     0.90,     0.00,     0.28,   609.18,   276.88
-3.0,     2.52,     1.00,    -0.00,     0.29,   766.07,   295.84
-1.0,     2.98,     1.00,     0.00,     0.30,   899.57,   278.76
 1.0,     2.95,     0.99,     0.00,     0.29,   888.99,   278.26
 3.0,     2.48,     0.99,     0.01,     0.29,   751.92,   294.43
 5.0,     1.93,     0.90,     0.00,     0.28,   605.89,   275.46
 7.0,     1.45,     0.77,    -0.02,     0.28,   502.95,   226.96
 9.0,     1.04,     0.65,    -0.04,     0.26,   435.63,   173.38
11.0,     0.69,     0.55,    -0.06,     0.25,   390.92,   130.03
13.0,     0.43,     0.45,    -0.07,     0.23,   359.12,    97.68
15.0,     0.25,     0.36,    -0.08,     0.20,   336.08,    72.91
17.0,     0.14,     0.26,    -0.09,     0.17,   319.85,    51.79
19.0,     0.07,     0.17,    -0.09,     0.14,   309.15,    32.48
21.0,     0.04,     0.10,    -0.09,     0.11,   303.19,    16.54
