z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.03,     0.08,    -0.00,     0.09,   764.27,   102.65
 2.0,     0.18,     0.10,    -0.00,     0.11,   934.97,    91.75
 3.0,     0.37,     0.11,    -0.00,     0.11,   999.39,    93.45
 4.0,     0.56,     0.12,    -0.00,     0.11,  1032.16,    93.95
 5.0,     0.75,     0.14,     0.00,     0.11,  1052.40,    97.19
 6.0,     0.94,     0.18,     0.00,     0.11,  1066.60,   101.73
 7.0,     1.12,     0.22,     0.00,     0.11,  1077.85,   106.54
 8.0,     1.29,     0.27,     0.00,     0.12,  1087.46,   111.32
 9.0,     1.44,     0.31,     0.00,     0.12,  1096.12,   116.27
10.0,     1.59,     0.36,     0.00,     0.12,  1104.07,   121.43
11.0,     1.73,     0.40,     0.00,     0.13,  1111.49,   126.70
12.0,     1.86,     0.44,    -0.00,     0.13,  1118.44,   132.11
13.0,     1.98,     0.48,    -0.00,     0.13,  1124.92,   137.53
14.0,     2.09,     0.52,    -0.00,     0.14,  1130.90,   143.02
15.0,     2.19,     0.55,    -0.00,     0.14,  1136.39,   148.53
16.0,     2.29,     0.58,    -0.00,     0.15,  1141.33,   154.08
17.0,     2.38,     0.61,    -0.00,     0.15,  1145.65,   159.63
18.0,     2.47,     0.64,    -0.00,     0.16,  1149.25,   165.27
19.0,     2.55,     0.67,    -0.00,     0.17,  1152.05,   171.14
20.0,     2.63,     0.70,    -0.00,     0.17,  1153.94,   177.34
21.0,     2.70,     0.72,    -0.00,     0.18,  1154.94,   183.77
22.0,     2.77,     0.75,    -0.00,     0.18,  1155.12,   190.18
23.0,     2.84,     0.77,    -0.01,     0.19,  1154.57,   196.45
24.0,     2.90,     0.80,    -0.01,     0.19,  1153.28,   202.53
25.0,     2.96,     0.82,    -0.01,     0.20,  1151.27,   208.43
26.0,     3.01,     0.84,    -0.01,     0.21,  1148.51,   214.20
27.0,     3.07,     0.86,    -0.01,     0.21,  1145.00,   219.78
28.0,     3.12,     0.89,    -0.01,     0.22,  1140.73,   225.19
29.0,     3.16,     0.91,    -0.01,     0.23,  1135.72,   230.52
30.0,     3.21,     0.93,    -0.01,     0.23,  1130.02,   235.83
31.0,     3.25,     0.95,    -0.01,     0.24,  1123.67,   241.13
32.0,     3.29,     0.98,    -0.01,     0.24,  1116.77,   246.47
