r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     3.14,     1.24,    -0.00,     0.71,   516.43,   230.05
-18.0,     3.42,     1.31,    -0.02,     0.73,   541.81,   244.56
-16.0,     3.73,     1.39,    -0.03,     0.75,   572.96,   262.98
-14.0,     4.05,     1.48,    -0.02,     0.76,   610.58,   283.78
-12.0,     4.40,     1.59,    -0.02,     0.77,   656.10,   305.13
-10.0,     4.79,     1.70,    -0.02,     0.78,   705.69,   324.10
-8.0,     5.14,     1.79,    -0.02,     0.80,   754.84,   339.01
-6.0,     5.46,     1.85,    -0.02,     0.81,   802.73,   350.72
-4.0,     5.73,     1.88,    -0.01,     0.82,   843.24,   357.77
-2.0,     5.93,     1.92,    -0.01,     0.83,   872.25,   360.10
 0.0,     6.01,     1.96,    -0.00,     0.82,   885.10,   362.96
 2.0,     5.93,     1.97,     0.01,     0.82,   874.28,   364.62
 4.0,     5.74,     1.95,     0.01,     0.81,   846.37,   362.69
 6.0,     5.50,     1.92,     0.01,     0.81,   810.53,   357.23
 8.0,     5.21,     1.86,     0.02,     0.82,   769.91,   346.48
10.0,     4.88,     1.78,     0.02,     0.81,   725.82,   332.51
12.0,     4.53,     1.69,     0.01,     0.81,   679.80,   315.86
14.0,     4.17,     1.59,     0.01,     0.80,   636.69,   296.93
16.0,     3.80,     1.49,     0.00,     0.79,   596.97,   276.33
18.0,     3.44,     1.39,    -0.00,     0.77,   559.76,   255.83
20.0,     3.13,     1.31,    -0.01,     0.75,   527.35,   238.18
22.0,     2.85,     1.25,    -0.03,     0.73,   500.81,   224.87
24.0,     2.59,     1.19,    -0.05,     0.70,   479.48,   215.90
26.0,     2.36,     1.14,    -0.07,     0.68,   460.94,   205.92
28.0,     2.15,     1.08,    -0.08,     0.64,   442.86,   189.17
30.0,     1.93,     1.01,    -0.10,     0.61,   424.65,   169.90
32.0,     1.71,     0.95,    -0.11,     0.58,   407.18,   152.06
34.0,     1.51,     0.89,    -0.11,     0.55,   391.08,   133.77
36.0,     1.32,     0.85,    -0.11,     0.52,   376.27,   115.66
38.0,     1.15,     0.81,    -0.11,     0.50,   362.98,    99.56
40.0,     1.00,     0.77,    -0.11,     0.48,   352.00,    87.52
42.0,     0.87,     0.73,    -0.12,     0.47,   343.75,    80.38
44.0,     0.76,     0.68,    -0.13,     0.45,   337.54,    75.61
46.0,     0.64,     0.63,    -0.14,     0.42,   332.12,    69.87
48.0,     0.53,     0.57,    -0.15,     0.40,   326.83,    62.81
50.0,     0.42,     0.51,    -0.15,     0.36,   321.75,    54.67
52.0,     0.34,     0.45,    -0.16,     0.33,   317.23,    47.93
54.0,     0.27,     0.41,    -0.16,     0.31,   313.89,    43.53
56.0,     0.22,     0.37,    -0.16,     0.30,   312.02,    39.04
60.0,     0.16,     0.29,    -0.16,     0.25,   309.31,    30.75
