s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2,MLR_MMA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9984986E-003, 2.8373289E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9984983E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0016756E+000, 2.3017134E+000, 0.0000000E+000,-6.8535312E-001, 3.1331902E-002,-1.0555462E-001, 1.4583351E-004, 0.0000000E+000, 0.0000000E+000, 1.5237571E+000, 1.5422833E+000,-4.4060493E-001,-2.2209246E-216, 5.3904980E-005,-1.0689965E-206, 6.1647085E-014
 4.0001602E+000, 1.0370264E+001, 0.0000000E+000,-3.0902510E+000,-6.9292513E-001,-9.3121130E-001, 2.3334402E-003, 0.0000000E+000, 0.0000000E+000, 5.6417276E+000, 5.6582099E+000,-6.6001697E-001,-6.1751929E-014, 2.3450173E-004,-4.9056709E-004, 1.0348554E-013
 6.0004277E+000, 1.6733839E+001, 0.0000000E+000,-5.0620026E+000,-8.5567502E+000,-1.5514288E+000, 5.0893820E-003, 0.0000000E+000, 0.0000000E+000, 1.5745741E+000, 1.5687468E+000,-6.3482596E-001,-8.2844224E-012, 3.7658974E-004,-5.2594271E-003, 2.7231874E-011
 8.0003805E+000, 2.0665934E+001, 0.0000000E+000,-6.3808578E+000,-1.0794522E+001,-1.8073069E+000, 6.7106676E-003, 0.0000000E+000, 0.0000000E+000, 1.7117854E+000, 1.6899580E+000,-6.2609302E-001,-2.1913712E-009, 4.5826836E-004,-6.5372878E-003, 2.4376970E-009
 1.0000165E+001, 2.3497402E+001, 0.0000000E+000,-7.3712168E+000,-1.2633970E+001,-1.9148960E+000, 8.5454581E-003, 0.0000000E+000, 0.0000000E+000, 1.5978095E+000, 1.5858641E+000,-6.1879619E-001,-9.7902303E-008, 5.1357076E-004,-7.6384725E-003, 6.1391232E-008
 1.2000239E+001, 2.5470982E+001, 0.0000000E+000,-7.8427123E+000,-1.5032731E+001,-2.2205404E+000, 9.4445134E-003, 0.0000000E+000, 0.0000000E+000, 4.0937145E-001, 3.8444346E-001,-6.0939507E-001,-2.1304682E-006, 5.5788404E-004,-9.0203630E-003, 9.7391446E-007
 1.4000123E+001, 2.6840009E+001, 0.0000000E+000,-8.4585630E+000,-1.5033016E+001,-2.2540672E+000, 9.2949539E-003, 0.0000000E+000, 0.0000000E+000, 1.1229147E+000, 1.1036581E+000,-6.0932963E-001,-2.1862884E-005, 5.8117425E-004,-8.9961003E-003, 8.7196546E-006
 1.6000315E+001, 2.9430168E+001, 0.0000000E+000,-9.4288190E+000,-1.6566970E+001,-2.5207326E+000, 9.0971144E-003, 0.0000000E+000, 0.0000000E+000, 9.4055591E-001, 9.2274339E-001,-6.0309952E-001,-1.5906086E-004, 6.3520522E-004,-9.9038476E-003, 3.4666690E-005
