favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
305.04,0.28982,-0.0047856,0.046244,0.00014636,1,0,-1,0,3.514
306.78,0.29305,-0.0031931,0.062075,0.00018295,1,0.02,-0.98,0,3.514
308.66,0.29578,-0.00044812,0.082139,0.00022263,1,0.04,-0.96,0,3.514
310.75,0.29787,0.0038167,0.10779,0.0002664,1,0.06,-0.94,0,3.514
312.62,0.29694,0.003131,0.13263,0.00030548,1,0.08,-0.92,0,3.514
314.46,0.29483,-0.0010499,0.1575,0.00034399,1,0.1,-0.9,0,3.514
316.3,0.29151,-0.0094969,0.18254,0.00038241,1,0.12,-0.88,0,3.514
319,0.28471,-0.016156,0.21391,0.00043932,1,0.14,-0.86,0,3.514
321.77,0.28113,-0.023067,0.2478,0.00049795,1,0.16,-0.84,0,3.514
324.66,0.28107,-0.031467,0.2863,0.00055944,1,0.18,-0.82,0,3.514
328.08,0.28416,-0.046651,0.33996,0.00063317,1,0.2,-0.8,0,3.514
332.14,0.29659,-0.059531,0.39203,0.0007222,1,0.22,-0.78,0,3.514
336.21,0.30961,-0.071715,0.44801,0.00081279,1,0.24,-0.76,0,3.514
340.02,0.31861,-0.080314,0.50585,0.00089962,1,0.26,-0.74,0,3.514
343.57,0.31887,-0.074915,0.55255,0.00098107,1,0.28,-0.72,0,3.514
346.8,0.31289,-0.064619,0.60287,0.0010572,1,0.3,-0.7,0,3.514
350.3,0.3116,-0.05919,0.65136,0.0011423,1,0.32,-0.68,0,3.514
354.15,0.30852,-0.053952,0.70942,0.0012408,1,0.34,-0.66,0,3.514
358.42,0.30654,-0.047595,0.77398,0.0013555,1,0.36,-0.64,0,3.514
363.43,0.31124,-0.040512,0.83221,0.0014946,1,0.38,-0.62,0,3.514
370.21,0.31338,-0.030069,0.88706,0.0016819,1,0.4,-0.6,0,3.514
379.94,0.31332,-0.029321,0.9598,0.0019415,1,0.42,-0.58,0,3.514
390.01,0.3034,-0.037248,1.0263,0.0022059,1,0.44,-0.56,0,3.514
400.64,0.29303,-0.031491,1.1334,0.0025081,1,0.46,-0.54,0,3.514
412.89,0.28135,-0.037365,1.2463,0.0028982,1,0.48,-0.52,0,3.514
424.52,0.2797,-0.057412,1.3501,0.003322,1,0.5,-0.5,0,3.514
442.37,0.27229,-0.056167,1.4374,0.0039179,1,0.52,-0.48,0,3.514
466.82,0.27468,-0.0414,1.5577,0.004721,1,0.54,-0.46,0,3.514
496.52,0.27347,-0.027548,1.6999,0.0057167,1,0.56,-0.44,0,3.514
527.93,0.26836,-0.016626,1.8462,0.006875,1,0.58,-0.42,0,3.514
560.64,0.26337,-0.016086,1.9875,0.0082228,1,0.6,-0.4,0,3.514
596.71,0.2536,-0.045683,2.1359,0.0098257,1,0.62,-0.38,0,3.514
638.76,0.24379,-0.065993,2.2759,0.011939,1,0.64,-0.36,0,3.514
689.25,0.23766,-0.087617,2.4742,0.015064,1,0.66,-0.34,0,3.514
745.64,0.23856,-0.12229,2.6881,0.019206,1,0.68,-0.32,0,3.514
805.83,0.23397,-0.15445,2.9058,0.024133,1,0.7,-0.3,0,3.514
870.14,0.22288,-0.1546,3.125,0.029715,1,0.72,-0.28,0,3.514
933.93,0.20696,-0.12676,3.341,0.035928,1,0.74,-0.26,0,3.514
1003.5,0.16162,-0.10147,3.6149,0.043053,1,0.76,-0.24,0,3.514
1065.9,0.12053,-0.08823,3.914,0.05112,1,0.78,-0.22,0,3.514
1114.9,0.10123,-0.08383,4.1314,0.060986,1,0.8,-0.2,0,3.514
1152.3,0.068432,-0.087,4.3579,0.073421,1,0.82,-0.18,0,3.514
1176.7,0.045836,-0.11948,4.5791,0.087698,1,0.84,-0.16,0,3.514
1183.2,0.050206,-0.15398,4.7594,0.10176,1,0.86,-0.14,0,3.514
1211.4,0.048069,-0.16035,4.9887,0.11649,1,0.88,-0.12,0,3.514
1234.1,0.054747,-0.16203,5.2071,0.1286,1,0.9,-0.1,0,3.514
