favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
302.03,0.31886,-0.039956,0.089871,8.3347e-05,1,0,-1,0,3.114
302.47,0.3263,-0.041344,0.098486,9.2605e-05,1,0.02,-0.98,0,3.114
302.97,0.33556,-0.04135,0.108,0.0001031,1,0.04,-0.96,0,3.114
303.55,0.3472,-0.039533,0.11871,0.00011524,1,0.06,-0.94,0,3.114
304.08,0.35806,-0.036856,0.12673,0.0001265,1,0.08,-0.92,0,3.114
304.66,0.36593,-0.03294,0.13244,0.00013851,1,0.1,-0.9,0,3.114
305.3,0.36963,-0.027369,0.13522,0.00015171,1,0.12,-0.88,0,3.114
306.19,0.3749,-0.03067,0.15411,0.00017014,1,0.14,-0.86,0,3.114
306.99,0.3815,-0.033313,0.17431,0.00018686,1,0.16,-0.84,0,3.114
307.72,0.38954,-0.034591,0.19395,0.00020213,1,0.18,-0.82,0,3.114
308.52,0.39954,-0.033519,0.20773,0.00021893,1,0.2,-0.8,0,3.114
309.98,0.40403,-0.032413,0.22072,0.00024977,1,0.22,-0.78,0,3.114
311.9,0.40534,-0.034637,0.24137,0.00029058,1,0.24,-0.76,0,3.114
314.03,0.40454,-0.039177,0.27294,0.00033631,1,0.26,-0.74,0,3.114
315.76,0.40308,-0.038608,0.31475,0.00037392,1,0.28,-0.72,0,3.114
318.66,0.39597,-0.039916,0.33789,0.00043708,1,0.3,-0.7,0,3.114
322.55,0.3957,-0.041532,0.35973,0.00052246,1,0.32,-0.68,0,3.114
328.05,0.39526,-0.038055,0.38543,0.00064629,1,0.34,-0.66,0,3.114
336.38,0.39284,-0.029195,0.41811,0.00084094,1,0.36,-0.64,0,3.114
347.74,0.38912,-0.020498,0.45611,0.0011179,1,0.38,-0.62,0,3.114
359.45,0.37938,-0.015444,0.49603,0.0014291,1,0.4,-0.6,0,3.114
372.2,0.37721,-0.00088904,0.56313,0.0018124,1,0.42,-0.58,0,3.114
386.53,0.36432,0.0041061,0.63235,0.0022865,1,0.44,-0.56,0,3.114
406.8,0.34549,0.0071107,0.72388,0.0029818,1,0.46,-0.54,0,3.114
429.33,0.34123,0.010333,0.83965,0.0038769,1,0.48,-0.52,0,3.114
458.43,0.3328,-0.020263,0.91173,0.0050299,1,0.5,-0.5,0,3.114
484.58,0.33132,-0.039473,1.0145,0.0062812,1,0.52,-0.48,0,3.114
516.37,0.33603,-0.058218,1.1253,0.0077999,1,0.54,-0.46,0,3.114
547.83,0.34287,-0.065024,1.223,0.0094084,1,0.56,-0.44,0,3.114
579.91,0.35263,-0.045227,1.3202,0.011289,1,0.58,-0.42,0,3.114
620.25,0.35514,-0.01699,1.442,0.013905,1,0.6,-0.4,0,3.114
675,0.34611,-0.0061431,1.5836,0.017508,1,0.62,-0.38,0,3.114
722.67,0.35698,0.017684,1.7213,0.020992,1,0.64,-0.36,0,3.114
