favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
500.13,-0.45814,-0.1333,0.95589,0.0069539,1,1.46,0.46,0,3.114
472.69,-0.45425,-0.14335,0.89069,0.0056817,1,1.48,0.48,0,3.114
449.63,-0.45679,-0.13416,0.84108,0.0046261,1,1.5,0.5,0,3.114
423.14,-0.44141,-0.14815,0.74276,0.0036167,1,1.52,0.52,0,3.114
401.34,-0.42798,-0.1621,0.67469,0.0028177,1,1.54,0.54,0,3.114
384.18,-0.43166,-0.16152,0.60789,0.0022293,1,1.56,0.56,0,3.114
371.77,-0.43413,-0.15393,0.53427,0.0018171,1,1.58,0.58,0,3.114
362.47,-0.43944,-0.16725,0.4722,0.0015144,1,1.6,0.6,0,3.114
354.11,-0.43394,-0.16473,0.38796,0.0012788,1,1.62,0.62,0,3.114
346.61,-0.42794,-0.15557,0.33155,0.0010862,1,1.64,0.64,0,3.114
339.09,-0.42369,-0.13247,0.2953,0.00090521,1,1.66,0.66,0,3.114
331.73,-0.41886,-0.11403,0.2602,0.00073337,1,1.68,0.68,0,3.114
324.96,-0.41328,-0.11128,0.22252,0.00057775,1,1.7,0.7,0,3.114
318.92,-0.40991,-0.11402,0.19275,0.00044154,1,1.72,0.72,0,3.114
314.4,-0.40672,-0.12579,0.15906,0.00034297,1,1.74,0.74,0,3.114
311.23,-0.40054,-0.13188,0.13504,0.00027499,1,1.76,0.76,0,3.114
309.18,-0.39535,-0.13063,0.11596,0.00023193,1,1.78,0.78,0,3.114
308,-0.39062,-0.12243,0.099752,0.00020738,1,1.8,0.8,0,3.114
307.26,-0.38136,-0.10859,0.085479,0.000192,1,1.82,0.82,0,3.114
306.64,-0.37851,-0.1037,0.076924,0.00017896,1,1.84,0.84,0,3.114
306.08,-0.37463,-0.099147,0.06719,0.00016731,1,1.86,0.86,0,3.114
305.58,-0.36824,-0.093115,0.054943,0.00015684,1,1.88,0.88,0,3.114
305.12,-0.36167,-0.08611,0.042562,0.00014736,1,1.9,0.9,0,3.114
304.59,-0.35246,-0.084045,0.034023,0.00013617,1,1.92,0.92,0,3.114
304.01,-0.34163,-0.085129,0.028667,0.00012409,1,1.94,0.94,0,3.114
303.55,-0.33264,-0.083758,0.028092,0.00011452,1,1.96,0.96,0,3.114
303.19,-0.32563,-0.082987,0.02811,0.00010714,1,1.98,0.98,0,3.114
302.91,-0.32012,-0.082669,0.028578,0.0001014,1,2,1,0,3.114
