x (m),W_rms (m/s)
-3.087500000e+00, 3.617700000e-02
-3.062500000e+00, 4.553270000e-02
-3.037500000e+00, 4.694740000e-02
-3.012500000e+00, 4.746380000e-02
-2.987500000e+00, 3.686400000e-02
-2.962500000e+00, 4.689100000e-02
-2.937500000e+00, 5.270380000e-02
-2.912500000e+00, 4.640660000e-02
-2.887500000e+00, 4.119400000e-02
-2.862500000e+00, 3.211990000e-02
-2.837500000e+00, 4.848830000e-02
-2.812500000e+00, 4.721510000e-02
-2.787500000e+00, 3.815440000e-02
-2.762500000e+00, 1.661190000e-02
-2.737500000e+00, 5.058010000e-02
-2.712500000e+00, 8.660110000e-02
-2.687500000e+00, 1.185770000e-01
-2.662500000e+00, 1.210720000e-01
-2.637500000e+00, 1.399740000e-01
-2.612500000e+00, 1.354480000e-01
-2.587500000e+00, 1.027680000e-01
-2.562500000e+00, 6.717810000e-02
-2.537500000e+00, 5.935920000e-02
-2.512500000e+00, 5.292400000e-02
-2.487500000e+00, 5.245540000e-02
-2.462500000e+00, 5.431130000e-02
-2.437500000e+00, 5.495250000e-02
-2.412500000e+00, 5.947570000e-02
-2.387500000e+00, 5.967040000e-02
-2.362500000e+00, 6.977880000e-02
-2.337500000e+00, 6.267750000e-02
-2.312500000e+00, 5.043580000e-02
-2.287500000e+00, 5.062670000e-02
-2.262500000e+00, 8.511690000e-02
-2.237500000e+00, 1.138890000e-01
-2.212500000e+00, 1.266580000e-01
-2.187500000e+00, 1.254130000e-01
-2.162500000e+00, 1.123660000e-01
-2.137500000e+00, 9.571970000e-02
-2.112500000e+00, 7.918920000e-02
-2.087500000e+00, 6.377180000e-02
-2.062500000e+00, 5.098960000e-02
-2.037500000e+00, 4.084430000e-02
-2.012500000e+00, 3.285680000e-02
-1.987500000e+00, 2.718170000e-02
-1.962500000e+00, 2.397400000e-02
-1.937500000e+00, 2.430770000e-02
-1.912500000e+00, 2.479640000e-02
-1.887500000e+00, 3.009860000e-02
-1.862500000e+00, 3.528480000e-02
-1.837500000e+00, 4.147300000e-02
-1.812500000e+00, 4.733390000e-02
-1.787500000e+00, 5.302980000e-02
-1.762500000e+00, 5.815900000e-02
-1.737500000e+00, 6.267680000e-02
-1.712500000e+00, 6.543660000e-02
-1.687500000e+00, 6.654650000e-02
-1.662500000e+00, 6.639260000e-02
-1.637500000e+00, 6.600310000e-02
-1.612500000e+00, 6.580650000e-02
-1.587500000e+00, 6.596360000e-02
-1.562500000e+00, 6.645740000e-02
-1.537500000e+00, 6.714310000e-02
-1.512500000e+00, 6.775140000e-02
-1.487500000e+00, 6.797080000e-02
-1.462500000e+00, 6.748740000e-02
-1.437500000e+00, 6.619550000e-02
-1.412500000e+00, 6.469970000e-02
-1.387500000e+00, 6.315200000e-02
-1.362500000e+00, 6.130250000e-02
-1.337500000e+00, 6.036250000e-02
-1.312500000e+00, 5.794870000e-02
-1.287500000e+00, 5.798140000e-02
-1.262500000e+00, 5.488010000e-02
-1.237500000e+00, 5.559510000e-02
-1.212500000e+00, 5.261240000e-02
-1.187500000e+00, 5.255410000e-02
-1.162500000e+00, 5.117070000e-02
-1.137500000e+00, 4.941120000e-02
-1.112500000e+00, 4.926730000e-02
-1.087500000e+00, 4.782200000e-02
-1.062500000e+00, 4.694460000e-02
-1.037500000e+00, 4.631510000e-02
-1.012500000e+00, 4.658510000e-02
-9.875000000e-01, 4.375880000e-02
-9.625000000e-01, 4.626880000e-02
-9.375000000e-01, 4.255170000e-02
-9.125000000e-01, 4.407960000e-02
-8.875000000e-01, 4.325860000e-02
-8.625000000e-01, 4.338040000e-02
-8.375000000e-01, 4.101650000e-02
-8.125000000e-01, 4.611630000e-02
-7.875000000e-01, 3.523180000e-02
-7.625000000e-01, 4.714380000e-02
-7.375000000e-01, 3.628140000e-02
-7.125000000e-01, 4.294900000e-02
-6.875000000e-01, 4.258960000e-02
-6.625000000e-01, 4.703670000e-02
-6.375000000e-01, 4.077180000e-02
-6.125000000e-01, 4.719710000e-02
-5.875000000e-01, 4.706850000e-02
-5.625000000e-01, 4.995890000e-02
-5.375000000e-01, 6.252020000e-02
-5.125000000e-01, 5.772100000e-02
-4.875000000e-01, 6.720240000e-02
-4.625000000e-01, 6.829570000e-02
-4.375000000e-01, 8.634720000e-02
-4.125000000e-01, 9.498580000e-02
-3.875000000e-01, 1.119980000e-01
-3.625000000e-01, 1.401840000e-01
-3.375000000e-01, 1.903660000e-01
-3.125000000e-01, 2.383750000e-01
-2.875000000e-01, 3.557160000e-01
-2.625000000e-01, 4.240110000e-01
-2.375000000e-01, 4.981360000e-01
-2.125000000e-01, 6.172460000e-01
-1.875000000e-01, 6.895650000e-01
-1.625000000e-01, 8.300540000e-01
-1.375000000e-01, 8.970080000e-01
-1.125000000e-01, 1.020640000e+00
-8.750000000e-02, 1.094700000e+00
-6.250000000e-02, 1.068420000e+00
-3.750000000e-02, 9.982530000e-01
-1.250000000e-02, 9.640760000e-01
 1.250000000e-02, 1.055020000e+00
 3.750000000e-02, 1.120750000e+00
 6.250000000e-02, 1.160100000e+00
 8.750000000e-02, 1.096650000e+00
 1.125000000e-01, 9.983450000e-01
 1.375000000e-01, 8.990130000e-01
 1.625000000e-01, 7.623740000e-01
 1.875000000e-01, 6.205140000e-01
 2.125000000e-01, 6.079930000e-01
 2.375000000e-01, 4.740450000e-01
 2.625000000e-01, 4.034230000e-01
 2.875000000e-01, 3.578330000e-01
 3.125000000e-01, 2.393500000e-01
 3.375000000e-01, 1.477790000e-01
