x (m),U_rms (m/s) 
-3.087500000e+00, 1.354970000e-02
-3.062500000e+00, 3.714070000e-02
-3.037500000e+00, 5.278400000e-02
-3.012500000e+00, 6.121710000e-02
-2.987500000e+00, 6.428990000e-02
-2.962500000e+00, 6.267570000e-02
-2.937500000e+00, 5.805080000e-02
-2.912500000e+00, 4.808180000e-02
-2.887500000e+00, 3.511850000e-02
-2.862500000e+00, 2.972870000e-02
-2.837500000e+00, 3.141390000e-02
-2.812500000e+00, 2.629820000e-02
-2.787500000e+00, 2.353730000e-02
-2.762500000e+00, 2.452180000e-02
-2.737500000e+00, 2.466950000e-02
-2.712500000e+00, 2.362440000e-02
-2.687500000e+00, 2.336860000e-02
-2.662500000e+00, 2.349320000e-02
-2.637500000e+00, 2.582100000e-02
-2.612500000e+00, 2.857650000e-02
-2.587500000e+00, 2.761730000e-02
-2.562500000e+00, 2.473460000e-02
-2.537500000e+00, 2.493680000e-02
-2.512500000e+00, 2.695540000e-02
-2.487500000e+00, 2.748820000e-02
-2.462500000e+00, 3.208470000e-02
-2.437500000e+00, 3.666290000e-02
-2.412500000e+00, 4.277960000e-02
-2.387500000e+00, 4.884120000e-02
-2.362500000e+00, 5.482080000e-02
-2.337500000e+00, 6.088900000e-02
-2.312500000e+00, 6.781560000e-02
-2.287500000e+00, 7.219790000e-02
-2.262500000e+00, 7.438410000e-02
-2.237500000e+00, 7.939570000e-02
-2.212500000e+00, 8.667670000e-02
-2.187500000e+00, 9.513020000e-02
-2.162500000e+00, 1.005570000e-01
-2.137500000e+00, 1.066220000e-01
-2.112500000e+00, 1.160370000e-01
-2.087500000e+00, 1.258780000e-01
-2.062500000e+00, 1.320520000e-01
-2.037500000e+00, 1.362250000e-01
-2.012500000e+00, 1.362110000e-01
-1.987500000e+00, 1.311520000e-01
-1.962500000e+00, 1.228220000e-01
-1.937500000e+00, 1.135300000e-01
-1.912500000e+00, 1.062980000e-01
-1.887500000e+00, 1.099070000e-01
-1.862500000e+00, 1.007130000e-01
-1.837500000e+00, 9.137600000e-02
-1.812500000e+00, 8.451490000e-02
-1.787500000e+00, 7.966030000e-02
-1.762500000e+00, 7.336890000e-02
-1.737500000e+00, 6.853420000e-02
-1.712500000e+00, 6.335390000e-02
