x (m),U_rms (m/s) 
-3.087500000e+00, 8.387370000e-03
-3.062500000e+00, 2.244060000e-02
-3.037500000e+00, 3.212740000e-02
-3.012500000e+00, 3.644670000e-02
-2.987500000e+00, 4.117620000e-02
-2.962500000e+00, 4.805080000e-02
-2.937500000e+00, 5.371010000e-02
-2.912500000e+00, 5.240310000e-02
-2.887500000e+00, 4.766440000e-02
-2.862500000e+00, 3.905680000e-02
-2.837500000e+00, 2.919210000e-02
-2.812500000e+00, 2.677490000e-02
-2.787500000e+00, 2.563340000e-02
-2.762500000e+00, 2.865240000e-02
-2.737500000e+00, 2.617630000e-02
-2.712500000e+00, 2.222940000e-02
-2.687500000e+00, 1.876570000e-02
-2.662500000e+00, 1.848670000e-02
-2.637500000e+00, 2.220630000e-02
-2.612500000e+00, 2.698640000e-02
-2.587500000e+00, 2.754600000e-02
-2.562500000e+00, 2.163970000e-02
-2.537500000e+00, 1.557060000e-02
-2.512500000e+00, 1.485440000e-02
-2.487500000e+00, 1.429180000e-02
-2.462500000e+00, 1.494490000e-02
-2.437500000e+00, 1.690800000e-02
-2.412500000e+00, 2.301660000e-02
-2.387500000e+00, 2.819840000e-02
-2.362500000e+00, 3.457170000e-02
-2.337500000e+00, 4.060900000e-02
-2.312500000e+00, 4.234420000e-02
-2.287500000e+00, 4.376670000e-02
-2.262500000e+00, 4.947690000e-02
-2.237500000e+00, 5.550320000e-02
-2.212500000e+00, 5.634680000e-02
-2.187500000e+00, 5.579250000e-02
-2.162500000e+00, 5.435440000e-02
-2.137500000e+00, 5.237300000e-02
-2.112500000e+00, 5.279140000e-02
-2.087500000e+00, 5.521040000e-02
-2.062500000e+00, 5.701520000e-02
-2.037500000e+00, 5.741640000e-02
-2.012500000e+00, 5.678080000e-02
-1.987500000e+00, 5.558800000e-02
-1.962500000e+00, 5.355700000e-02
-1.937500000e+00, 5.075660000e-02
-1.912500000e+00, 4.796570000e-02
-1.887500000e+00, 4.536060000e-02
-1.862500000e+00, 4.273210000e-02
-1.837500000e+00, 3.949570000e-02
-1.812500000e+00, 3.576100000e-02
-1.787500000e+00, 3.151270000e-02
-1.762500000e+00, 2.702640000e-02
-1.737500000e+00, 2.526850000e-02
-1.712500000e+00, 2.194990000e-02
-1.687500000e+00, 2.034440000e-02
-1.662500000e+00, 1.883200000e-02
-1.637500000e+00, 1.747260000e-02
-1.612500000e+00, 1.627500000e-02
-1.587500000e+00, 1.570700000e-02
-1.562500000e+00, 1.600300000e-02
-1.537500000e+00, 1.672710000e-02
-1.512500000e+00, 1.712420000e-02
-1.487500000e+00, 1.668590000e-02
