x (m),W (m/s) 
-3.087500000e+00, 8.219010000e-02
-3.062500000e+00, 1.407520000e-01
-3.037500000e+00, 2.097670000e-01
-3.012500000e+00, 2.428050000e-01
-2.987500000e+00, 2.435990000e-01
-2.962500000e+00, 2.184570000e-01
-2.937500000e+00, 1.858180000e-01
-2.912500000e+00, 1.766630000e-01
-2.887500000e+00, 2.060160000e-01
-2.862500000e+00, 2.681300000e-01
-2.837500000e+00, 2.774480000e-01
-2.812500000e+00, 1.945440000e-01
-2.787500000e+00, 3.103080000e-01
-2.762500000e+00, 2.759130000e-01
-2.737500000e+00, 3.063960000e-01
-2.712500000e+00, 3.265540000e-01
-2.687500000e+00, 3.460500000e-01
-2.662500000e+00, 3.626480000e-01
-2.637500000e+00, 3.801140000e-01
-2.612500000e+00, 3.840680000e-01
-2.587500000e+00, 3.756970000e-01
-2.562500000e+00, 3.782760000e-01
-2.537500000e+00, 3.810200000e-01
-2.512500000e+00, 3.967750000e-01
-2.487500000e+00, 3.854490000e-01
-2.462500000e+00, 4.100920000e-01
-2.437500000e+00, 3.998000000e-01
-2.412500000e+00, 4.125420000e-01
-2.387500000e+00, 4.048870000e-01
-2.362500000e+00, 4.226010000e-01
-2.337500000e+00, 4.195180000e-01
-2.312500000e+00, 4.197880000e-01
-2.287500000e+00, 3.930070000e-01
-2.262500000e+00, 3.664260000e-01
-2.237500000e+00, 3.484920000e-01
-2.212500000e+00, 3.426780000e-01
-2.187500000e+00, 3.210670000e-01
-2.162500000e+00, 2.979790000e-01
-2.137500000e+00, 2.748360000e-01
-2.112500000e+00, 2.509580000e-01
-2.087500000e+00, 2.146830000e-01
-2.062500000e+00, 1.688890000e-01
-2.037500000e+00, 1.108900000e-01
-2.012500000e+00, 4.801010000e-02
-1.987500000e+00,-1.004500000e-02
-1.962500000e+00,-5.118760000e-02
-1.937500000e+00,-7.667170000e-02
-1.912500000e+00,-9.118450000e-02
-1.887500000e+00,-1.074080000e-01
-1.862500000e+00,-1.118540000e-01
-1.837500000e+00,-1.135610000e-01
-1.812500000e+00,-1.220370000e-01
-1.787500000e+00,-1.311700000e-01
-1.762500000e+00,-1.375200000e-01
-1.737500000e+00,-1.455720000e-01
-1.712500000e+00,-1.469430000e-01
-1.687500000e+00,-1.417750000e-01
-1.662500000e+00,-1.331470000e-01
-1.637500000e+00,-1.249960000e-01
-1.612500000e+00,-1.182640000e-01
-1.587500000e+00,-1.127090000e-01
