x (m),W_rms (m/s)
-3.087500000e+00, 4.768160000e-02
-3.062500000e+00, 5.546890000e-02
-3.037500000e+00, 5.774370000e-02
-3.012500000e+00, 6.393310000e-02
-2.987500000e+00, 4.518140000e-02
-2.962500000e+00, 6.377200000e-02
-2.937500000e+00, 5.130410000e-02
-2.912500000e+00, 3.777610000e-02
-2.887500000e+00, 4.288530000e-02
-2.862500000e+00, 6.614570000e-02
-2.837500000e+00, 6.820680000e-02
-2.812500000e+00, 4.170420000e-02
-2.787500000e+00, 6.103780000e-02
-2.762500000e+00, 6.209820000e-02
-2.737500000e+00, 7.821160000e-02
-2.712500000e+00, 1.054010000e-01
-2.687500000e+00, 1.294990000e-01
-2.662500000e+00, 1.362900000e-01
-2.637500000e+00, 1.485190000e-01
-2.612500000e+00, 1.138220000e-01
-2.587500000e+00, 7.107880000e-02
-2.562500000e+00, 4.654240000e-02
-2.537500000e+00, 7.324440000e-02
-2.512500000e+00, 6.242290000e-02
-2.487500000e+00, 7.503150000e-02
-2.462500000e+00, 7.417070000e-02
-2.437500000e+00, 8.967350000e-02
-2.412500000e+00, 8.910400000e-02
-2.387500000e+00, 8.637280000e-02
-2.362500000e+00, 9.368690000e-02
-2.337500000e+00, 1.062280000e-01
-2.312500000e+00, 1.344970000e-01
-2.287500000e+00, 1.469800000e-01
-2.262500000e+00, 1.399200000e-01
-2.237500000e+00, 1.236680000e-01
-2.212500000e+00, 1.078790000e-01
-2.187500000e+00, 9.393560000e-02
-2.162500000e+00, 8.468030000e-02
-2.137500000e+00, 7.120170000e-02
-2.112500000e+00, 5.951680000e-02
-2.087500000e+00, 4.756650000e-02
-2.062500000e+00, 3.679210000e-02
-2.037500000e+00, 2.771400000e-02
-2.012500000e+00, 2.295410000e-02
-1.987500000e+00, 3.248960000e-02
-1.962500000e+00, 4.685680000e-02
-1.937500000e+00, 5.852830000e-02
-1.912500000e+00, 6.774320000e-02
-1.887500000e+00, 7.360520000e-02
-1.862500000e+00, 7.879180000e-02
-1.837500000e+00, 8.231960000e-02
-1.812500000e+00, 8.439860000e-02
-1.787500000e+00, 9.015130000e-02
-1.762500000e+00, 9.599040000e-02
-1.737500000e+00, 9.459800000e-02
-1.712500000e+00, 9.780920000e-02
-1.687500000e+00, 9.740560000e-02
-1.662500000e+00, 9.662100000e-02
-1.637500000e+00, 9.514290000e-02
-1.612500000e+00, 9.260330000e-02
-1.587500000e+00, 8.959370000e-02
-1.562500000e+00, 8.618010000e-02
-1.537500000e+00, 8.327170000e-02
-1.512500000e+00, 8.058680000e-02
-1.487500000e+00, 7.886100000e-02
-1.462500000e+00, 7.670510000e-02
-1.437500000e+00, 7.561390000e-02
-1.412500000e+00, 7.318300000e-02
-1.387500000e+00, 7.209000000e-02
-1.362500000e+00, 6.929610000e-02
-1.337500000e+00, 6.854510000e-02
-1.312500000e+00, 6.487000000e-02
-1.287500000e+00, 6.467910000e-02
-1.262500000e+00, 6.107170000e-02
-1.237500000e+00, 6.053110000e-02
-1.212500000e+00, 5.760570000e-02
-1.187500000e+00, 5.701200000e-02
-1.162500000e+00, 5.395920000e-02
-1.137500000e+00, 5.497930000e-02
-1.112500000e+00, 5.028670000e-02
-1.087500000e+00, 5.222220000e-02
-1.062500000e+00, 4.788220000e-02
-1.037500000e+00, 4.749940000e-02
-1.012500000e+00, 4.610170000e-02
-9.875000000e-01, 4.385630000e-02
-9.625000000e-01, 4.325270000e-02
-9.375000000e-01, 4.094610000e-02
-9.125000000e-01, 4.182850000e-02
-8.875000000e-01, 3.742770000e-02
