x (m),Y_He (-)
-3.087500000e+00, 4.217080000e-08
-3.062500000e+00, 3.710810000e-08
-3.037500000e+00, 3.499860000e-08
-3.012500000e+00, 3.333740000e-08
-2.987500000e+00, 3.422120000e-08
-2.962500000e+00, 3.481820000e-08
-2.937500000e+00, 3.516850000e-08
-2.912500000e+00, 3.400070000e-08
-2.887500000e+00, 3.144380000e-08
-2.862500000e+00, 3.020410000e-08
-2.837500000e+00, 2.930600000e-08
-2.812500000e+00, 3.097970000e-08
-2.787500000e+00, 2.831980000e-08
-2.762500000e+00, 2.617130000e-08
-2.737500000e+00, 2.601820000e-08
-2.712500000e+00, 2.576290000e-08
-2.687500000e+00, 2.476800000e-08
-2.662500000e+00, 2.405580000e-08
-2.637500000e+00, 2.279700000e-08
-2.612500000e+00, 2.299720000e-08
-2.587500000e+00, 2.233780000e-08
-2.562500000e+00, 2.379500000e-08
-2.537500000e+00, 2.459300000e-08
-2.512500000e+00, 2.415960000e-08
-2.487500000e+00, 2.336080000e-08
-2.462500000e+00, 2.314750000e-08
-2.437500000e+00, 2.419870000e-08
-2.412500000e+00, 2.408910000e-08
-2.387500000e+00, 2.485460000e-08
-2.362500000e+00, 2.689880000e-08
-2.337500000e+00, 2.764630000e-08
-2.312500000e+00, 2.960930000e-08
-2.287500000e+00, 3.253110000e-08
-2.262500000e+00, 3.612300000e-08
-2.237500000e+00, 3.698880000e-08
-2.212500000e+00, 3.702710000e-08
-2.187500000e+00, 3.773590000e-08
-2.162500000e+00, 3.770360000e-08
-2.137500000e+00, 3.830110000e-08
-2.112500000e+00, 3.870990000e-08
-2.087500000e+00, 3.950970000e-08
-2.062500000e+00, 4.001100000e-08
-2.037500000e+00, 3.933090000e-08
-2.012500000e+00, 3.889760000e-08
-1.987500000e+00, 3.912130000e-08
-1.962500000e+00, 3.869680000e-08
-1.937500000e+00, 3.859460000e-08
-1.912500000e+00, 3.764550000e-08
-1.887500000e+00, 3.787260000e-08
-1.862500000e+00, 3.709520000e-08
-1.837500000e+00, 3.809840000e-08
-1.812500000e+00, 4.388900000e-08
-1.787500000e+00, 4.159730000e-08
-1.762500000e+00, 4.085620000e-08
-1.737500000e+00, 4.054520000e-08
-1.712500000e+00, 4.352270000e-08
-1.687500000e+00, 4.423860000e-08
-1.662500000e+00, 4.546580000e-08
-1.637500000e+00, 4.743300000e-08
-1.612500000e+00, 4.741170000e-08
-1.587500000e+00, 4.830970000e-08
-1.562500000e+00, 4.828840000e-08
-1.537500000e+00, 4.723210000e-08
-1.512500000e+00, 4.597960000e-08
-1.487500000e+00, 4.650740000e-08
-1.462500000e+00, 4.591560000e-08
-1.437500000e+00, 4.515080000e-08
-1.412500000e+00, 4.360410000e-08
-1.387500000e+00, 4.282110000e-08
-1.362500000e+00, 3.964660000e-08
-1.337500000e+00, 3.851820000e-08
-1.312500000e+00, 3.600640000e-08
-1.287500000e+00, 3.478010000e-08
-1.262500000e+00, 3.288120000e-08
-1.237500000e+00, 3.182510000e-08
-1.212500000e+00, 2.895910000e-08
-1.187500000e+00, 2.669030000e-08
-1.162500000e+00, 2.540290000e-08
-1.137500000e+00, 2.457700000e-08
-1.112500000e+00, 2.367460000e-08
-1.087500000e+00, 2.214110000e-08
-1.062500000e+00, 2.122390000e-08
-1.037500000e+00, 2.091270000e-08
-1.012500000e+00, 2.141800000e-08
-9.875000000e-01, 2.149310000e-08
-9.625000000e-01, 2.197330000e-08
-9.375000000e-01, 2.130670000e-08
-9.125000000e-01, 2.112580000e-08
-8.875000000e-01, 2.132540000e-08
-8.625000000e-01, 2.097470000e-08
-8.375000000e-01, 2.054390000e-08
-8.125000000e-01, 2.176950000e-08
-7.875000000e-01, 2.794260000e-08
-7.625000000e-01, 3.063050000e-08
-7.375000000e-01, 3.091640000e-08
-7.125000000e-01, 3.325160000e-08
-6.875000000e-01, 3.295260000e-08
-6.625000000e-01, 3.187090000e-08
-6.375000000e-01, 3.165490000e-08
-6.125000000e-01, 3.128370000e-08
-5.875000000e-01, 3.052490000e-08
-5.625000000e-01, 3.081060000e-08
-5.375000000e-01, 3.653320000e-08
-5.125000000e-01, 6.591020000e-07
-4.875000000e-01, 6.245440000e-05
-4.625000000e-01, 1.393820000e-03
-4.375000000e-01, 3.990240000e-03
-4.125000000e-01, 8.257330000e-03
-3.875000000e-01, 1.574000000e-02
-3.625000000e-01, 2.402450000e-02
-3.375000000e-01, 3.849940000e-02
-3.125000000e-01, 5.481090000e-02
-2.875000000e-01, 8.049710000e-02
-2.625000000e-01, 1.052750000e-01
-2.375000000e-01, 1.385450000e-01
-2.125000000e-01, 1.807960000e-01
-1.875000000e-01, 2.350820000e-01
-1.625000000e-01, 3.080020000e-01
-1.375000000e-01, 3.870080000e-01
-1.125000000e-01, 4.745950000e-01
-8.750000000e-02, 5.732800000e-01
-6.250000000e-02, 6.747060000e-01
-3.750000000e-02, 7.557060000e-01
-1.250000000e-02, 7.843430000e-01
 1.250000000e-02, 7.740230000e-01
 3.750000000e-02, 7.316390000e-01
 6.250000000e-02, 6.629080000e-01
 8.750000000e-02, 5.678890000e-01
 1.125000000e-01, 4.700650000e-01
 1.375000000e-01, 3.840450000e-01
 1.625000000e-01, 3.058930000e-01
 1.875000000e-01, 2.367030000e-01
 2.125000000e-01, 1.865110000e-01
 2.375000000e-01, 1.433670000e-01
 2.625000000e-01, 1.048330000e-01
 2.875000000e-01, 7.744620000e-02
 3.125000000e-01, 5.521360000e-02
 3.375000000e-01, 3.750450000e-02
 3.625000000e-01, 2.641180000e-02
 3.875000000e-01, 1.713920000e-02
 4.125000000e-01, 9.792930000e-03
 4.375000000e-01, 5.268030000e-03
 4.625000000e-01, 1.728970000e-03
 4.875000000e-01, 3.405430000e-04
 5.125000000e-01, 2.660220000e-05
 5.375000000e-01, 6.591770000e-07
 5.625000000e-01, 8.945110000e-08
 5.875000000e-01, 5.037310000e-08
 6.125000000e-01, 5.280290000e-08
 6.375000000e-01, 5.651950000e-08
 6.625000000e-01, 5.838630000e-08
 6.875000000e-01, 6.202790000e-08
 7.125000000e-01, 6.532070000e-08
 7.375000000e-01, 6.846610000e-08
 7.625000000e-01, 7.049840000e-08
 7.875000000e-01, 7.450090000e-08
 8.125000000e-01, 7.607280000e-08
 8.375000000e-01, 7.911340000e-08
 8.625000000e-01, 7.166290000e-08
 8.875000000e-01, 7.498510000e-08
 9.125000000e-01, 7.398790000e-08
 9.375000000e-01, 7.792960000e-08
 9.625000000e-01, 7.685010000e-08
 9.875000000e-01, 8.090600000e-08
 1.012500000e+00, 7.974590000e-08
 1.037500000e+00, 8.432650000e-08
 1.062500000e+00, 8.584140000e-08
 1.087500000e+00, 8.899360000e-08
 1.112500000e+00, 9.062660000e-08
 1.137500000e+00, 9.776760000e-08
 1.162500000e+00, 1.004670000e-07
 1.187500000e+00, 9.900310000e-08
 1.212500000e+00, 9.495610000e-08
 1.237500000e+00, 9.531120000e-08
 1.262500000e+00, 9.285150000e-08
 1.287500000e+00, 8.945040000e-08
 1.312500000e+00, 8.882940000e-08
 1.337500000e+00, 8.673900000e-08
 1.362500000e+00, 8.544590000e-08
 1.387500000e+00, 8.474550000e-08
 1.412500000e+00, 8.420580000e-08
 1.437500000e+00, 8.178310000e-08
 1.462500000e+00, 8.024880000e-08
 1.487500000e+00, 7.975630000e-08
 1.512500000e+00, 7.996630000e-08
 1.537500000e+00, 7.950630000e-08
 1.562500000e+00, 7.913080000e-08
 1.587500000e+00, 7.622250000e-08
 1.612500000e+00, 7.603250000e-08
 1.637500000e+00, 7.510350000e-08
 1.662500000e+00, 6.698680000e-08
 1.687500000e+00, 6.298240000e-08
 1.712500000e+00, 6.245160000e-08
 1.737500000e+00, 6.051450000e-08
 1.762500000e+00, 6.360920000e-08
 1.787500000e+00, 6.646640000e-08
 1.812500000e+00, 6.707030000e-08
 1.837500000e+00, 6.717270000e-08
 1.862500000e+00, 6.723670000e-08
 1.887500000e+00, 6.503180000e-08
 1.912500000e+00, 6.579060000e-08
 1.937500000e+00, 6.641970000e-08
 1.962500000e+00, 6.499950000e-08
 1.987500000e+00, 6.373510000e-08
 2.012500000e+00, 6.403940000e-08
 2.037500000e+00, 6.423840000e-08
 2.062500000e+00, 6.454490000e-08
 2.087500000e+00, 6.409670000e-08
 2.112500000e+00, 6.209110000e-08
 2.137500000e+00, 6.072950000e-08
 2.162500000e+00, 5.970730000e-08
 2.187500000e+00, 5.982190000e-08
 2.212500000e+00, 6.052230000e-08
 2.237500000e+00, 5.973110000e-08
 2.262500000e+00, 5.918850000e-08
 2.287500000e+00, 5.899020000e-08
 2.312500000e+00, 5.784480000e-08
 2.337500000e+00, 5.242430000e-08
 2.362500000e+00, 4.905960000e-08
 2.387500000e+00, 4.620920000e-08
 2.412500000e+00, 4.269570000e-08
 2.437500000e+00, 4.459740000e-08
 2.462500000e+00, 4.721470000e-08
 2.487500000e+00, 4.889540000e-08
 2.512500000e+00, 4.469560000e-08
 2.537500000e+00, 4.533950000e-08
 2.562500000e+00, 4.571330000e-08
 2.587500000e+00, 4.310690000e-08
 2.612500000e+00, 4.021250000e-08
 2.637500000e+00, 4.278340000e-08
 2.662500000e+00, 4.047160000e-08
 2.687500000e+00, 3.850800000e-08
 2.712500000e+00, 3.785920000e-08
 2.737500000e+00, 3.733970000e-08
 2.762500000e+00, 3.680460000e-08
 2.787500000e+00, 3.264070000e-08
 2.812500000e+00, 3.793120000e-08
 2.837500000e+00, 3.511010000e-08
 2.862500000e+00, 3.464670000e-08
 2.887500000e+00, 3.863230000e-08
 2.912500000e+00, 4.141140000e-08
 2.937500000e+00, 4.121920000e-08
 2.962500000e+00, 4.366830000e-08
 2.987500000e+00, 5.138270000e-08
 3.012500000e+00, 5.626070000e-08
 3.037500000e+00, 5.746020000e-08
 3.062500000e+00, 5.614550000e-08
 3.087500000e+00, 5.754010000e-08
