x (m),U_rms (m/s) 
 8.875000000e-01, 1.264390000e-02
 9.125000000e-01, 1.181020000e-02
 9.375000000e-01, 1.172880000e-02
 9.625000000e-01, 1.063530000e-02
 9.875000000e-01, 1.004830000e-02
 1.012500000e+00, 9.792110000e-03
 1.037500000e+00, 8.817770000e-03
 1.062500000e+00, 8.151740000e-03
 1.087500000e+00, 7.665420000e-03
 1.112500000e+00, 6.777310000e-03
 1.137500000e+00, 6.240310000e-03
 1.162500000e+00, 5.786620000e-03
 1.187500000e+00, 5.095820000e-03
 1.212500000e+00, 4.940020000e-03
 1.237500000e+00, 4.577580000e-03
 1.262500000e+00, 4.751670000e-03
 1.287500000e+00, 4.620780000e-03
 1.312500000e+00, 5.243920000e-03
 1.337500000e+00, 5.695890000e-03
 1.362500000e+00, 6.620630000e-03
 1.387500000e+00, 7.451440000e-03
 1.412500000e+00, 8.844420000e-03
 1.437500000e+00, 9.826760000e-03
 1.462500000e+00, 1.084480000e-02
 1.487500000e+00, 1.182940000e-02
 1.512500000e+00, 1.276360000e-02
 1.537500000e+00, 1.350850000e-02
 1.562500000e+00, 1.405080000e-02
 1.587500000e+00, 1.477070000e-02
 1.612500000e+00, 1.626450000e-02
 1.637500000e+00, 1.841010000e-02
 1.662500000e+00, 2.110480000e-02
 1.687500000e+00, 2.454050000e-02
 1.712500000e+00, 2.839770000e-02
 1.737500000e+00, 3.015170000e-02
 1.762500000e+00, 3.440110000e-02
 1.787500000e+00, 3.859380000e-02
 1.812500000e+00, 4.390940000e-02
 1.837500000e+00, 5.028220000e-02
 1.862500000e+00, 5.770860000e-02
 1.887500000e+00, 6.567940000e-02
 1.912500000e+00, 7.160380000e-02
 1.937500000e+00, 7.942350000e-02
 1.962500000e+00, 8.167030000e-02
 1.987500000e+00, 8.261710000e-02
 2.012500000e+00, 8.218290000e-02
 2.037500000e+00, 8.079810000e-02
 2.062500000e+00, 7.867090000e-02
 2.087500000e+00, 7.598440000e-02
 2.112500000e+00, 7.341610000e-02
 2.137500000e+00, 7.144960000e-02
 2.162500000e+00, 6.945530000e-02
 2.187500000e+00, 6.802590000e-02
 2.212500000e+00, 6.772080000e-02
 2.237500000e+00, 6.581440000e-02
 2.262500000e+00, 5.922070000e-02
 2.287500000e+00, 4.870630000e-02
 2.312500000e+00, 3.836580000e-02
 2.337500000e+00, 3.370750000e-02
 2.362500000e+00, 3.232920000e-02
 2.387500000e+00, 2.883120000e-02
 2.412500000e+00, 2.563030000e-02
 2.437500000e+00, 2.524170000e-02
 2.462500000e+00, 2.358710000e-02
 2.487500000e+00, 1.962870000e-02
 2.512500000e+00, 1.875670000e-02
 2.537500000e+00, 1.879280000e-02
 2.562500000e+00, 1.967680000e-02
 2.587500000e+00, 1.923240000e-02
 2.612500000e+00, 1.971910000e-02
 2.637500000e+00, 2.025390000e-02
 2.662500000e+00, 2.292490000e-02
 2.687500000e+00, 2.626420000e-02
 2.712500000e+00, 2.725180000e-02
 2.737500000e+00, 2.558850000e-02
 2.762500000e+00, 2.327230000e-02
 2.787500000e+00, 2.256330000e-02
 2.812500000e+00, 2.514980000e-02
 2.837500000e+00, 3.093600000e-02
 2.862500000e+00, 3.501740000e-02
 2.887500000e+00, 3.874410000e-02
 2.912500000e+00, 3.906610000e-02
 2.937500000e+00, 3.652750000e-02
 2.962500000e+00, 3.462490000e-02
 2.987500000e+00, 3.147900000e-02
 3.012500000e+00, 2.723570000e-02
 3.037500000e+00, 2.235180000e-02
 3.062500000e+00, 1.618970000e-02
 3.087500000e+00, 6.769140000e-03
