x (m),W (m/s) 
-3.087500000e+00, 1.493750000e-01
-3.062500000e+00, 1.927790000e-01
-3.037500000e+00, 1.971140000e-01
-3.012500000e+00, 1.943240000e-01
-2.987500000e+00, 1.714330000e-01
-2.962500000e+00, 1.566050000e-01
-2.937500000e+00, 1.624340000e-01
-2.912500000e+00, 1.700480000e-01
-2.887500000e+00, 1.888610000e-01
-2.862500000e+00, 2.002800000e-01
-2.837500000e+00, 1.929770000e-01
-2.812500000e+00, 1.679000000e-01
-2.787500000e+00, 2.326250000e-01
-2.762500000e+00, 1.985240000e-01
-2.737500000e+00, 2.150540000e-01
-2.712500000e+00, 2.237850000e-01
-2.687500000e+00, 2.406670000e-01
-2.662500000e+00, 2.480340000e-01
-2.637500000e+00, 2.637010000e-01
-2.612500000e+00, 2.784240000e-01
-2.587500000e+00, 2.415320000e-01
-2.562500000e+00, 2.585660000e-01
-2.537500000e+00, 2.440880000e-01
-2.512500000e+00, 2.627830000e-01
-2.487500000e+00, 2.495380000e-01
-2.462500000e+00, 2.635390000e-01
-2.437500000e+00, 2.539750000e-01
-2.412500000e+00, 2.613020000e-01
-2.387500000e+00, 2.530570000e-01
-2.362500000e+00, 2.586220000e-01
-2.337500000e+00, 2.526720000e-01
-2.312500000e+00, 2.317810000e-01
-2.287500000e+00, 2.289800000e-01
-2.262500000e+00, 2.434510000e-01
-2.237500000e+00, 2.548640000e-01
-2.212500000e+00, 2.572950000e-01
-2.187500000e+00, 2.484290000e-01
-2.162500000e+00, 2.320060000e-01
-2.137500000e+00, 2.135930000e-01
-2.112500000e+00, 1.953930000e-01
-2.087500000e+00, 1.774110000e-01
-2.062500000e+00, 1.596800000e-01
-2.037500000e+00, 1.426810000e-01
-2.012500000e+00, 1.262740000e-01
-1.987500000e+00, 1.106890000e-01
-1.962500000e+00, 9.619920000e-02
-1.937500000e+00, 8.208170000e-02
-1.912500000e+00, 7.221590000e-02
-1.887500000e+00, 6.002490000e-02
-1.862500000e+00, 4.940300000e-02
-1.837500000e+00, 3.796650000e-02
-1.812500000e+00, 2.833320000e-02
-1.787500000e+00, 1.966930000e-02
-1.762500000e+00, 1.217970000e-02
-1.737500000e+00, 5.762470000e-03
-1.712500000e+00, 2.042280000e-03
-1.687500000e+00,-1.281790000e-03
-1.662500000e+00,-3.601730000e-03
-1.637500000e+00,-5.443770000e-03
-1.612500000e+00,-7.048280000e-03
-1.587500000e+00,-8.519370000e-03
-1.562500000e+00,-9.886670000e-03
-1.537500000e+00,-1.108860000e-02
-1.512500000e+00,-1.198700000e-02
-1.487500000e+00,-1.241420000e-02
-1.462500000e+00,-1.224560000e-02
-1.437500000e+00,-1.150460000e-02
-1.412500000e+00,-1.050260000e-02
-1.387500000e+00,-9.482250000e-03
-1.362500000e+00,-8.052040000e-03
-1.337500000e+00,-7.372290000e-03
-1.312500000e+00,-5.313040000e-03
-1.287500000e+00,-5.412940000e-03
-1.262500000e+00,-2.444370000e-03
-1.237500000e+00,-3.470660000e-03
-1.212500000e+00, 1.499420000e-04
-1.187500000e+00,-1.129470000e-03
-1.162500000e+00, 2.248310000e-03
-1.137500000e+00, 1.363710000e-03
-1.112500000e+00, 4.548610000e-03
-1.087500000e+00, 2.789200000e-03
-1.062500000e+00, 7.265410000e-03
-1.037500000e+00, 3.844150000e-03
-1.012500000e+00, 8.759260000e-03
-9.875000000e-01, 7.076880000e-03
-9.625000000e-01, 8.959360000e-03
-9.375000000e-01, 8.563170000e-03
-9.125000000e-01, 1.095890000e-02
-8.875000000e-01, 8.265630000e-03
-8.625000000e-01, 1.301770000e-02
-8.375000000e-01, 7.899460000e-03
-8.125000000e-01, 1.433560000e-02
-7.875000000e-01, 8.304900000e-03
-7.625000000e-01, 1.653620000e-02
-7.375000000e-01, 7.147440000e-03
-7.125000000e-01, 1.285550000e-02
-6.875000000e-01, 6.520180000e-03
-6.625000000e-01, 1.316650000e-02
-6.375000000e-01, 2.486840000e-03
-6.125000000e-01, 9.812190000e-03
-5.875000000e-01, 5.732320000e-03
-5.625000000e-01, 8.194860000e-03
-5.375000000e-01, 9.235850000e-03
-5.125000000e-01, 9.578280000e-03
-4.875000000e-01, 7.058700000e-03
-4.625000000e-01, 7.272440000e-03
-4.375000000e-01, 3.833460000e-05
-4.125000000e-01, 2.214860000e-02
-3.875000000e-01,-6.090810000e-03
-3.625000000e-01, 6.055560000e-02
-3.375000000e-01, 9.705540000e-02
-3.125000000e-01, 2.374740000e-01
-2.875000000e-01, 4.080800000e-01
-2.625000000e-01, 6.329370000e-01
-2.375000000e-01, 9.991310000e-01
-2.125000000e-01, 1.350050000e+00
-1.875000000e-01, 1.695800000e+00
-1.625000000e-01, 2.070960000e+00
-1.375000000e-01, 2.540910000e+00
-1.125000000e-01, 3.108880000e+00
-8.750000000e-02, 3.697450000e+00
-6.250000000e-02, 4.147540000e+00
-3.750000000e-02, 4.530660000e+00
-1.250000000e-02, 4.699090000e+00
 1.250000000e-02, 4.677490000e+00
 3.750000000e-02, 4.486710000e+00
 6.250000000e-02, 4.205130000e+00
 8.750000000e-02, 3.805830000e+00
 1.125000000e-01, 3.220390000e+00
 1.375000000e-01, 2.663190000e+00
 1.625000000e-01, 2.173940000e+00
 1.875000000e-01, 1.722580000e+00
 2.125000000e-01, 1.317560000e+00
 2.375000000e-01, 1.048480000e+00
 2.625000000e-01, 7.246840000e-01
 2.875000000e-01, 4.506880000e-01
 3.125000000e-01, 2.034640000e-01
 3.375000000e-01, 1.864420000e-01
 3.625000000e-01, 4.662720000e-02
 3.875000000e-01, 6.828870000e-02
 4.125000000e-01,-1.633310000e-02
 4.375000000e-01, 1.846660000e-02
 4.625000000e-01,-9.420880000e-03
 4.875000000e-01, 1.412110000e-02
 5.125000000e-01,-2.568450000e-03
 5.375000000e-01, 7.457850000e-03
 5.625000000e-01, 5.361200000e-03
 5.875000000e-01, 5.204790000e-06
 6.125000000e-01, 8.038820000e-03
 6.375000000e-01,-1.224330000e-03
 6.625000000e-01, 8.930680000e-03
 6.875000000e-01, 2.014280000e-03
 7.125000000e-01, 9.313770000e-03
 7.375000000e-01, 3.185170000e-03
 7.625000000e-01, 9.468430000e-03
 7.875000000e-01, 1.211040000e-02
 8.125000000e-01, 1.169460000e-02
 8.375000000e-01, 1.239580000e-02
 8.625000000e-01, 1.161490000e-02
 8.875000000e-01, 1.067020000e-02
 9.125000000e-01, 1.230540000e-02
 9.375000000e-01, 7.740900000e-03
 9.625000000e-01, 1.216300000e-02
 9.875000000e-01, 6.786580000e-03
 1.012500000e+00, 9.597570000e-03
 1.037500000e+00, 6.599920000e-03
 1.062500000e+00, 7.316230000e-03
 1.087500000e+00, 5.557230000e-03
 1.112500000e+00, 5.260410000e-03
 1.137500000e+00, 4.333390000e-03
 1.162500000e+00, 3.066080000e-03
 1.187500000e+00, 2.649380000e-03
 1.212500000e+00, 1.246520000e-03
 1.237500000e+00, 4.095300000e-04
 1.262500000e+00,-4.001730000e-04
 1.287500000e+00,-3.916840000e-03
 1.312500000e+00,-3.733890000e-03
 1.337500000e+00,-5.784090000e-03
 1.362500000e+00,-6.007880000e-03
 1.387500000e+00,-7.429130000e-03
 1.412500000e+00,-5.995940000e-03
 1.437500000e+00,-6.941110000e-03
 1.462500000e+00,-7.686700000e-03
 1.487500000e+00,-8.483470000e-03
 1.512500000e+00,-9.191500000e-03
 1.537500000e+00,-9.798250000e-03
 1.562500000e+00,-1.020230000e-02
 1.587500000e+00,-1.027760000e-02
 1.612500000e+00,-9.881640000e-03
 1.637500000e+00,-8.904400000e-03
 1.662500000e+00,-7.229520000e-03
 1.687500000e+00,-4.838730000e-03
 1.712500000e+00,-1.751180000e-03
 1.737500000e+00, 4.802420000e-03
 1.762500000e+00, 9.333850000e-03
 1.787500000e+00, 1.439870000e-02
 1.812500000e+00, 1.988600000e-02
 1.837500000e+00, 2.629360000e-02
 1.862500000e+00, 3.369820000e-02
 1.887500000e+00, 4.210260000e-02
 1.912500000e+00, 5.111410000e-02
 1.937500000e+00, 6.046600000e-02
 1.962500000e+00, 7.059040000e-02
 1.987500000e+00, 8.172210000e-02
 2.012500000e+00, 9.435220000e-02
 2.037500000e+00, 1.074940000e-01
 2.062500000e+00, 1.196810000e-01
 2.087500000e+00, 1.315430000e-01
 2.112500000e+00, 1.450860000e-01
 2.137500000e+00, 1.584320000e-01
 2.162500000e+00, 1.703470000e-01
 2.187500000e+00, 1.825250000e-01
 2.212500000e+00, 1.925480000e-01
 2.237500000e+00, 2.000850000e-01
 2.262500000e+00, 2.040760000e-01
 2.287500000e+00, 2.030240000e-01
 2.312500000e+00, 2.016130000e-01
 2.337500000e+00, 2.038580000e-01
 2.362500000e+00, 2.156630000e-01
 2.387500000e+00, 2.160490000e-01
 2.412500000e+00, 2.198160000e-01
 2.437500000e+00, 2.308130000e-01
 2.462500000e+00, 2.303620000e-01
 2.487500000e+00, 2.124580000e-01
 2.512500000e+00, 2.447290000e-01
 2.537500000e+00, 2.273090000e-01
 2.562500000e+00, 2.456250000e-01
 2.587500000e+00, 2.338110000e-01
 2.612500000e+00, 2.431560000e-01
 2.637500000e+00, 2.381660000e-01
 2.662500000e+00, 2.446100000e-01
 2.687500000e+00, 2.412740000e-01
 2.712500000e+00, 2.436960000e-01
 2.737500000e+00, 2.423320000e-01
 2.762500000e+00, 2.345130000e-01
 2.787500000e+00, 2.440960000e-01
 2.812500000e+00, 1.750770000e-01
 2.837500000e+00, 2.350030000e-01
 2.862500000e+00, 2.376130000e-01
 2.887500000e+00, 2.239730000e-01
 2.912500000e+00, 1.913960000e-01
 2.937500000e+00, 1.597390000e-01
 2.962500000e+00, 1.513670000e-01
 2.987500000e+00, 1.655390000e-01
 3.012500000e+00, 2.035680000e-01
 3.037500000e+00, 2.239990000e-01
 3.062500000e+00, 2.185650000e-01
 3.087500000e+00, 1.609570000e-01
