x (m),U (m/s)
-3.087500000e+00,-1.105560000e-02
-3.062500000e+00,-3.600440000e-02
-3.037500000e+00,-5.887960000e-02
-3.012500000e+00,-6.966730000e-02
-2.987500000e+00,-6.699480000e-02
-2.962500000e+00,-5.577250000e-02
-2.937500000e+00,-4.322220000e-02
-2.912500000e+00,-3.706140000e-02
-2.887500000e+00,-3.855070000e-02
-2.862500000e+00,-4.124760000e-02
-2.837500000e+00,-3.620670000e-02
-2.812500000e+00,-2.781590000e-02
-2.787500000e+00,-2.473140000e-02
-2.762500000e+00,-1.973520000e-02
-2.737500000e+00,-1.232550000e-02
-2.712500000e+00,-6.605040000e-03
-2.687500000e+00,-1.132560000e-03
-2.662500000e+00, 4.593320000e-03
-2.637500000e+00, 1.081300000e-02
-2.612500000e+00, 1.714250000e-02
-2.587500000e+00, 2.454940000e-02
-2.562500000e+00, 3.217520000e-02
-2.537500000e+00, 4.065640000e-02
-2.512500000e+00, 4.924550000e-02
-2.487500000e+00, 5.711060000e-02
-2.462500000e+00, 6.666970000e-02
-2.437500000e+00, 7.666270000e-02
-2.412500000e+00, 8.635310000e-02
-2.387500000e+00, 9.703130000e-02
-2.362500000e+00, 1.095800000e-01
-2.337500000e+00, 1.227820000e-01
-2.312500000e+00, 1.352590000e-01
-2.287500000e+00, 1.462330000e-01
-2.262500000e+00, 1.535720000e-01
-2.237500000e+00, 1.596270000e-01
-2.212500000e+00, 1.675000000e-01
-2.187500000e+00, 1.763930000e-01
-2.162500000e+00, 1.868400000e-01
-2.137500000e+00, 1.967870000e-01
-2.112500000e+00, 2.028560000e-01
-2.087500000e+00, 2.043090000e-01
-2.062500000e+00, 2.009330000e-01
-2.037500000e+00, 1.929180000e-01
-2.012500000e+00, 1.847790000e-01
-1.987500000e+00, 1.778770000e-01
-1.962500000e+00, 1.715010000e-01
-1.937500000e+00, 1.648820000e-01
-1.912500000e+00, 1.571900000e-01
-1.887500000e+00, 1.376960000e-01
-1.862500000e+00, 1.301000000e-01
-1.837500000e+00, 1.230830000e-01
-1.812500000e+00, 1.171310000e-01
-1.787500000e+00, 1.127210000e-01
-1.762500000e+00, 1.109700000e-01
-1.737500000e+00, 1.020020000e-01
-1.712500000e+00, 9.575550000e-02
-1.687500000e+00, 8.544810000e-02
-1.662500000e+00, 7.622200000e-02
-1.637500000e+00, 7.092960000e-02
-1.612500000e+00, 6.889710000e-02
-1.587500000e+00, 6.818930000e-02
-1.562500000e+00, 6.758470000e-02
-1.537500000e+00, 6.671820000e-02
-1.512500000e+00, 6.583860000e-02
-1.487500000e+00, 6.471450000e-02
-1.462500000e+00, 6.414690000e-02
-1.437500000e+00, 6.265270000e-02
-1.412500000e+00, 6.260010000e-02
-1.387500000e+00, 6.173270000e-02
-1.362500000e+00, 6.103180000e-02
-1.337500000e+00, 6.093700000e-02
-1.312500000e+00, 6.100550000e-02
-1.287500000e+00, 5.976910000e-02
-1.262500000e+00, 6.069820000e-02
-1.237500000e+00, 6.178240000e-02
-1.212500000e+00, 6.153970000e-02
-1.187500000e+00, 6.269770000e-02
-1.162500000e+00, 6.460680000e-02
-1.137500000e+00, 6.830930000e-02
-1.112500000e+00, 6.931430000e-02
-1.087500000e+00, 7.384300000e-02
-1.062500000e+00, 7.820070000e-02
-1.037500000e+00, 8.125470000e-02
-1.012500000e+00, 8.839070000e-02
-9.875000000e-01, 9.199770000e-02
-9.625000000e-01, 9.823630000e-02
-9.375000000e-01, 1.027980000e-01
-9.125000000e-01, 1.069930000e-01
-8.875000000e-01, 1.065570000e-01
-8.625000000e-01, 1.082410000e-01
-8.375000000e-01, 1.108040000e-01
-8.125000000e-01, 1.114160000e-01
-7.875000000e-01, 1.135260000e-01
-7.625000000e-01, 1.134050000e-01
-7.375000000e-01, 1.159490000e-01
-7.125000000e-01, 1.164130000e-01
-6.875000000e-01, 1.174900000e-01
-6.625000000e-01, 1.203950000e-01
-6.375000000e-01, 1.239740000e-01
-6.125000000e-01, 1.267620000e-01
-5.875000000e-01, 1.301380000e-01
-5.625000000e-01, 1.329110000e-01
-5.375000000e-01, 1.379580000e-01
-5.125000000e-01, 1.403100000e-01
-4.875000000e-01, 1.425840000e-01
-4.625000000e-01, 1.480600000e-01
-4.375000000e-01, 1.531180000e-01
-4.125000000e-01, 1.690200000e-01
-3.875000000e-01, 1.997330000e-01
-3.625000000e-01, 2.399860000e-01
-3.375000000e-01, 2.935550000e-01
-3.125000000e-01, 3.602960000e-01
-2.875000000e-01, 4.121600000e-01
-2.625000000e-01, 4.509810000e-01
-2.375000000e-01, 4.778150000e-01
-2.125000000e-01, 5.211360000e-01
-1.875000000e-01, 5.694890000e-01
-1.625000000e-01, 5.987810000e-01
-1.375000000e-01, 5.880290000e-01
-1.125000000e-01, 5.414620000e-01
-8.750000000e-02, 4.829030000e-01
-6.250000000e-02, 3.667850000e-01
