x (m),U (m/s)
-3.087500000e+00, 3.258670000e-03
-3.062500000e+00, 6.038160000e-03
-3.037500000e+00, 4.007930000e-03
-3.012500000e+00, 2.814660000e-03
-2.987500000e+00, 5.874000000e-03
-2.962500000e+00, 7.289410000e-03
-2.937500000e+00, 4.341030000e-03
-2.912500000e+00, 2.466650000e-03
-2.887500000e+00, 2.281510000e-03
-2.862500000e+00, 3.332840000e-03
-2.837500000e+00, 6.151510000e-03
-2.812500000e+00, 6.333860000e-03
-2.787500000e+00, 7.231860000e-03
-2.762500000e+00, 1.061230000e-02
-2.737500000e+00, 1.430560000e-02
-2.712500000e+00, 1.898430000e-02
-2.687500000e+00, 2.342670000e-02
-2.662500000e+00, 2.815600000e-02
-2.637500000e+00, 3.303550000e-02
-2.612500000e+00, 3.868290000e-02
-2.587500000e+00, 4.653660000e-02
-2.562500000e+00, 5.523820000e-02
-2.537500000e+00, 6.347510000e-02
-2.512500000e+00, 7.263000000e-02
-2.487500000e+00, 8.230050000e-02
-2.462500000e+00, 9.227560000e-02
-2.437500000e+00, 1.022010000e-01
-2.412500000e+00, 1.117680000e-01
-2.387500000e+00, 1.225210000e-01
-2.362500000e+00, 1.356950000e-01
-2.337500000e+00, 1.491090000e-01
-2.312500000e+00, 1.613090000e-01
-2.287500000e+00, 1.741900000e-01
-2.262500000e+00, 1.869670000e-01
-2.237500000e+00, 1.968570000e-01
-2.212500000e+00, 2.033680000e-01
-2.187500000e+00, 2.084720000e-01
-2.162500000e+00, 2.138870000e-01
-2.137500000e+00, 2.196890000e-01
-2.112500000e+00, 2.275800000e-01
-2.087500000e+00, 2.368160000e-01
-2.062500000e+00, 2.441880000e-01
-2.037500000e+00, 2.484820000e-01
-2.012500000e+00, 2.494890000e-01
-1.987500000e+00, 2.475280000e-01
-1.962500000e+00, 2.428710000e-01
-1.937500000e+00, 2.358240000e-01
-1.912500000e+00, 2.273470000e-01
-1.887500000e+00, 2.181340000e-01
-1.862500000e+00, 2.094610000e-01
-1.837500000e+00, 2.013920000e-01
-1.812500000e+00, 1.933390000e-01
-1.787500000e+00, 1.844990000e-01
-1.762500000e+00, 1.738910000e-01
-1.737500000e+00, 1.669670000e-01
-1.712500000e+00, 1.553840000e-01
-1.687500000e+00, 1.498200000e-01
-1.662500000e+00, 1.446960000e-01
-1.637500000e+00, 1.389190000e-01
-1.612500000e+00, 1.326190000e-01
-1.587500000e+00, 1.261710000e-01
-1.562500000e+00, 1.197610000e-01
-1.537500000e+00, 1.138880000e-01
-1.512500000e+00, 1.090830000e-01
-1.487500000e+00, 1.053810000e-01
-1.462500000e+00, 1.024110000e-01
-1.437500000e+00, 9.993530000e-02
-1.412500000e+00, 9.778680000e-02
-1.387500000e+00, 9.556470000e-02
-1.362500000e+00, 9.423830000e-02
-1.337500000e+00, 9.208090000e-02
-1.312500000e+00, 9.087530000e-02
-1.287500000e+00, 8.940730000e-02
-1.262500000e+00, 8.845710000e-02
-1.237500000e+00, 8.723010000e-02
-1.212500000e+00, 8.637600000e-02
-1.187500000e+00, 8.619730000e-02
-1.162500000e+00, 8.565450000e-02
-1.137500000e+00, 8.602450000e-02
-1.112500000e+00, 8.586670000e-02
-1.087500000e+00, 8.626310000e-02
-1.062500000e+00, 8.683730000e-02
-1.037500000e+00, 8.749660000e-02
-1.012500000e+00, 8.848090000e-02
-9.875000000e-01, 8.946710000e-02
-9.625000000e-01, 9.002040000e-02
-9.375000000e-01, 9.138860000e-02
-9.125000000e-01, 9.211280000e-02
-8.875000000e-01, 9.320390000e-02
-8.625000000e-01, 9.419900000e-02
-8.375000000e-01, 9.549330000e-02
-8.125000000e-01, 9.675720000e-02
-7.875000000e-01, 9.730000000e-02
-7.625000000e-01, 9.816560000e-02
-7.375000000e-01, 9.841930000e-02
-7.125000000e-01, 9.882010000e-02
-6.875000000e-01, 1.004300000e-01
-6.625000000e-01, 9.983140000e-02
-6.375000000e-01, 1.031470000e-01
-6.125000000e-01, 1.003000000e-01
-5.875000000e-01, 1.008250000e-01
-5.625000000e-01, 1.047170000e-01
-5.375000000e-01, 1.027310000e-01
-5.125000000e-01, 1.044140000e-01
-4.875000000e-01, 1.074200000e-01
-4.625000000e-01, 1.043800000e-01
-4.375000000e-01, 9.963140000e-02
-4.125000000e-01, 8.735730000e-02
-3.875000000e-01, 9.711930000e-02
-3.625000000e-01, 1.167960000e-01
-3.375000000e-01, 1.266040000e-01
-3.125000000e-01, 1.561410000e-01
-2.875000000e-01, 1.554230000e-01
-2.625000000e-01, 1.901810000e-01
-2.375000000e-01, 2.280280000e-01
-2.125000000e-01, 2.232980000e-01
-1.875000000e-01, 2.296310000e-01
-1.625000000e-01, 2.506550000e-01
-1.375000000e-01, 2.724690000e-01
-1.125000000e-01, 2.707120000e-01
-8.750000000e-02, 2.505580000e-01
-6.250000000e-02, 2.055230000e-01
-3.750000000e-02, 1.254460000e-01
-1.250000000e-02, 3.783040000e-02
 1.250000000e-02,-2.572860000e-02
 3.750000000e-02,-1.101350000e-01
 6.250000000e-02,-1.697750000e-01
 8.750000000e-02,-2.123200000e-01
 1.125000000e-01,-2.516480000e-01
 1.375000000e-01,-2.801730000e-01
 1.625000000e-01,-2.871860000e-01
 1.875000000e-01,-2.676050000e-01
 2.125000000e-01,-2.503020000e-01
 2.375000000e-01,-2.367780000e-01
 2.625000000e-01,-1.928700000e-01
 2.875000000e-01,-1.733430000e-01
 3.125000000e-01,-1.755500000e-01
 3.375000000e-01,-1.540710000e-01
 3.625000000e-01,-1.255110000e-01
 3.875000000e-01,-1.272570000e-01
 4.125000000e-01,-1.293490000e-01
 4.375000000e-01,-1.180940000e-01
 4.625000000e-01,-1.165830000e-01
 4.875000000e-01,-1.178220000e-01
 5.125000000e-01,-1.157610000e-01
 5.375000000e-01,-1.131530000e-01
 5.625000000e-01,-1.163710000e-01
 5.875000000e-01,-1.122160000e-01
 6.125000000e-01,-1.127600000e-01
 6.375000000e-01,-1.092040000e-01
 6.625000000e-01,-1.072050000e-01
 6.875000000e-01,-1.071110000e-01
 7.125000000e-01,-1.029890000e-01
 7.375000000e-01,-9.964600000e-02
 7.625000000e-01,-9.965410000e-02
 7.875000000e-01,-9.669430000e-02
 8.125000000e-01,-9.615520000e-02
 8.375000000e-01,-9.397270000e-02
 8.625000000e-01,-9.041680000e-02
 8.875000000e-01,-8.967130000e-02
 9.125000000e-01,-8.798870000e-02
 9.375000000e-01,-8.660510000e-02
 9.625000000e-01,-8.590040000e-02
 9.875000000e-01,-8.480210000e-02
 1.012500000e+00,-8.303920000e-02
 1.037500000e+00,-8.316610000e-02
 1.062500000e+00,-8.172850000e-02
 1.087500000e+00,-8.107160000e-02
 1.112500000e+00,-8.092900000e-02
 1.137500000e+00,-8.058780000e-02
 1.162500000e+00,-8.066980000e-02
 1.187500000e+00,-8.108560000e-02
 1.212500000e+00,-8.123050000e-02
 1.237500000e+00,-8.226340000e-02
 1.262500000e+00,-8.287460000e-02
 1.287500000e+00,-8.412360000e-02
 1.312500000e+00,-8.539460000e-02
 1.337500000e+00,-8.667580000e-02
 1.362500000e+00,-8.845060000e-02
 1.387500000e+00,-8.986240000e-02
 1.412500000e+00,-9.142940000e-02
 1.437500000e+00,-9.263880000e-02
 1.462500000e+00,-9.380160000e-02
 1.487500000e+00,-9.464780000e-02
 1.512500000e+00,-9.576980000e-02
 1.537500000e+00,-9.726480000e-02
 1.562500000e+00,-9.984860000e-02
 1.587500000e+00,-1.031410000e-01
 1.612500000e+00,-1.077640000e-01
 1.637500000e+00,-1.137750000e-01
 1.662500000e+00,-1.216820000e-01
 1.687500000e+00,-1.301010000e-01
 1.712500000e+00,-1.396130000e-01
 1.737500000e+00,-1.493870000e-01
