x (m),Y_He (-)
-3.087500000e+00, 4.239380000e-08
-3.062500000e+00, 4.610890000e-08
-3.037500000e+00, 4.667030000e-08
-3.012500000e+00, 4.509790000e-08
-2.987500000e+00, 4.321890000e-08
-2.962500000e+00, 4.461550000e-08
-2.937500000e+00, 4.363160000e-08
-2.912500000e+00, 4.325290000e-08
-2.887500000e+00, 4.072610000e-08
-2.862500000e+00, 4.469560000e-08
-2.837500000e+00, 4.388010000e-08
-2.812500000e+00, 4.325930000e-08
-2.787500000e+00, 3.952090000e-08
-2.762500000e+00, 3.844220000e-08
-2.737500000e+00, 3.859190000e-08
-2.712500000e+00, 3.875610000e-08
-2.687500000e+00, 3.848760000e-08
-2.662500000e+00, 3.804390000e-08
-2.637500000e+00, 3.650350000e-08
-2.612500000e+00, 3.475800000e-08
-2.587500000e+00, 3.257740000e-08
-2.562500000e+00, 3.195590000e-08
-2.537500000e+00, 3.119840000e-08
-2.512500000e+00, 3.134580000e-08
-2.487500000e+00, 3.221160000e-08
-2.462500000e+00, 3.107150000e-08
-2.437500000e+00, 2.912300000e-08
-2.412500000e+00, 2.966740000e-08
-2.387500000e+00, 2.917380000e-08
-2.362500000e+00, 2.979130000e-08
-2.337500000e+00, 3.075620000e-08
-2.312500000e+00, 3.193550000e-08
-2.287500000e+00, 3.257820000e-08
-2.262500000e+00, 3.327960000e-08
-2.237500000e+00, 3.386270000e-08
-2.212500000e+00, 3.346260000e-08
-2.187500000e+00, 3.429210000e-08
-2.162500000e+00, 3.461050000e-08
-2.137500000e+00, 3.374730000e-08
-2.112500000e+00, 3.333750000e-08
-2.087500000e+00, 3.309240000e-08
-2.062500000e+00, 3.365510000e-08
-2.037500000e+00, 3.352510000e-08
-2.012500000e+00, 3.385170000e-08
-1.987500000e+00, 3.373990000e-08
-1.962500000e+00, 3.329890000e-08
-1.937500000e+00, 3.535290000e-08
-1.912500000e+00, 3.381350000e-08
-1.887500000e+00, 3.351710000e-08
-1.862500000e+00, 3.356770000e-08
-1.837500000e+00, 3.510340000e-08
-1.812500000e+00, 3.691080000e-08
-1.787500000e+00, 3.843290000e-08
-1.762500000e+00, 4.194790000e-08
-1.737500000e+00, 4.654810000e-08
-1.712500000e+00, 4.969800000e-08
-1.687500000e+00, 5.114090000e-08
-1.662500000e+00, 4.886960000e-08
-1.637500000e+00, 4.991820000e-08
-1.612500000e+00, 5.020200000e-08
-1.587500000e+00, 4.851370000e-08
-1.562500000e+00, 4.793420000e-08
-1.537500000e+00, 4.892430000e-08
-1.512500000e+00, 4.872720000e-08
-1.487500000e+00, 4.882380000e-08
-1.462500000e+00, 5.086560000e-08
-1.437500000e+00, 5.568630000e-08
-1.412500000e+00, 5.329240000e-08
-1.387500000e+00, 5.054940000e-08
-1.362500000e+00, 4.771570000e-08
-1.337500000e+00, 4.405710000e-08
-1.312500000e+00, 4.126850000e-08
-1.287500000e+00, 3.890310000e-08
-1.262500000e+00, 3.627400000e-08
-1.237500000e+00, 3.569650000e-08
-1.212500000e+00, 3.465540000e-08
-1.187500000e+00, 3.321220000e-08
-1.162500000e+00, 3.166360000e-08
-1.137500000e+00, 2.980750000e-08
-1.112500000e+00, 2.849750000e-08
-1.087500000e+00, 2.726480000e-08
-1.062500000e+00, 2.721970000e-08
-1.037500000e+00, 2.696810000e-08
-1.012500000e+00, 2.621670000e-08
-9.875000000e-01, 2.664190000e-08
-9.625000000e-01, 2.567240000e-08
-9.375000000e-01, 2.561670000e-08
-9.125000000e-01, 2.607510000e-08
-8.875000000e-01, 2.808960000e-08
-8.625000000e-01, 2.881070000e-08
-8.375000000e-01, 3.122990000e-08
-8.125000000e-01, 3.167870000e-08
-7.875000000e-01, 3.132280000e-08
-7.625000000e-01, 3.119190000e-08
-7.375000000e-01, 3.075210000e-08
-7.125000000e-01, 3.080540000e-08
-6.875000000e-01, 3.103490000e-08
-6.625000000e-01, 3.033920000e-08
-6.375000000e-01, 3.094110000e-08
-6.125000000e-01, 3.194510000e-08
-5.875000000e-01, 5.560910000e-08
-5.625000000e-01, 7.009470000e-08
-5.375000000e-01, 1.202310000e-07
-5.125000000e-01, 3.512310000e-07
-4.875000000e-01, 6.217790000e-07
-4.625000000e-01, 1.761430000e-06
-4.375000000e-01, 1.358130000e-05
-4.125000000e-01, 7.409510000e-05
-3.875000000e-01, 3.085470000e-04
-3.625000000e-01, 1.871640000e-03
-3.375000000e-01, 5.923070000e-03
-3.125000000e-01, 1.278220000e-02
-2.875000000e-01, 2.134540000e-02
-2.625000000e-01, 3.678010000e-02
-2.375000000e-01, 5.601230000e-02
-2.125000000e-01, 7.701550000e-02
-1.875000000e-01, 1.005900000e-01
-1.625000000e-01, 1.323990000e-01
-1.375000000e-01, 1.801460000e-01
-1.125000000e-01, 2.478580000e-01
-8.750000000e-02, 3.311280000e-01
-6.250000000e-02, 4.150980000e-01
-3.750000000e-02, 4.885030000e-01
-1.250000000e-02, 5.267390000e-01
 1.250000000e-02, 5.374290000e-01
 3.750000000e-02, 4.970360000e-01
 6.250000000e-02, 4.360320000e-01
 8.750000000e-02, 3.591580000e-01
 1.125000000e-01, 2.700900000e-01
 1.375000000e-01, 1.978020000e-01
 1.625000000e-01, 1.456380000e-01
 1.875000000e-01, 1.045540000e-01
 2.125000000e-01, 7.555240000e-02
 2.375000000e-01, 5.565550000e-02
 2.625000000e-01, 3.939520000e-02
 2.875000000e-01, 2.213530000e-02
 3.125000000e-01, 1.170610000e-02
 3.375000000e-01, 6.650150000e-03
 3.625000000e-01, 2.675960000e-03
 3.875000000e-01, 1.673550000e-03
 4.125000000e-01, 3.045810000e-04
 4.375000000e-01, 1.250420000e-04
 4.625000000e-01, 4.929510000e-06
 4.875000000e-01, 7.984170000e-07
 5.125000000e-01, 3.694570000e-07
 5.375000000e-01, 1.240510000e-07
 5.625000000e-01, 3.595040000e-08
 5.875000000e-01, 3.031170000e-08
 6.125000000e-01, 2.922700000e-08
 6.375000000e-01, 2.980770000e-08
 6.625000000e-01, 3.022280000e-08
 6.875000000e-01, 3.079990000e-08
 7.125000000e-01, 3.143870000e-08
 7.375000000e-01, 3.067640000e-08
 7.625000000e-01, 3.069320000e-08
 7.875000000e-01, 3.559470000e-08
 8.125000000e-01, 3.652890000e-08
 8.375000000e-01, 3.640350000e-08
 8.625000000e-01, 3.677670000e-08
 8.875000000e-01, 3.753470000e-08
 9.125000000e-01, 3.808180000e-08
 9.375000000e-01, 3.972460000e-08
 9.625000000e-01, 4.101340000e-08
 9.875000000e-01, 4.206210000e-08
 1.012500000e+00, 4.093600000e-08
 1.037500000e+00, 4.073500000e-08
 1.062500000e+00, 4.180620000e-08
 1.087500000e+00, 4.211120000e-08
 1.112500000e+00, 4.265780000e-08
 1.137500000e+00, 4.279790000e-08
 1.162500000e+00, 4.201430000e-08
 1.187500000e+00, 4.218710000e-08
 1.212500000e+00, 4.242770000e-08
 1.237500000e+00, 4.316950000e-08
