x (m),W (m/s) 
-3.087500000e+00, 1.632610000e-01
-3.062500000e+00, 1.965830000e-01
-3.037500000e+00, 2.224960000e-01
-3.012500000e+00, 2.158970000e-01
-2.987500000e+00, 1.715090000e-01
-2.962500000e+00, 1.400050000e-01
-2.937500000e+00, 1.599460000e-01
-2.912500000e+00, 1.912300000e-01
-2.887500000e+00, 2.186020000e-01
-2.862500000e+00, 2.267810000e-01
-2.837500000e+00, 2.081500000e-01
-2.812500000e+00, 1.828670000e-01
-2.787500000e+00, 2.737800000e-01
-2.762500000e+00, 2.246960000e-01
-2.737500000e+00, 2.636020000e-01
-2.712500000e+00, 2.779470000e-01
-2.687500000e+00, 2.970190000e-01
-2.662500000e+00, 3.131590000e-01
-2.637500000e+00, 3.236080000e-01
-2.612500000e+00, 3.262680000e-01
-2.587500000e+00, 3.115230000e-01
-2.562500000e+00, 3.270160000e-01
-2.537500000e+00, 3.109590000e-01
-2.512500000e+00, 3.343950000e-01
-2.487500000e+00, 3.213930000e-01
-2.462500000e+00, 3.385690000e-01
-2.437500000e+00, 3.288420000e-01
-2.412500000e+00, 3.375580000e-01
-2.387500000e+00, 3.239860000e-01
-2.362500000e+00, 3.299640000e-01
-2.337500000e+00, 3.271330000e-01
-2.312500000e+00, 3.468780000e-01
-2.287500000e+00, 3.457670000e-01
-2.262500000e+00, 3.339040000e-01
-2.237500000e+00, 3.105400000e-01
-2.212500000e+00, 2.862360000e-01
-2.187500000e+00, 2.646160000e-01
-2.162500000e+00, 2.447060000e-01
-2.137500000e+00, 2.201840000e-01
-2.112500000e+00, 1.973560000e-01
-2.087500000e+00, 1.736460000e-01
-2.062500000e+00, 1.485270000e-01
-2.037500000e+00, 1.215880000e-01
-2.012500000e+00, 9.267420000e-02
-1.987500000e+00, 6.537340000e-02
-1.962500000e+00, 4.095290000e-02
-1.937500000e+00, 1.953420000e-02
-1.912500000e+00, 7.377220000e-04
-1.887500000e+00,-1.469520000e-02
-1.862500000e+00,-2.839070000e-02
-1.837500000e+00,-3.969130000e-02
-1.812500000e+00,-4.889290000e-02
-1.787500000e+00,-5.869050000e-02
-1.762500000e+00,-6.685620000e-02
-1.737500000e+00,-6.449750000e-02
-1.712500000e+00,-7.326950000e-02
-1.687500000e+00,-7.426590000e-02
-1.662500000e+00,-7.438250000e-02
-1.637500000e+00,-7.351630000e-02
-1.612500000e+00,-7.153730000e-02
-1.587500000e+00,-6.894880000e-02
-1.562500000e+00,-6.591080000e-02
-1.537500000e+00,-6.302280000e-02
-1.512500000e+00,-6.009720000e-02
-1.487500000e+00,-5.760900000e-02
-1.462500000e+00,-5.463550000e-02
-1.437500000e+00,-5.225060000e-02
-1.412500000e+00,-4.880640000e-02
-1.387500000e+00,-4.629050000e-02
-1.362500000e+00,-4.239560000e-02
-1.337500000e+00,-4.018880000e-02
-1.312500000e+00,-3.559120000e-02
-1.287500000e+00,-3.400850000e-02
-1.262500000e+00,-2.941140000e-02
-1.237500000e+00,-2.795870000e-02
-1.212500000e+00,-2.382300000e-02
-1.187500000e+00,-2.279630000e-02
-1.162500000e+00,-1.881900000e-02
-1.137500000e+00,-1.912730000e-02
-1.112500000e+00,-1.470340000e-02
-1.087500000e+00,-1.578970000e-02
-1.062500000e+00,-1.200590000e-02
-1.037500000e+00,-1.243460000e-02
-1.012500000e+00,-1.020180000e-02
-9.875000000e-01,-1.053180000e-02
-9.625000000e-01,-7.283590000e-03
-9.375000000e-01,-9.861690000e-03
-9.125000000e-01,-6.685940000e-03
-8.875000000e-01,-1.041950000e-02
-8.625000000e-01,-6.288380000e-03
-8.375000000e-01,-1.265070000e-02
-8.125000000e-01,-7.330480000e-03
-7.875000000e-01,-1.592100000e-02
-7.625000000e-01,-1.104660000e-02
-7.375000000e-01,-2.022500000e-02
-7.125000000e-01,-1.370910000e-02
-6.875000000e-01,-2.047390000e-02
-6.625000000e-01,-2.008630000e-02
-6.375000000e-01,-1.771760000e-02
-6.125000000e-01,-2.592020000e-02
-5.875000000e-01,-1.796810000e-02
-5.625000000e-01,-2.611430000e-02
-5.375000000e-01,-2.131120000e-02
-5.125000000e-01,-3.041380000e-02
-4.875000000e-01,-1.960000000e-02
-4.625000000e-01,-3.446260000e-02
-4.375000000e-01,-1.884550000e-02
-4.125000000e-01,-4.216090000e-02
-3.875000000e-01, 2.557510000e-02
-3.625000000e-01, 3.547180000e-02
-3.375000000e-01, 1.128100000e-01
-3.125000000e-01, 1.968970000e-01
-2.875000000e-01, 3.623500000e-01
-2.625000000e-01, 6.196180000e-01
-2.375000000e-01, 8.963890000e-01
-2.125000000e-01, 1.259520000e+00
-1.875000000e-01, 1.539880000e+00
-1.625000000e-01, 1.924750000e+00
-1.375000000e-01, 2.320190000e+00
-1.125000000e-01, 2.770130000e+00
-8.750000000e-02, 3.186770000e+00
-6.250000000e-02, 3.530550000e+00
-3.750000000e-02, 3.823210000e+00
-1.250000000e-02, 3.890320000e+00
 1.250000000e-02, 3.794200000e+00
 3.750000000e-02, 3.667740000e+00
 6.250000000e-02, 3.465620000e+00
 8.750000000e-02, 3.146240000e+00
 1.125000000e-01, 2.788760000e+00
 1.375000000e-01, 2.353440000e+00
 1.625000000e-01, 1.921420000e+00
 1.875000000e-01, 1.600670000e+00
 2.125000000e-01, 1.314590000e+00
 2.375000000e-01, 9.434480000e-01
 2.625000000e-01, 6.977990000e-01
 2.875000000e-01, 4.787430000e-01
 3.125000000e-01, 3.072060000e-01
 3.375000000e-01, 1.299480000e-01
 3.625000000e-01, 6.013560000e-02
 3.875000000e-01, 2.186100000e-02
 4.125000000e-01,-3.091370000e-02
 4.375000000e-01,-4.096100000e-03
 4.625000000e-01,-3.447790000e-02
 4.875000000e-01,-2.847810000e-02
 5.125000000e-01,-3.109830000e-02
 5.375000000e-01,-1.637170000e-02
 5.625000000e-01,-2.697330000e-02
 5.875000000e-01,-1.659070000e-02
 6.125000000e-01,-2.053830000e-02
 6.375000000e-01,-1.997800000e-02
 6.625000000e-01,-1.359940000e-02
 6.875000000e-01,-1.720850000e-02
 7.125000000e-01,-1.178960000e-02
 7.375000000e-01,-1.289710000e-02
 7.625000000e-01,-9.089830000e-03
 7.875000000e-01,-7.960230000e-03
 8.125000000e-01,-8.867570000e-03
 8.375000000e-01,-4.270000000e-03
 8.625000000e-01,-7.743610000e-03
 8.875000000e-01,-5.169240000e-03
 9.125000000e-01,-7.662630000e-03
 9.375000000e-01,-5.195160000e-03
 9.625000000e-01,-8.708150000e-03
 9.875000000e-01,-5.989090000e-03
 1.012500000e+00,-1.041080000e-02
 1.037500000e+00,-7.795610000e-03
 1.062500000e+00,-1.283170000e-02
 1.087500000e+00,-9.606980000e-03
 1.112500000e+00,-1.534730000e-02
 1.137500000e+00,-1.344080000e-02
 1.162500000e+00,-1.786110000e-02
 1.187500000e+00,-1.835590000e-02
 1.212500000e+00,-2.115190000e-02
 1.237500000e+00,-2.345190000e-02
