x (m),Y_He_rms (-)
-3.087500000e+00, 1.550470000e-08
-3.062500000e+00, 1.774600000e-08
-3.037500000e+00, 1.727590000e-08
-3.012500000e+00, 1.631500000e-08
-2.987500000e+00, 1.349300000e-08
-2.962500000e+00, 1.141520000e-08
-2.937500000e+00, 1.212450000e-08
-2.912500000e+00, 1.417620000e-08
-2.887500000e+00, 1.619190000e-08
-2.862500000e+00, 2.030710000e-08
-2.837500000e+00, 1.835740000e-08
-2.812500000e+00, 1.582480000e-08
-2.787500000e+00, 1.644470000e-08
-2.762500000e+00, 1.671770000e-08
-2.737500000e+00, 1.706240000e-08
-2.712500000e+00, 1.719270000e-08
-2.687500000e+00, 1.685380000e-08
-2.662500000e+00, 1.757880000e-08
-2.637500000e+00, 1.725710000e-08
-2.612500000e+00, 1.482670000e-08
-2.587500000e+00, 1.449170000e-08
-2.562500000e+00, 1.385170000e-08
-2.537500000e+00, 1.427330000e-08
-2.512500000e+00, 1.454100000e-08
-2.487500000e+00, 1.662740000e-08
-2.462500000e+00, 1.546340000e-08
-2.437500000e+00, 1.475840000e-08
-2.412500000e+00, 1.412280000e-08
-2.387500000e+00, 1.433020000e-08
-2.362500000e+00, 1.398220000e-08
-2.337500000e+00, 1.417180000e-08
-2.312500000e+00, 1.550370000e-08
-2.287500000e+00, 1.509720000e-08
-2.262500000e+00, 1.561660000e-08
-2.237500000e+00, 1.525950000e-08
-2.212500000e+00, 1.385180000e-08
-2.187500000e+00, 1.353160000e-08
-2.162500000e+00, 1.331840000e-08
-2.137500000e+00, 1.229510000e-08
-2.112500000e+00, 1.182830000e-08
-2.087500000e+00, 1.158530000e-08
-2.062500000e+00, 1.013580000e-08
-2.037500000e+00, 1.064250000e-08
-2.012500000e+00, 1.102000000e-08
-1.987500000e+00, 1.075020000e-08
-1.962500000e+00, 1.083050000e-08
-1.937500000e+00, 1.457060000e-08
-1.912500000e+00, 1.023290000e-08
-1.887500000e+00, 1.010270000e-08
-1.862500000e+00, 1.155070000e-08
-1.837500000e+00, 2.466160000e-08
-1.812500000e+00, 1.734950000e-08
-1.787500000e+00, 1.640930000e-08
-1.762500000e+00, 2.618820000e-08
-1.737500000e+00, 3.481330000e-08
-1.712500000e+00, 3.633870000e-08
-1.687500000e+00, 3.274520000e-08
-1.662500000e+00, 2.369370000e-08
-1.637500000e+00, 2.164030000e-08
-1.612500000e+00, 1.932640000e-08
-1.587500000e+00, 1.610570000e-08
-1.562500000e+00, 1.533240000e-08
-1.537500000e+00, 1.440840000e-08
-1.512500000e+00, 1.481130000e-08
-1.487500000e+00, 1.622350000e-08
-1.462500000e+00, 1.724780000e-08
-1.437500000e+00, 3.058980000e-08
-1.412500000e+00, 2.458370000e-08
-1.387500000e+00, 2.348690000e-08
-1.362500000e+00, 2.407330000e-08
-1.337500000e+00, 2.139930000e-08
-1.312500000e+00, 1.958270000e-08
-1.287500000e+00, 1.876870000e-08
-1.262500000e+00, 2.083840000e-08
-1.237500000e+00, 2.016340000e-08
-1.212500000e+00, 1.741880000e-08
-1.187500000e+00, 1.669650000e-08
-1.162500000e+00, 1.810320000e-08
-1.137500000e+00, 1.954860000e-08
-1.112500000e+00, 1.906490000e-08
-1.087500000e+00, 1.736950000e-08
-1.062500000e+00, 1.638930000e-08
-1.037500000e+00, 1.656770000e-08
-1.012500000e+00, 1.486240000e-08
-9.875000000e-01, 1.597450000e-08
-9.625000000e-01, 1.575800000e-08
-9.375000000e-01, 1.436110000e-08
-9.125000000e-01, 1.402730000e-08
-8.875000000e-01, 1.750600000e-08
-8.625000000e-01, 1.912330000e-08
-8.375000000e-01, 1.638410000e-08
-8.125000000e-01, 1.432340000e-08
-7.875000000e-01, 1.167330000e-08
-7.625000000e-01, 1.116290000e-08
-7.375000000e-01, 1.029470000e-08
-7.125000000e-01, 9.148420000e-09
-6.875000000e-01, 7.929910000e-09
-6.625000000e-01, 6.359040000e-09
-6.375000000e-01, 7.041470000e-09
-6.125000000e-01, 1.043160000e-08
-5.875000000e-01, 9.981000000e-08
-5.625000000e-01, 1.131170000e-07
-5.375000000e-01, 2.811360000e-07
-5.125000000e-01, 1.241510000e-06
-4.875000000e-01, 1.839150000e-06
-4.625000000e-01, 3.574890000e-06
