x (m),Y_He_rms (-)
-3.087500000e+00, 2.124660000e-08
-3.062500000e+00, 1.857730000e-08
-3.037500000e+00, 1.724770000e-08
-3.012500000e+00, 1.789320000e-08
-2.987500000e+00, 1.755990000e-08
-2.962500000e+00, 1.924710000e-08
-2.937500000e+00, 2.004740000e-08
-2.912500000e+00, 1.989940000e-08
-2.887500000e+00, 2.037510000e-08
-2.862500000e+00, 1.956160000e-08
-2.837500000e+00, 1.846480000e-08
-2.812500000e+00, 1.948100000e-08
-2.787500000e+00, 2.001320000e-08
-2.762500000e+00, 1.628260000e-08
-2.737500000e+00, 1.619170000e-08
-2.712500000e+00, 1.782850000e-08
-2.687500000e+00, 1.603030000e-08
-2.662500000e+00, 1.561780000e-08
-2.637500000e+00, 1.447490000e-08
-2.612500000e+00, 1.574100000e-08
-2.587500000e+00, 1.466540000e-08
-2.562500000e+00, 1.568220000e-08
-2.537500000e+00, 1.815430000e-08
-2.512500000e+00, 1.681060000e-08
-2.487500000e+00, 1.546370000e-08
-2.462500000e+00, 1.387790000e-08
-2.437500000e+00, 1.630410000e-08
-2.412500000e+00, 1.541940000e-08
-2.387500000e+00, 1.400170000e-08
-2.362500000e+00, 1.490080000e-08
-2.337500000e+00, 1.400290000e-08
-2.312500000e+00, 1.396500000e-08
-2.287500000e+00, 1.346520000e-08
-2.262500000e+00, 1.306140000e-08
-2.237500000e+00, 1.197890000e-08
-2.212500000e+00, 1.065900000e-08
-2.187500000e+00, 1.001450000e-08
-2.162500000e+00, 9.113430000e-09
-2.137500000e+00, 8.963440000e-09
-2.112500000e+00, 8.574510000e-09
-2.087500000e+00, 8.022160000e-09
-2.062500000e+00, 8.225530000e-09
-2.037500000e+00, 8.950430000e-09
-2.012500000e+00, 8.580020000e-09
-1.987500000e+00, 8.741260000e-09
-1.962500000e+00, 8.442050000e-09
-1.937500000e+00, 8.891390000e-09
-1.912500000e+00, 8.031680000e-09
-1.887500000e+00, 8.344330000e-09
-1.862500000e+00, 7.889740000e-09
-1.837500000e+00, 1.935380000e-08
-1.812500000e+00, 2.631970000e-08
-1.787500000e+00, 1.356050000e-08
-1.762500000e+00, 1.124040000e-08
