x (m),Y_He (-)
-3.087500000e+00, 4.071900000e-08
-3.062500000e+00, 4.197850000e-08
-3.037500000e+00, 4.035080000e-08
-3.012500000e+00, 3.816610000e-08
-2.987500000e+00, 3.902980000e-08
-2.962500000e+00, 3.981280000e-08
-2.937500000e+00, 3.989800000e-08
-2.912500000e+00, 4.057360000e-08
-2.887500000e+00, 3.480250000e-08
-2.862500000e+00, 3.566090000e-08
-2.837500000e+00, 3.856120000e-08
-2.812500000e+00, 3.527310000e-08
-2.787500000e+00, 3.136500000e-08
-2.762500000e+00, 3.228140000e-08
-2.737500000e+00, 3.216180000e-08
-2.712500000e+00, 3.107920000e-08
-2.687500000e+00, 3.123550000e-08
-2.662500000e+00, 3.149100000e-08
-2.637500000e+00, 2.870050000e-08
-2.612500000e+00, 2.896720000e-08
-2.587500000e+00, 2.770040000e-08
-2.562500000e+00, 2.778220000e-08
-2.537500000e+00, 2.812250000e-08
-2.512500000e+00, 2.668660000e-08
-2.487500000e+00, 2.771680000e-08
-2.462500000e+00, 2.700160000e-08
-2.437500000e+00, 2.712190000e-08
-2.412500000e+00, 2.750500000e-08
-2.387500000e+00, 2.736750000e-08
-2.362500000e+00, 3.011200000e-08
-2.337500000e+00, 3.025690000e-08
-2.312500000e+00, 2.970880000e-08
-2.287500000e+00, 2.983770000e-08
-2.262500000e+00, 2.999320000e-08
-2.237500000e+00, 3.225100000e-08
-2.212500000e+00, 3.386490000e-08
-2.187500000e+00, 3.443110000e-08
-2.162500000e+00, 3.543440000e-08
-2.137500000e+00, 3.459800000e-08
-2.112500000e+00, 3.489880000e-08
-2.087500000e+00, 3.588730000e-08
-2.062500000e+00, 3.688680000e-08
-2.037500000e+00, 3.625040000e-08
-2.012500000e+00, 3.707010000e-08
-1.987500000e+00, 3.569930000e-08
-1.962500000e+00, 3.579210000e-08
-1.937500000e+00, 3.606220000e-08
-1.912500000e+00, 3.472480000e-08
-1.887500000e+00, 3.524520000e-08
-1.862500000e+00, 3.419860000e-08
-1.837500000e+00, 3.480010000e-08
-1.812500000e+00, 3.912340000e-08
-1.787500000e+00, 4.070160000e-08
-1.762500000e+00, 4.221190000e-08
-1.737500000e+00, 4.202210000e-08
-1.712500000e+00, 4.323040000e-08
-1.687500000e+00, 4.299220000e-08
-1.662500000e+00, 4.385070000e-08
-1.637500000e+00, 4.425900000e-08
-1.612500000e+00, 4.588420000e-08
-1.587500000e+00, 4.641490000e-08
-1.562500000e+00, 4.636990000e-08
-1.537500000e+00, 4.578150000e-08
-1.512500000e+00, 4.534250000e-08
-1.487500000e+00, 4.523770000e-08
-1.462500000e+00, 4.430780000e-08
-1.437500000e+00, 4.222090000e-08
-1.412500000e+00, 4.105690000e-08
-1.387500000e+00, 3.953310000e-08
-1.362500000e+00, 3.859510000e-08
-1.337500000e+00, 3.718880000e-08
-1.312500000e+00, 3.783550000e-08
-1.287500000e+00, 3.753250000e-08
-1.262500000e+00, 3.696130000e-08
-1.237500000e+00, 3.620260000e-08
-1.212500000e+00, 3.563530000e-08
-1.187500000e+00, 3.490770000e-08
-1.162500000e+00, 3.264840000e-08
-1.137500000e+00, 3.053650000e-08
-1.112500000e+00, 2.893580000e-08
-1.087500000e+00, 2.841760000e-08
-1.062500000e+00, 2.592330000e-08
-1.037500000e+00, 2.448110000e-08
-1.012500000e+00, 2.307660000e-08
-9.875000000e-01, 2.180440000e-08
-9.625000000e-01, 2.060100000e-08
-9.375000000e-01, 1.981010000e-08
-9.125000000e-01, 1.891450000e-08
-8.875000000e-01, 1.858530000e-08
-8.625000000e-01, 2.333170000e-08
-8.375000000e-01, 3.084330000e-08
-8.125000000e-01, 3.092370000e-08
-7.875000000e-01, 3.127530000e-08
-7.625000000e-01, 3.406870000e-08
-7.375000000e-01, 3.402300000e-08
-7.125000000e-01, 3.277280000e-08
-6.875000000e-01, 3.370450000e-08
-6.625000000e-01, 3.326340000e-08
-6.375000000e-01, 3.354900000e-08
-6.125000000e-01, 3.208200000e-08
-5.875000000e-01, 3.308730000e-08
-5.625000000e-01, 3.341620000e-08
-5.375000000e-01, 3.458990000e-08
-5.125000000e-01, 3.662570000e-08
-4.875000000e-01, 5.452140000e-08
-4.625000000e-01, 6.075370000e-07
-4.375000000e-01, 1.770430000e-05
-4.125000000e-01, 2.560510000e-04
-3.875000000e-01, 1.097090000e-03
-3.625000000e-01, 3.417460000e-03
-3.375000000e-01, 8.603850000e-03
-3.125000000e-01, 1.303570000e-02
-2.875000000e-01, 2.532830000e-02
-2.625000000e-01, 4.041510000e-02
-2.375000000e-01, 6.713950000e-02
-2.125000000e-01, 9.543830000e-02
-1.875000000e-01, 1.248720000e-01
-1.625000000e-01, 1.699220000e-01
-1.375000000e-01, 2.359080000e-01
-1.125000000e-01, 3.206120000e-01
-8.750000000e-02, 4.227800000e-01
-6.250000000e-02, 5.224340000e-01
-3.750000000e-02, 6.114150000e-01
-1.250000000e-02, 6.446540000e-01
 1.250000000e-02, 6.491320000e-01
 3.750000000e-02, 5.998370000e-01
 6.250000000e-02, 5.327430000e-01
