x (m),W_rms (m/s)
-3.087500000e+00, 7.884520000e-02
-3.062500000e+00, 6.464030000e-02
-3.037500000e+00, 4.909330000e-02
-3.012500000e+00, 6.196880000e-02
-2.987500000e+00, 7.763980000e-02
-2.962500000e+00, 6.488030000e-02
-2.937500000e+00, 7.002910000e-02
-2.912500000e+00, 7.650370000e-02
-2.887500000e+00, 6.044590000e-02
-2.862500000e+00, 6.588350000e-02
-2.837500000e+00, 7.397650000e-02
-2.812500000e+00, 6.660080000e-02
-2.787500000e+00, 6.046760000e-02
-2.762500000e+00, 7.585050000e-02
-2.737500000e+00, 7.755040000e-02
-2.712500000e+00, 1.001390000e-01
-2.687500000e+00, 1.237050000e-01
-2.662500000e+00, 1.347890000e-01
-2.637500000e+00, 1.309190000e-01
-2.612500000e+00, 9.157820000e-02
-2.587500000e+00, 5.837260000e-02
-2.562500000e+00, 5.251190000e-02
-2.537500000e+00, 6.634920000e-02
-2.512500000e+00, 5.876040000e-02
-2.487500000e+00, 8.774300000e-02
-2.462500000e+00, 7.561310000e-02
-2.437500000e+00, 9.582750000e-02
-2.412500000e+00, 8.928460000e-02
-2.387500000e+00, 1.067680000e-01
-2.362500000e+00, 1.132120000e-01
-2.337500000e+00, 1.404190000e-01
-2.312500000e+00, 1.667020000e-01
-2.287500000e+00, 1.346590000e-01
-2.262500000e+00, 1.020600000e-01
-2.237500000e+00, 8.129500000e-02
-2.212500000e+00, 8.423530000e-02
-2.187500000e+00, 8.134800000e-02
-2.162500000e+00, 8.219600000e-02
-2.137500000e+00, 8.604870000e-02
-2.112500000e+00, 9.116900000e-02
-2.087500000e+00, 8.516200000e-02
-2.062500000e+00, 7.156040000e-02
-2.037500000e+00, 4.674240000e-02
-2.012500000e+00, 3.538810000e-02
-1.987500000e+00, 6.383920000e-02
-1.962500000e+00, 9.044560000e-02
-1.937500000e+00, 1.004050000e-01
-1.912500000e+00, 1.002090000e-01
-1.887500000e+00, 9.602220000e-02
-1.862500000e+00, 9.258030000e-02
-1.837500000e+00, 8.669470000e-02
-1.812500000e+00, 8.664840000e-02
-1.787500000e+00, 9.112680000e-02
-1.762500000e+00, 9.576340000e-02
