x (m),U (m/s)
-3.087500000e+00, 3.865890000e-03
-3.062500000e+00, 1.129250000e-02
-3.037500000e+00, 1.592020000e-02
-3.012500000e+00, 1.803090000e-02
-2.987500000e+00, 1.882390000e-02
-2.962500000e+00, 1.913190000e-02
-2.937500000e+00, 2.024160000e-02
-2.912500000e+00, 2.183650000e-02
-2.887500000e+00, 2.427510000e-02
-2.862500000e+00, 2.678640000e-02
-2.837500000e+00, 2.719340000e-02
-2.812500000e+00, 2.578310000e-02
-2.787500000e+00, 2.741210000e-02
-2.762500000e+00, 2.851310000e-02
-2.737500000e+00, 2.849420000e-02
-2.712500000e+00, 3.154860000e-02
-2.687500000e+00, 3.588510000e-02
-2.662500000e+00, 4.110540000e-02
-2.637500000e+00, 4.696180000e-02
-2.612500000e+00, 5.071170000e-02
-2.587500000e+00, 5.365650000e-02
-2.562500000e+00, 6.064980000e-02
-2.537500000e+00, 6.973130000e-02
-2.512500000e+00, 7.767580000e-02
-2.487500000e+00, 8.542330000e-02
-2.462500000e+00, 9.366900000e-02
-2.437500000e+00, 1.024200000e-01
-2.412500000e+00, 1.113150000e-01
-2.387500000e+00, 1.193070000e-01
-2.362500000e+00, 1.273540000e-01
-2.337500000e+00, 1.338060000e-01
-2.312500000e+00, 1.380860000e-01
-2.287500000e+00, 1.470780000e-01
-2.262500000e+00, 1.618660000e-01
-2.237500000e+00, 1.757200000e-01
-2.212500000e+00, 1.852650000e-01
-2.187500000e+00, 1.916590000e-01
-2.162500000e+00, 1.964420000e-01
-2.137500000e+00, 1.995090000e-01
-2.112500000e+00, 2.014430000e-01
-2.087500000e+00, 2.026530000e-01
-2.062500000e+00, 2.032550000e-01
-2.037500000e+00, 2.035430000e-01
-2.012500000e+00, 2.036640000e-01
-1.987500000e+00, 2.035750000e-01
-1.962500000e+00, 2.030130000e-01
-1.937500000e+00, 2.015620000e-01
-1.912500000e+00, 1.996950000e-01
-1.887500000e+00, 1.968070000e-01
-1.862500000e+00, 1.934410000e-01
-1.837500000e+00, 1.887150000e-01
-1.812500000e+00, 1.841070000e-01
-1.787500000e+00, 1.793840000e-01
-1.762500000e+00, 1.746440000e-01
-1.737500000e+00, 1.696910000e-01
-1.712500000e+00, 1.641930000e-01
-1.687500000e+00, 1.585680000e-01
-1.662500000e+00, 1.531830000e-01
-1.637500000e+00, 1.481450000e-01
-1.612500000e+00, 1.433870000e-01
-1.587500000e+00, 1.388330000e-01
-1.562500000e+00, 1.345110000e-01
-1.537500000e+00, 1.306860000e-01
-1.512500000e+00, 1.272510000e-01
-1.487500000e+00, 1.243440000e-01
-1.462500000e+00, 1.217390000e-01
-1.437500000e+00, 1.196030000e-01
-1.412500000e+00, 1.175150000e-01
-1.387500000e+00, 1.153840000e-01
-1.362500000e+00, 1.132140000e-01
-1.337500000e+00, 1.110030000e-01
-1.312500000e+00, 1.090300000e-01
-1.287500000e+00, 1.070830000e-01
-1.262500000e+00, 1.053370000e-01
-1.237500000e+00, 1.039070000e-01
-1.212500000e+00, 1.022890000e-01
-1.187500000e+00, 1.013310000e-01
-1.162500000e+00, 9.992400000e-02
-1.137500000e+00, 9.925440000e-02
-1.112500000e+00, 9.815530000e-02
-1.087500000e+00, 9.780090000e-02
-1.062500000e+00, 9.701930000e-02
-1.037500000e+00, 9.687250000e-02
-1.012500000e+00, 9.657670000e-02
-9.875000000e-01, 9.642480000e-02
-9.625000000e-01, 9.620000000e-02
-9.375000000e-01, 9.627270000e-02
-9.125000000e-01, 9.585700000e-02
-8.875000000e-01, 9.626470000e-02
-8.625000000e-01, 9.585970000e-02
-8.375000000e-01, 9.581570000e-02
-8.125000000e-01, 9.605100000e-02
-7.875000000e-01, 9.460590000e-02
-7.625000000e-01, 9.482040000e-02
-7.375000000e-01, 9.603600000e-02
-7.125000000e-01, 9.682970000e-02
-6.875000000e-01, 9.653610000e-02
-6.625000000e-01, 1.003610000e-01
-6.375000000e-01, 1.023470000e-01
-6.125000000e-01, 1.027220000e-01
-5.875000000e-01, 1.026480000e-01
-5.625000000e-01, 9.967080000e-02
-5.375000000e-01, 1.072190000e-01
-5.125000000e-01, 1.093940000e-01
-4.875000000e-01, 1.099360000e-01
-4.625000000e-01, 1.126780000e-01
-4.375000000e-01, 1.100600000e-01
-4.125000000e-01, 1.146560000e-01
-3.875000000e-01, 1.029690000e-01
-3.625000000e-01, 9.485930000e-02
-3.375000000e-01, 1.022730000e-01
-3.125000000e-01, 1.183600000e-01
-2.875000000e-01, 1.226540000e-01
-2.625000000e-01, 1.265360000e-01
-2.375000000e-01, 1.202700000e-01
-2.125000000e-01, 1.173500000e-01
-1.875000000e-01, 1.272630000e-01
-1.625000000e-01, 1.297890000e-01
-1.375000000e-01, 1.290060000e-01
-1.125000000e-01, 1.303080000e-01
-8.750000000e-02, 1.210650000e-01
-6.250000000e-02, 1.014150000e-01
-3.750000000e-02, 6.987810000e-02
-1.250000000e-02, 3.664260000e-02
 1.250000000e-02, 1.347260000e-02
 3.750000000e-02,-2.615900000e-02
 6.250000000e-02,-6.022680000e-02
 8.750000000e-02,-9.970860000e-02
 1.125000000e-01,-1.285930000e-01
 1.375000000e-01,-1.345560000e-01
 1.625000000e-01,-1.448540000e-01
 1.875000000e-01,-1.635310000e-01
 2.125000000e-01,-1.639730000e-01
 2.375000000e-01,-1.390370000e-01
 2.625000000e-01,-1.180550000e-01
 2.875000000e-01,-1.051070000e-01
 3.125000000e-01,-1.041400000e-01
 3.375000000e-01,-1.236070000e-01
 3.625000000e-01,-1.209060000e-01
 3.875000000e-01,-1.127940000e-01
 4.125000000e-01,-1.063760000e-01
 4.375000000e-01,-1.023300000e-01
 4.625000000e-01,-9.776940000e-02
 4.875000000e-01,-9.418410000e-02
 5.125000000e-01,-9.385970000e-02
 5.375000000e-01,-9.394160000e-02
 5.625000000e-01,-9.674810000e-02
 5.875000000e-01,-9.797250000e-02
 6.125000000e-01,-9.802700000e-02
 6.375000000e-01,-9.512780000e-02
 6.625000000e-01,-9.629810000e-02
 6.875000000e-01,-9.534640000e-02
 7.125000000e-01,-9.300270000e-02
 7.375000000e-01,-9.184510000e-02
 7.625000000e-01,-9.221030000e-02
 7.875000000e-01,-8.925140000e-02
 8.125000000e-01,-8.940610000e-02
 8.375000000e-01,-8.872710000e-02
 8.625000000e-01,-8.785000000e-02
 8.875000000e-01,-8.810090000e-02
 9.125000000e-01,-8.769470000e-02
 9.375000000e-01,-8.768470000e-02
 9.625000000e-01,-8.775080000e-02
